domain,cell,n,n_splits,greedy_halfA,greedy_halfB,good5_halfB,fulloracle_halfB,fulloracle_insample,optimism_gap
repgrid,ars_gsm8k_r1distill8b,500,10,0.77647,0.6581400000000001,0.75313,0.70206,0.779,0.11832999999999994
repgrid,epr_triviaqa_mistral24b,621,10,0.72709,0.72424,0.70858,0.7234200000000001,0.7384,0.002850000000000019
repgrid,gpqa_llama70b,1980,10,0.63134,0.63392,0.6288400000000001,,,-0.0025800000000000267
repgrid,gpqa_llama8b,1980,10,0.55226,0.49603,0.50828,,,0.05622999999999995
repgrid,gpqa_mistral7b,1980,10,0.5415300000000001,0.49960000000000004,0.49073,,,0.04193000000000002
repgrid,gpqa_qwen72b,1980,10,0.60244,0.55731,0.5559000000000001,,,0.04513
repgrid,gpqa_r1distill8b,1750,10,0.52471,0.5066900000000001,0.49005,,,0.018019999999999925
repgrid,inside_coqa_llama7b,4504,10,0.6279199999999999,0.60371,0.68645,0.72877,0.7227,0.024209999999999954
repgrid,internalstates_gsm8k_qwen25_7b,500,10,0.7469699999999999,0.7172,0.67678,0.71768,0.7283,0.029769999999999963
repgrid,lapeigvals_gsm8k_llama3b,1319,10,0.70129,0.69443,0.69239,0.68199,0.7096,0.006859999999999977
repgrid,lapeigvals_gsm8k_llama8b,500,10,0.84116,0.79371,0.80167,0.8173600000000001,0.8279,0.04744999999999999
repgrid,lapeigvals_gsm8k_mistral24b,1319,10,0.8579700000000001,0.8418699999999999,0.79942,0.8324,0.8693,0.016100000000000225
repgrid,lapeigvals_gsm8k_nemo,1319,10,0.80454,0.79503,0.77992,0.81098,0.8139999999999998,0.009510000000000018
repgrid,lapeigvals_gsm8k_phi35,1319,10,0.81273,0.79994,0.8012900000000001,0.8156700000000001,0.8176,0.012789999999999968
repgrid,losnet_hotpotqa_mistral7b,500,10,0.62188,0.56979,0.58762,0.61726,0.6107,0.05208999999999997
repgrid,math500_dsmath7b,300,10,0.80489,0.7511300000000001,0.75115,,,0.05375999999999992
repgrid,math500_qwenmath7b,300,10,0.93171,0.9164300000000001,0.90198,,,0.01527999999999996
repgrid,math500_r1distill8b,300,10,0.8860199999999999,0.85548,0.82356,,,0.0305399999999999
repgrid,math500_r1distill8b_mn4096,300,10,0.8749399999999999,0.8327600000000001,0.8236800000000001,,,0.042179999999999884
repgrid,noise_gsm8k_mistral7b,1319,10,0.8196199999999999,0.8097899999999999,0.78189,0.81634,0.8183,0.009830000000000005
repgrid,noise_gsm8k_phi3mini,1319,10,0.68672,0.66313,0.66242,0.67252,0.6935,0.02359
repgrid,rag_2wikimultihopqa_llama70b,240,10,0.57197,0.38226,0.42267,,,0.18971
repgrid,rag_2wikimultihopqa_llama8b,240,10,0.41951,0.21955,0.31845,,,0.19996
repgrid,rag_2wikimultihopqa_mistral24b,240,10,0.45681000000000005,0.34641,0.30279,,,0.11040000000000005
repgrid,rag_2wikimultihopqa_qwen72b,240,10,0.70401,0.5838300000000001,0.5496000000000001,,,0.12017999999999995
repgrid,rag_2wikimultihopqa_qwen7b,240,10,0.65263,0.58305,0.3672,,,0.06958000000000009
repgrid,rag_hotpotqa_llama70b,240,10,0.85465,0.71261,0.65461,,,0.14204000000000006
repgrid,rag_hotpotqa_llama8b,240,10,0.75217,0.71121,0.54188,,,0.040959999999999996
repgrid,rag_hotpotqa_mistral24b,240,10,0.64261,0.45972999999999997,0.53816,,,0.18288000000000004
repgrid,rag_hotpotqa_qwen72b,240,10,0.8177099999999999,0.77071,0.73387,,,0.04699999999999993
repgrid,rag_hotpotqa_qwen7b,240,10,0.79581,0.62154,0.54269,,,0.17427000000000004
repgrid,rag_narrativeqa_llama70b,240,10,0.67866,0.57257,0.58271,,,0.10609000000000002
repgrid,rag_narrativeqa_llama8b,240,10,0.7075400000000001,0.40393999999999997,0.40401,,,0.3036000000000001
repgrid,rag_narrativeqa_mistral24b,240,10,0.69897,0.6295,0.60994,,,0.06947000000000003
repgrid,rag_narrativeqa_qwen72b,240,10,0.77579,0.7397699999999999,0.7213700000000001,,,0.03602000000000005
repgrid,rag_narrativeqa_qwen7b,240,10,0.7942199999999999,0.6626,0.70387,,,0.13161999999999996
repgrid,rag_natural_questions_llama70b,160,10,0.7003,0.48859,0.45976999999999996,,,0.21171
repgrid,rag_natural_questions_llama8b,160,10,0.70584,0.44195,0.34171999999999997,,,0.26389
repgrid,rag_natural_questions_mistral24b,160,10,0.67705,0.36052,0.34157000000000004,,,0.31653000000000003
repgrid,rag_natural_questions_qwen72b,160,10,0.81124,0.73684,0.7143900000000001,,,0.07439999999999991
repgrid,rag_natural_questions_qwen7b,160,10,0.73078,0.62347,0.6456999999999999,,,0.10731000000000002
repgrid,sciq_llama8b,198,10,0.7592,0.7336,0.74355,0.74838,0.7609,0.025599999999999956
repgrid,se_nq_open_llama8b,8460,10,0.7406200000000001,0.7366400000000001,0.71746,0.72374,0.7428,0.0039799999999999836
repgrid,se_squad_v2_llama8b,2933,10,0.82362,0.80927,0.7933,0.8111200000000001,0.8181,0.014349999999999974
repgrid,seiclr_triviaqa_opt30b,4993,10,0.63049,0.61492,0.59285,0.6308,0.6325,0.015569999999999973
repgrid,semenergy_triviaqa_qwen3_8b,4392,10,0.8111700000000001,0.80045,0.7982899999999999,0.8054,0.8093999999999999,0.010720000000000063
repgrid,spilled_triviaqa_llama8b,256,8,0.9906125,0.90595,0.9290499999999999,0.977275,0.9827,0.08466249999999997
repgrid,trace_gpqa_r1qwen7b,1880,10,0.50616,0.48634000000000005,0.47058999999999995,,,0.019820000000000004
repgrid,trace_gsm8k_llama8b_k10,5000,10,0.81232,0.81145,0.79835,,,0.0008700000000000374
repgrid,trace_math500_qwenmath15b_k10,3000,10,0.69929,0.68937,0.65938,,,0.009919999999999929
repgrid,truthfulqa_llama8b,7633,10,0.68136,0.68379,0.66101,0.68839,0.6878,-0.0024300000000000432
