variant,pool_mode,n_cells,macro_auroc,macro_repgrid,delta_vs_good5,wilcoxon_p,wins,ties,losses,sign_p,mean_pctile,frac_cells_above_random,gap_captured,gap_captured_rag_gpqa,n_nan_auroc,n_fallback,mean_size,mean_seconds,G_floor,G_macro,G_domain
mcfs_s6,c46,25,0.7281,0.7281,-0.0086,0.06021,4,0,15,0.01921,,,-0.281,,0,0,6.0,0.221,n/a,FAIL,n/a
lapscore_adapt,c46,25,0.7261,0.7261,-0.0107,0.10416,7,0,12,0.35928,,,-0.285,,0,0,6.0,0.225,n/a,FAIL,n/a
spec_adapt,c46,25,0.7261,0.7261,-0.0107,0.10416,7,0,12,0.35928,,,-0.285,,0,0,6.0,0.225,n/a,FAIL,n/a
lapscore_s6,c46,25,0.7253,0.7253,-0.0115,0.06021,6,0,13,0.16707,,,-0.289,,0,0,6.0,0.225,n/a,FAIL,n/a
spec_s6,c46,25,0.7253,0.7253,-0.0115,0.06021,6,0,13,0.16707,,,-0.289,,0,0,6.0,0.225,n/a,FAIL,n/a
lapscore_s4,c46,25,0.7243,0.7243,-0.0125,0.11338,7,0,12,0.35928,,,-0.304,,0,0,4.0,0.225,n/a,FAIL,n/a
spec_s4,c46,25,0.7243,0.7243,-0.0125,0.11338,7,0,12,0.35928,,,-0.304,,0,0,4.0,0.225,n/a,FAIL,n/a
ref.consensus_4,c46,25,0.7242,0.7242,-0.0126,0.00458,4,0,15,0.01921,,,-0.469,,0,0,4.0,0.0,n/a,FAIL,n/a
lapscore_s5,c46,25,0.7231,0.7231,-0.0137,0.05457,6,0,13,0.16707,,,-0.333,,0,0,5.0,0.225,n/a,FAIL,n/a
spec_s5,c46,25,0.7231,0.7231,-0.0137,0.05457,6,0,13,0.16707,,,-0.333,,0,0,5.0,0.225,n/a,FAIL,n/a
a1.upcrres_greedy,c46,25,0.7225,0.7225,-0.0143,0.0001,3,0,16,0.00443,,,-0.721,,0,0,3.68,20.94,n/a,FAIL,n/a
random_s5,c46,25,0.7212,0.7212,-0.0155,0.00034,1,0,18,8e-05,,,-0.677,,0,0,5.0,0.009,n/a,FAIL,n/a
a3.cae_k7,c46,25,0.7189,0.7189,-0.0179,0.00334,5,0,14,0.06357,,,-0.484,,0,0,7.0,53.233,n/a,FAIL,n/a
a3.cae_k8,c46,25,0.7187,0.7187,-0.0181,0.02299,5,0,14,0.06357,,,-0.416,,0,0,8.0,53.233,n/a,FAIL,n/a
