variant,pool_mode,n_cells,macro_all,macro_qa,macro_math,delta_vs_good5_all,wilcoxon_p,wins,ties,losses,G_macro
a3.cae_k5,c46,25,0.7132,0.6752,0.7384,-0.0387,0.00012,4,0,21,FAIL
a4.recon_s5,c46,25,0.7124,0.6767,0.7361,-0.0395,0.00063,6,0,19,FAIL
a4.recon_s4,c46,25,0.7116,0.6829,0.7307,-0.0403,0.00251,6,0,19,FAIL
a4.recon_adapt,c46,25,0.7102,0.681,0.7297,-0.0417,0.00038,4,0,21,FAIL
a3.cae,c46,25,0.7032,0.6755,0.7216,-0.0487,0.00025,6,0,19,FAIL
ref.STABLE_H9,c46,25,0.7025,0.6572,0.7328,-0.0493,0.0,2,0,23,FAIL
random_s4,c46,25,0.6976,0.6583,0.7238,-0.0543,0.00012,5,0,20,FAIL
kurtosis_s5,c46,25,0.6959,0.682,0.7052,-0.056,0.00163,7,0,18,FAIL
a1.minres+K_ah,c46,25,0.6955,0.6574,0.7209,-0.0564,0.00115,7,0,18,FAIL
a1.relres_greedy,c46,25,0.6952,0.6567,0.7209,-0.0567,0.00115,7,0,18,FAIL
ref.ALL_H16,c46,25,0.6919,0.6631,0.711,-0.06,0.0,2,0,23,FAIL
a3.cae_k6,c46,25,0.691,0.6642,0.7088,-0.0609,0.00033,7,0,18,FAIL
a1.router@minres,c46,25,0.6851,0.6541,0.7057,-0.0668,0.00016,7,0,18,FAIL
kurtosis_s4,c46,25,0.6804,0.6869,0.6761,-0.0715,0.00022,5,0,20,FAIL
mad_s6,c46,25,0.6779,0.6453,0.6996,-0.074,0.00012,6,0,19,FAIL
mad_s5,c46,25,0.6713,0.6422,0.6906,-0.0806,0.00012,4,0,21,FAIL
decorr_s6,c46,25,0.6617,0.6371,0.6782,-0.0902,0.0,1,0,24,FAIL
mad_s4,c46,25,0.6503,0.6252,0.667,-0.1016,2e-05,5,0,20,FAIL
decorr_s5,c46,25,0.6401,0.6291,0.6474,-0.1118,0.0,0,0,25,FAIL
decorr_s4,c46,25,0.6284,0.6236,0.6315,-0.1235,0.0,0,0,25,FAIL
ref.GOOD_5,h16,25,0.7519,0.721,0.7725,-0.0,0.71722,10,6,9,PASS
a1.router@good5,h16,25,0.7496,0.7134,0.7737,-0.0023,0.79434,11,4,10,PASS
ref.top_macro_5,h16,25,0.7489,0.7211,0.7675,-0.003,0.79148,14,0,11,PASS
a4.good5+K_intrinsic_kn,h16,25,0.7472,0.7099,0.7721,-0.0047,0.16765,8,3,14,PASS
a1.good5+K_kn,h16,25,0.7467,0.7096,0.7715,-0.0052,0.11377,7,4,14,FAIL
a1.good5+K_ah,h16,25,0.7445,0.7104,0.7673,-0.0074,0.22733,8,6,11,FAIL
a4.good5+K_intrinsic_ah,h16,25,0.7413,0.717,0.7576,-0.0106,0.01729,1,17,7,FAIL
a4.anchor_s4,h16,25,0.7398,0.6979,0.7677,-0.0121,0.41077,14,0,11,FAIL
a5.mrmr_a0.0_s4,h16,25,0.7398,0.6979,0.7677,-0.0121,0.41077,14,0,11,FAIL
a2.groups@good5,h16,25,0.7397,0.7012,0.7655,-0.0122,0.05558,8,1,16,FAIL
a4.anchor_adapt,h16,25,0.7391,0.6941,0.7691,-0.0128,0.27518,9,0,16,FAIL
a4.intrinsic_k_ah,h16,25,0.7379,0.6952,0.7663,-0.014,0.23036,13,0,12,FAIL
a4.anchor_s5,h16,25,0.7363,0.6922,0.7657,-0.0156,0.14848,13,0,12,FAIL
a5.mrmr_a0.0_s5,h16,25,0.7363,0.6922,0.7657,-0.0156,0.14848,13,0,12,FAIL
a5.mrmr_a0.3_s5,h16,25,0.7358,0.6921,0.7649,-0.0161,0.17296,13,0,12,FAIL
a4.anchor_s6,h16,25,0.7346,0.6884,0.7653,-0.0173,0.03181,9,0,16,FAIL
a5.mrmr_a0.0_s6,h16,25,0.7346,0.6884,0.7653,-0.0173,0.03181,9,0,16,FAIL
a5.mrmr_a0.5_s5,h16,25,0.7325,0.688,0.7621,-0.0194,0.03417,10,0,15,FAIL
a5.mrmr_a0.3_s4,h16,25,0.7319,0.6936,0.7575,-0.02,0.03417,11,0,14,FAIL
a5.mrmr_a0.5_s6,h16,25,0.7309,0.6816,0.7638,-0.021,0.04215,11,0,14,FAIL
a5.mrmr_a0.3_s6,h16,25,0.7307,0.6811,0.7637,-0.0212,0.01145,8,0,17,FAIL
a5.mrmr_a0.7_adapt,h16,25,0.7303,0.6848,0.7607,-0.0216,0.0046,6,0,19,FAIL
a5.mrmr_a0.5_s4,h16,25,0.7297,0.6887,0.757,-0.0222,0.00737,8,0,17,FAIL
a5.mrmr_a0.7_s6,h16,25,0.729,0.6735,0.7659,-0.0229,0.00251,6,0,19,FAIL
a5.mrmr_a0.7_s5,h16,25,0.7288,0.6859,0.7575,-0.0231,0.01051,9,0,16,FAIL
a5.mrmr_a0.7_s4,h16,25,0.7284,0.6845,0.7576,-0.0235,0.00342,7,0,18,FAIL
a5.mrmr_a0.5_adapt,h16,25,0.7275,0.6782,0.7605,-0.0244,0.00103,6,0,19,FAIL
a5.mrmr_a0.3_adapt,h16,25,0.7245,0.6773,0.756,-0.0274,0.00043,6,0,19,FAIL
ref.consensus_4,h16,25,0.7242,0.6866,0.7493,-0.0277,0.00081,5,0,20,FAIL
a5.mrmr_a0.0_adapt,h16,25,0.7217,0.6763,0.752,-0.0302,6e-05,5,0,20,FAIL
ref.STABLE_H9,h16,25,0.7025,0.6572,0.7328,-0.0493,0.0,2,0,23,FAIL
random_s6,h16,25,0.7009,0.6669,0.7235,-0.051,0.0,2,0,23,FAIL
a3.cae_k8,h16,25,0.6977,0.6556,0.7258,-0.0542,0.0,2,0,23,FAIL
