domain,cell,n,split,seed,greedy_subset,greedy_size,greedy_halfA_auroc,greedy_halfB_auroc,good5_halfB_auroc,fulloracle_subset,fulloracle_halfB_auroc,fulloracle_insample_auroc
repgrid,ars_gsm8k_r1distill8b,500,0,0,epr|stft_max_high_power|sw_var_peak|cusum_max,4,0.7916,0.712,0.7369,epr|trace_length|rpdi|cusum_max|cusum_shift_idx,0.5927,0.779
repgrid,ars_gsm8k_r1distill8b,500,1,0,epr|rpdi|sw_var_peak|cusum_max,4,0.7915,0.7459,0.7499,epr|trace_length|rpdi|cusum_max|cusum_shift_idx,0.755,0.779
repgrid,ars_gsm8k_r1distill8b,500,2,0,epr|spectral_entropy|dominant_freq|sw_var_peak,4,0.7521,0.7787,0.7686,epr|trace_length|rpdi|cusum_max|cusum_shift_idx,0.8002,0.779
repgrid,ars_gsm8k_r1distill8b,500,3,0,epr|spectral_entropy|hl_ratio|dominant_freq|sw_var_peak|cusum_max,6,0.7851,0.7298,0.7299,epr|trace_length|rpdi|cusum_max|cusum_shift_idx,0.786,0.779
repgrid,ars_gsm8k_r1distill8b,500,4,0,epr|dominant_freq|sw_var_peak|cusum_max,4,0.8256,0.6764,0.6766,epr|trace_length|rpdi|cusum_max|cusum_shift_idx,0.7526,0.779
repgrid,ars_gsm8k_r1distill8b,500,5,0,epr|trace_length|dominant_freq|rpdi|sw_var_peak|cusum_max,6,0.7781,0.7561,0.7484,epr|trace_length|rpdi|cusum_max|cusum_shift_idx,0.5187,0.779
repgrid,ars_gsm8k_r1distill8b,500,6,0,epr|spectral_entropy|rpdi|sw_var_peak|cusum_max,5,0.7963,0.7496,0.7398,epr|trace_length|rpdi|cusum_max|cusum_shift_idx,0.5727,0.779
repgrid,ars_gsm8k_r1distill8b,500,7,0,epr|spectral_entropy|sw_var_peak|cusum_max,4,0.7786,0.7465,0.7339,epr|trace_length|rpdi|cusum_max|cusum_shift_idx,0.7644,0.779
repgrid,ars_gsm8k_r1distill8b,500,8,0,epr|spectral_entropy|stft_spectral_entropy|rpdi|sw_var_peak|cusum_max,6,0.8017,0.7379,0.7197,epr|trace_length|rpdi|cusum_max|cusum_shift_idx,0.639,0.779
repgrid,ars_gsm8k_r1distill8b,500,9,0,epr|spectral_entropy|stft_max_high_power|rpdi|sw_var_peak|cusum_max,6,0.7887,0.7391,0.7524,epr|trace_length|rpdi|cusum_max|cusum_shift_idx,0.7696,0.779
repgrid,epr_triviaqa_mistral24b,621,0,0,epr|hl_ratio|sw_var_peak|cusum_max,4,0.7078,0.7517,0.7277,epr|hl_ratio|sw_var_peak|hurst_exponent,0.7449,0.7384
repgrid,epr_triviaqa_mistral24b,621,1,0,epr|sw_var_peak|cusum_max,3,0.7393,0.7117,0.6979,epr|hl_ratio|sw_var_peak|hurst_exponent,0.7266,0.7384
repgrid,epr_triviaqa_mistral24b,621,2,0,epr|sw_var_peak|cusum_max|cusum_shift_idx,4,0.7107,0.7414,0.7213,epr|hl_ratio|sw_var_peak|hurst_exponent,0.7485,0.7384
repgrid,epr_triviaqa_mistral24b,621,3,0,epr|sw_var_peak|hurst_exponent|cusum_max,4,0.7599,0.6766,0.6745,epr|hl_ratio|sw_var_peak|hurst_exponent,0.7066,0.7384
repgrid,epr_triviaqa_mistral24b,621,4,0,epr|sw_var_peak|cusum_max,3,0.7381,0.7239,0.6922,epr|hl_ratio|sw_var_peak|hurst_exponent,0.7321,0.7384
repgrid,epr_triviaqa_mistral24b,621,5,0,epr|trace_length|sw_var_peak|cusum_max,4,0.7293,0.7084,0.6991,epr|hl_ratio|sw_var_peak|hurst_exponent,0.7495,0.7384
repgrid,epr_triviaqa_mistral24b,621,6,0,epr|hl_ratio|sw_var_peak|cusum_max,4,0.7414,0.7117,0.6907,epr|hl_ratio|sw_var_peak|hurst_exponent,0.7229,0.7384
repgrid,epr_triviaqa_mistral24b,621,7,0,epr|dominant_freq|sw_var_peak|cusum_max,4,0.7403,0.6829,0.6975,epr|hl_ratio|sw_var_peak|hurst_exponent,0.6861,0.7384
repgrid,epr_triviaqa_mistral24b,621,8,0,epr|hl_ratio|sw_var_peak|cusum_max,4,0.6884,0.7664,0.7442,epr|hl_ratio|sw_var_peak|hurst_exponent,0.7731,0.7384
repgrid,epr_triviaqa_mistral24b,621,9,0,epr|sw_var_peak|cusum_max,3,0.7341,0.7138,0.6939,epr|hl_ratio|sw_var_peak|hurst_exponent,0.7013,0.7384
repgrid,inside_coqa_llama7b,4504,0,0,epr|spectral_entropy|low_band_power|sw_var_peak|cusum_max|cusum_shift_idx,6,0.6074,0.5978,0.6985,epr|spectral_entropy|dominant_freq|stft_spectral_entropy,0.7306,0.7227
repgrid,inside_coqa_llama7b,4504,1,0,epr|spectral_entropy|low_band_power|sw_var_peak|cusum_max|cusum_shift_idx,6,0.6222,0.5964,0.694,epr|spectral_entropy|dominant_freq|stft_spectral_entropy,0.74,0.7227
repgrid,inside_coqa_llama7b,4504,2,0,epr|spectral_entropy|low_band_power|sw_var_peak|cusum_max|cusum_shift_idx,6,0.6354,0.5891,0.6843,epr|spectral_entropy|dominant_freq|stft_spectral_entropy,0.7249,0.7227
repgrid,inside_coqa_llama7b,4504,3,0,epr|spectral_entropy|low_band_power|sw_var_peak|cusum_max|cusum_shift_idx,6,0.633,0.5867,0.6825,epr|spectral_entropy|dominant_freq|stft_spectral_entropy,0.7053,0.7227
repgrid,inside_coqa_llama7b,4504,4,0,epr|spectral_entropy|low_band_power|sw_var_peak|cusum_max|cusum_shift_idx,6,0.6348,0.5914,0.6819,epr|spectral_entropy|dominant_freq|stft_spectral_entropy,0.7173,0.7227
repgrid,inside_coqa_llama7b,4504,5,0,epr|spectral_entropy|low_band_power|sw_var_peak|cusum_max|cusum_shift_idx,6,0.6483,0.5777,0.6695,epr|spectral_entropy|dominant_freq|stft_spectral_entropy,0.537,0.7227
repgrid,inside_coqa_llama7b,4504,6,0,spectral_entropy|low_band_power|sw_var_peak|cusum_max|cusum_shift_idx,5,0.6222,0.5997,0.6873,epr|spectral_entropy|dominant_freq|stft_spectral_entropy,0.5491,0.7227
repgrid,inside_coqa_llama7b,4504,7,0,epr|spectral_entropy|low_band_power|sw_var_peak|cusum_max|cusum_shift_idx,6,0.6275,0.6281,0.6897,epr|spectral_entropy|dominant_freq|stft_spectral_entropy,0.7171,0.7227
repgrid,inside_coqa_llama7b,4504,8,0,epr|spectral_entropy|low_band_power|sw_var_peak|cusum_max|cusum_shift_idx,6,0.627,0.591,0.6873,epr|spectral_entropy|dominant_freq|stft_spectral_entropy,0.7384,0.7227
repgrid,inside_coqa_llama7b,4504,9,0,epr|spectral_entropy|low_band_power|sw_var_peak|cusum_max|cusum_shift_idx,6,0.6315,0.5894,0.6834,epr|spectral_entropy|dominant_freq|stft_spectral_entropy,0.7282,0.7227
repgrid,internalstates_gsm8k_qwen25_7b,500,0,0,epr|trace_length|spectral_entropy|sw_var_peak|hurst_exponent|cusum_max,6,0.791,0.6995,0.615,epr|trace_length|spectral_entropy|rpdi|sw_var_peak|pe_mean|hurst_exponent|cusum_shift_idx,0.6873,0.7283
repgrid,internalstates_gsm8k_qwen25_7b,500,1,0,epr|trace_length|spectral_entropy|sw_var_peak|hurst_exponent|cusum_max,6,0.7206,0.758,0.628,epr|trace_length|spectral_entropy|rpdi|sw_var_peak|pe_mean|hurst_exponent|cusum_shift_idx,0.7485,0.7283
repgrid,internalstates_gsm8k_qwen25_7b,500,2,0,spectral_entropy|sw_var_peak|cusum_max,3,0.7365,0.7397,0.7078,epr|trace_length|spectral_entropy|rpdi|sw_var_peak|pe_mean|hurst_exponent|cusum_shift_idx,0.7238,0.7283
repgrid,internalstates_gsm8k_qwen25_7b,500,3,0,epr|trace_length|spectral_entropy|rpdi|sw_var_peak|cusum_max,6,0.738,0.7473,0.7104,epr|trace_length|spectral_entropy|rpdi|sw_var_peak|pe_mean|hurst_exponent|cusum_shift_idx,0.7278,0.7283
repgrid,internalstates_gsm8k_qwen25_7b,500,4,0,epr|trace_length|spectral_entropy|low_band_power|sw_var_peak|cusum_max,6,0.732,0.7403,0.7087,epr|trace_length|spectral_entropy|rpdi|sw_var_peak|pe_mean|hurst_exponent|cusum_shift_idx,0.7395,0.7283
repgrid,internalstates_gsm8k_qwen25_7b,500,5,0,epr|trace_length|spectral_entropy|low_band_power|sw_var_peak|cusum_max,6,0.7367,0.719,0.5801,epr|trace_length|spectral_entropy|rpdi|sw_var_peak|pe_mean|hurst_exponent|cusum_shift_idx,0.7341,0.7283
repgrid,internalstates_gsm8k_qwen25_7b,500,6,0,epr|trace_length|spectral_entropy|sw_var_peak|hurst_exponent|cusum_max,6,0.7231,0.7614,0.7311,epr|trace_length|spectral_entropy|rpdi|sw_var_peak|pe_mean|hurst_exponent|cusum_shift_idx,0.7513,0.7283
repgrid,internalstates_gsm8k_qwen25_7b,500,7,0,spectral_entropy|sw_var_peak|cusum_max,3,0.7335,0.7387,0.7093,epr|trace_length|spectral_entropy|rpdi|sw_var_peak|pe_mean|hurst_exponent|cusum_shift_idx,0.7015,0.7283
repgrid,internalstates_gsm8k_qwen25_7b,500,8,0,trace_length|low_band_power|sw_var_peak|cusum_max,4,0.7381,0.6981,0.5922,epr|trace_length|spectral_entropy|rpdi|sw_var_peak|pe_mean|hurst_exponent|cusum_shift_idx,0.7325,0.7283
repgrid,internalstates_gsm8k_qwen25_7b,500,9,0,spectral_entropy|low_band_power|rpdi|sw_var_peak|cusum_max,5,0.7357,0.6632,0.6923,epr|trace_length|spectral_entropy|rpdi|sw_var_peak|pe_mean|hurst_exponent|cusum_shift_idx,0.7231,0.7283
repgrid,lapeigvals_gsm8k_llama3b,1319,0,0,epr|low_band_power|rpdi|sw_var_peak|cusum_shift_idx,5,0.706,0.6814,0.6912,epr|spectral_entropy|stft_max_high_power|pe_mean|cusum_max,0.7131,0.7096
repgrid,lapeigvals_gsm8k_llama3b,1319,1,0,epr|low_band_power|dominant_freq|sw_var_peak,4,0.7047,0.6684,0.6744,epr|spectral_entropy|stft_max_high_power|pe_mean|cusum_max,0.6397,0.7096
repgrid,lapeigvals_gsm8k_llama3b,1319,2,0,epr|trace_length|low_band_power|rpdi|sw_var_peak|cusum_shift_idx,6,0.7085,0.6779,0.6727,epr|spectral_entropy|stft_max_high_power|pe_mean|cusum_max,0.7069,0.7096
repgrid,lapeigvals_gsm8k_llama3b,1319,3,0,epr|rpdi|sw_var_peak|cusum_max,4,0.7246,0.6653,0.6697,epr|spectral_entropy|stft_max_high_power|pe_mean|cusum_max,0.6862,0.7096
repgrid,lapeigvals_gsm8k_llama3b,1319,4,0,epr|sw_var_peak|cusum_max,3,0.7077,0.6965,0.6899,epr|spectral_entropy|stft_max_high_power|pe_mean|cusum_max,0.6009,0.7096
repgrid,lapeigvals_gsm8k_llama3b,1319,5,0,epr|sw_var_peak|cusum_max,3,0.6978,0.7077,0.6944,epr|spectral_entropy|stft_max_high_power|pe_mean|cusum_max,0.6467,0.7096
repgrid,lapeigvals_gsm8k_llama3b,1319,6,0,epr|stft_max_high_power|rpdi|sw_var_peak|cusum_max,5,0.6884,0.7042,0.7092,epr|spectral_entropy|stft_max_high_power|pe_mean|cusum_max,0.5843,0.7096
repgrid,lapeigvals_gsm8k_llama3b,1319,7,0,epr|sw_var_peak|cusum_max,3,0.6962,0.7115,0.703,epr|spectral_entropy|stft_max_high_power|pe_mean|cusum_max,0.6141,0.7096
repgrid,lapeigvals_gsm8k_llama3b,1319,8,0,epr|low_band_power|sw_var_peak,3,0.7145,0.6743,0.6814,epr|spectral_entropy|stft_max_high_power|pe_mean|cusum_max,0.6322,0.7096
repgrid,lapeigvals_gsm8k_llama3b,1319,9,0,epr|sw_var_peak|cusum_max,3,0.724,0.6829,0.663,epr|spectral_entropy|stft_max_high_power|pe_mean|cusum_max,0.531,0.7096
repgrid,lapeigvals_gsm8k_llama8b,500,0,0,epr|low_band_power|rpdi|sw_var_peak|pe_mean|hurst_exponent,6,0.819,0.7973,0.8455,epr|trace_length|rpdi|sw_var_peak,0.8636,0.8279
