domain,cell,size,n,objective,spearman
math500,Qwen-Math-7B_T1.5,3,364,eq14_rel,-0.2767
math500,Qwen-Math-7B_T1.5,3,364,rho_mean,0.6534
math500,Qwen-Math-7B_T1.5,3,364,rho_max,0.3799
math500,Qwen-Math-7B_T1.5,4,1001,eq14_raw,0.4567
math500,Qwen-Math-7B_T1.5,4,1001,eq14_rel,0.2815
math500,Qwen-Math-7B_T1.5,4,1001,rho_mean,0.4545
math500,Qwen-Math-7B_T1.5,4,1001,rho_max,0.2601
math500,Qwen-Math-7B_T1.5,4,1001,K,-0.04
math500,Qwen-Math-7B_T1.5,5,2002,eq14_raw,0.3032
math500,Qwen-Math-7B_T1.5,5,2002,eq14_rel,0.2193
math500,Qwen-Math-7B_T1.5,5,2002,rho_mean,0.2842
math500,Qwen-Math-7B_T1.5,5,2002,rho_max,0.1504
math500,Qwen-Math-7B_T1.5,5,2002,K,-0.0826
math500,Qwen-Math-7B_T1.5,6,3003,eq14_raw,0.1998
math500,Qwen-Math-7B_T1.5,6,3003,eq14_rel,0.2034
math500,Qwen-Math-7B_T1.5,6,3003,rho_mean,0.169
math500,Qwen-Math-7B_T1.5,6,3003,rho_max,0.1049
math500,Qwen-Math-7B_T1.5,6,3003,K,-0.1409
math500,Qwen-Math-7B_T1.5,7,3432,eq14_raw,0.1236
math500,Qwen-Math-7B_T1.5,7,3432,eq14_rel,0.1507
math500,Qwen-Math-7B_T1.5,7,3432,rho_mean,0.0752
math500,Qwen-Math-7B_T1.5,7,3432,rho_max,0.0909
math500,Qwen-Math-7B_T1.5,7,3432,K,-0.0838
math500,Qwen-Math-7B_T1.5,8,3003,eq14_raw,0.1182
math500,Qwen-Math-7B_T1.5,8,3003,eq14_rel,0.1555
math500,Qwen-Math-7B_T1.5,8,3003,rho_mean,0.0794
math500,Qwen-Math-7B_T1.5,8,3003,rho_max,0.0966
math500,Qwen-Math-7B_T1.5,8,3003,K,-0.0479
math500,Qwen-Math-7B_T1.5,9,2002,eq14_raw,0.0411
math500,Qwen-Math-7B_T1.5,9,2002,eq14_rel,0.0959
math500,Qwen-Math-7B_T1.5,9,2002,rho_mean,-0.0017
math500,Qwen-Math-7B_T1.5,9,2002,rho_max,0.0741
math500,Qwen-Math-7B_T1.5,9,2002,K,-0.0403
math500,Qwen-Math-7B_T1.5,10,1001,eq14_raw,0.0411
math500,Qwen-Math-7B_T1.5,10,1001,eq14_rel,0.1269
math500,Qwen-Math-7B_T1.5,10,1001,rho_mean,-0.0161
math500,Qwen-Math-7B_T1.5,10,1001,rho_max,0.09
math500,Qwen-Math-7B_T1.5,10,1001,K,0.0263
math500,Qwen-Math-7B_T1.5,11,364,eq14_raw,0.0691
math500,Qwen-Math-7B_T1.5,11,364,eq14_rel,0.1997
math500,Qwen-Math-7B_T1.5,11,364,rho_mean,-0.0219
math500,Qwen-Math-7B_T1.5,11,364,rho_max,0.0803
math500,Qwen-Math-7B_T1.5,11,364,K,0.0497
math500,Qwen-Math-7B_T1.5,12,91,eq14_raw,0.094
math500,Qwen-Math-7B_T1.5,12,91,eq14_rel,0.254
math500,Qwen-Math-7B_T1.5,12,91,rho_mean,0.0039
math500,Qwen-Math-7B_T1.5,12,91,rho_max,0.1585
math500,Qwen-Math-7B_T1.5,12,91,K,0.1849
math500,Qwen-Math-7B_T1.5,4,34,upcr_k1,0.2044
math500,Qwen-Math-7B_T1.5,5,34,upcr_k1,-0.1881
math500,Qwen-Math-7B_T1.5,6,34,upcr_k1,0.0219
math500,deepseek-math-7b-instruct_T1.5,3,560,eq14_raw,-0.4507
math500,deepseek-math-7b-instruct_T1.5,3,560,eq14_rel,-0.4555
math500,deepseek-math-7b-instruct_T1.5,3,560,rho_mean,0.3891
math500,deepseek-math-7b-instruct_T1.5,3,560,rho_max,0.1283
math500,deepseek-math-7b-instruct_T1.5,4,1820,eq14_raw,-0.3216
math500,deepseek-math-7b-instruct_T1.5,4,1820,eq14_rel,-0.397
math500,deepseek-math-7b-instruct_T1.5,4,1820,rho_mean,0.1826
math500,deepseek-math-7b-instruct_T1.5,4,1820,rho_max,-0.1018
math500,deepseek-math-7b-instruct_T1.5,4,1820,K,-0.1047
math500,deepseek-math-7b-instruct_T1.5,5,4368,eq14_raw,-0.3059
math500,deepseek-math-7b-instruct_T1.5,5,4368,eq14_rel,-0.4258
math500,deepseek-math-7b-instruct_T1.5,5,4368,rho_mean,0.0098
math500,deepseek-math-7b-instruct_T1.5,5,4368,rho_max,-0.2504
math500,deepseek-math-7b-instruct_T1.5,5,4368,K,-0.0277
math500,deepseek-math-7b-instruct_T1.5,6,8008,eq14_raw,-0.3289
math500,deepseek-math-7b-instruct_T1.5,6,8008,eq14_rel,-0.4351
math500,deepseek-math-7b-instruct_T1.5,6,8008,rho_mean,-0.0581
math500,deepseek-math-7b-instruct_T1.5,6,8008,rho_max,-0.3426
math500,deepseek-math-7b-instruct_T1.5,6,8008,K,-0.008
math500,deepseek-math-7b-instruct_T1.5,7,11440,eq14_raw,-0.3577
math500,deepseek-math-7b-instruct_T1.5,7,11440,eq14_rel,-0.4712
math500,deepseek-math-7b-instruct_T1.5,7,11440,rho_mean,-0.0912
math500,deepseek-math-7b-instruct_T1.5,7,11440,rho_max,-0.3892
math500,deepseek-math-7b-instruct_T1.5,7,11440,K,0.0361
math500,deepseek-math-7b-instruct_T1.5,8,12870,eq14_raw,-0.3582
math500,deepseek-math-7b-instruct_T1.5,8,12870,eq14_rel,-0.4616
math500,deepseek-math-7b-instruct_T1.5,8,12870,rho_mean,-0.097
math500,deepseek-math-7b-instruct_T1.5,8,12870,rho_max,-0.3991
math500,deepseek-math-7b-instruct_T1.5,8,12870,K,0.0305
math500,deepseek-math-7b-instruct_T1.5,9,11440,eq14_raw,-0.3556
math500,deepseek-math-7b-instruct_T1.5,9,11440,eq14_rel,-0.4533
math500,deepseek-math-7b-instruct_T1.5,9,11440,rho_mean,-0.0976
math500,deepseek-math-7b-instruct_T1.5,9,11440,rho_max,-0.3938
math500,deepseek-math-7b-instruct_T1.5,9,11440,K,-0.0209
math500,deepseek-math-7b-instruct_T1.5,10,8008,eq14_raw,-0.3715
math500,deepseek-math-7b-instruct_T1.5,10,8008,eq14_rel,-0.4699
math500,deepseek-math-7b-instruct_T1.5,10,8008,rho_mean,-0.1135
math500,deepseek-math-7b-instruct_T1.5,10,8008,rho_max,-0.3779
math500,deepseek-math-7b-instruct_T1.5,10,8008,K,-0.0034
math500,deepseek-math-7b-instruct_T1.5,11,4368,eq14_raw,-0.3868
math500,deepseek-math-7b-instruct_T1.5,11,4368,eq14_rel,-0.4859
math500,deepseek-math-7b-instruct_T1.5,11,4368,rho_mean,-0.1376
math500,deepseek-math-7b-instruct_T1.5,11,4368,rho_max,-0.3388
