domain,cell,n,n_splits,greedy_halfA,greedy_halfB,good5_halfB,fulloracle_halfB,fulloracle_insample,optimism_gap
repgrid,ars_gsm8k_r1distill8b,500,10,0.80031,0.69773,0.71252,0.65774,0.779,0.10258
repgrid,epr_triviaqa_mistral24b,621,10,0.77082,0.73639,0.69793,0.70656,0.7384,0.03442999999999996
repgrid,gpqa_llama70b,1980,10,0.64695,0.61796,0.61283,,,0.02899000000000007
repgrid,gpqa_llama8b,1980,10,0.54333,0.51518,0.53007,,,0.02815000000000001
repgrid,gpqa_mistral7b,1980,10,0.52622,0.50598,0.5059400000000001,,,0.020240000000000036
repgrid,gpqa_qwen72b,1980,10,0.55601,0.5252,0.55069,,,0.030810000000000004
repgrid,gpqa_r1distill8b,1750,10,0.52725,0.5039,0.48427,,,0.023349999999999982
repgrid,inside_coqa_llama7b,4504,10,0.7112999999999999,0.64886,0.68897,0.7274,0.7227,0.06243999999999994
repgrid,internalstates_gsm8k_qwen25_7b,500,10,0.76676,0.74928,0.67082,0.71065,0.7283,0.01748000000000005
repgrid,lapeigvals_gsm8k_llama3b,1319,10,0.73045,0.71052,0.69163,0.64398,0.7096,0.019930000000000003
repgrid,lapeigvals_gsm8k_llama8b,500,10,0.8448499999999999,0.8103,0.80962,0.82387,0.8279,0.03454999999999986
repgrid,lapeigvals_gsm8k_mistral24b,1319,10,0.88045,0.8465199999999999,0.78776,0.83111,0.8693,0.033930000000000016
repgrid,lapeigvals_gsm8k_nemo,1319,10,0.82433,0.8098000000000001,0.77771,0.80718,0.8139999999999998,0.014529999999999932
repgrid,lapeigvals_gsm8k_phi35,1319,10,0.8314299999999999,0.79349,0.79593,0.79897,0.8176,0.03793999999999986
repgrid,losnet_hotpotqa_mistral7b,500,10,0.62402,0.57575,0.57743,0.6040300000000001,0.6107,0.048270000000000035
repgrid,math500_dsmath7b,300,10,0.8184400000000001,0.77373,0.75263,,,0.04471000000000003
repgrid,math500_qwenmath7b,300,10,0.9498200000000001,0.9461999999999999,0.9203300000000001,,,0.0036200000000001786
repgrid,math500_r1distill8b,300,10,0.8880399999999999,0.8466400000000001,0.82539,,,0.04139999999999988
repgrid,math500_r1distill8b_mn4096,300,10,0.8673299999999999,0.8617699999999999,0.8472200000000001,,,0.005560000000000009
repgrid,noise_gsm8k_mistral7b,1319,10,0.8203199999999999,0.81035,0.78871,0.82057,0.8183,0.009969999999999923
repgrid,noise_gsm8k_phi3mini,1319,10,0.70767,0.67903,0.6534599999999999,0.6582399999999999,0.6935,0.02864
repgrid,rag_2wikimultihopqa_llama70b,240,10,0.62826,0.45243,0.45217,,,0.17583000000000004
repgrid,rag_2wikimultihopqa_llama8b,240,10,0.49503,0.28717000000000004,0.29786,,,0.20786
repgrid,rag_2wikimultihopqa_mistral24b,240,10,0.43658,0.37337,0.33940000000000003,,,0.06321000000000004
repgrid,rag_2wikimultihopqa_qwen72b,240,10,0.8192299999999999,0.71804,0.5369200000000001,,,0.10118999999999989
repgrid,rag_2wikimultihopqa_qwen7b,240,10,0.65051,0.48904,0.3936,,,0.16147000000000006
repgrid,rag_hotpotqa_llama70b,240,10,0.91928,0.76597,0.63439,,,0.15330999999999995
repgrid,rag_hotpotqa_llama8b,240,10,0.90412,0.86636,0.50935,,,0.037760000000000016
repgrid,rag_hotpotqa_mistral24b,240,10,0.76131,0.5826,0.53939,,,0.17871000000000004
repgrid,rag_hotpotqa_qwen72b,240,10,0.88011,0.8616199999999999,0.75571,,,0.018490000000000006
repgrid,rag_hotpotqa_qwen7b,240,10,0.7799400000000001,0.6397700000000001,0.54604,,,0.14017000000000002
repgrid,rag_narrativeqa_llama70b,240,10,0.7053,0.54645,0.56866,,,0.15885000000000005
repgrid,rag_narrativeqa_llama8b,240,10,0.75157,0.52667,0.40313999999999994,,,0.2249
repgrid,rag_narrativeqa_mistral24b,240,10,0.76262,0.611,0.57489,,,0.15161999999999998
