objective,domain,n_units,median_spearman,frac_negative,verdict
K,gpqa,53,0.0326,0.377,NOT-ADMISSIBLE
K,gsm8k,11,0.1914,0.182,NOT-ADMISSIBLE
K,math500,41,-0.0403,0.78,NOT-ADMISSIBLE
K,qa,31,-0.0502,0.903,NOT-ADMISSIBLE
K,rag,159,0.0191,0.44,NOT-ADMISSIBLE
K,repgrid,197,-0.0402,0.599,NOT-ADMISSIBLE
K,trace,32,0.0321,0.438,NOT-ADMISSIBLE
eq14_raw,gpqa,58,-0.1061,0.586,NOT-ADMISSIBLE
eq14_raw,gsm8k,12,0.2677,0.083,NOT-ADMISSIBLE
eq14_raw,math500,45,-0.0616,0.511,NOT-ADMISSIBLE
eq14_raw,qa,34,-0.0795,0.882,NOT-ADMISSIBLE
eq14_raw,rag,175,-0.0041,0.503,NOT-ADMISSIBLE
eq14_raw,repgrid,216,-0.0566,0.653,NOT-ADMISSIBLE
eq14_raw,trace,35,0.1069,0.314,NOT-ADMISSIBLE
eq14_rel,gpqa,58,-0.0504,0.534,NOT-ADMISSIBLE
eq14_rel,gsm8k,12,0.2287,0.167,NOT-ADMISSIBLE
eq14_rel,math500,45,-0.1999,0.578,NOT-ADMISSIBLE
eq14_rel,qa,34,-0.1699,0.912,ADMISSIBLE
eq14_rel,rag,175,-0.0281,0.56,NOT-ADMISSIBLE
eq14_rel,repgrid,216,-0.1086,0.75,ADMISSIBLE
eq14_rel,trace,35,0.0984,0.343,NOT-ADMISSIBLE
rho_max,gpqa,58,-0.1295,0.603,ADMISSIBLE
rho_max,gsm8k,12,0.2116,0.0,NOT-ADMISSIBLE
rho_max,math500,45,-0.1332,0.622,ADMISSIBLE
rho_max,qa,34,0.0014,0.5,NOT-ADMISSIBLE
rho_max,rag,175,0.0022,0.491,NOT-ADMISSIBLE
rho_max,repgrid,216,0.0514,0.44,NOT-ADMISSIBLE
rho_max,trace,35,0.0757,0.314,NOT-ADMISSIBLE
rho_mean,gpqa,58,-0.1905,0.603,ADMISSIBLE
rho_mean,gsm8k,12,0.1856,0.083,NOT-ADMISSIBLE
rho_mean,math500,45,0.0752,0.4,NOT-ADMISSIBLE
rho_mean,qa,34,0.0731,0.265,NOT-ADMISSIBLE
rho_mean,rag,175,-0.0541,0.583,NOT-ADMISSIBLE
rho_mean,repgrid,216,-0.0425,0.606,NOT-ADMISSIBLE
rho_mean,trace,35,-0.0529,0.571,NOT-ADMISSIBLE
upcr_k1,gpqa,15,0.063,0.467,NOT-ADMISSIBLE
upcr_k1,gsm8k,3,0.3375,0.0,NOT-ADMISSIBLE
upcr_k1,math500,12,0.014,0.417,NOT-ADMISSIBLE
upcr_k1,qa,9,0.0183,0.444,NOT-ADMISSIBLE
upcr_k1,rag,48,-0.0347,0.625,NOT-ADMISSIBLE
upcr_k1,repgrid,57,0.0506,0.386,NOT-ADMISSIBLE
upcr_k1,trace,9,0.0776,0.222,NOT-ADMISSIBLE
K,ALL,524,-0.0132,0.542,NOT-ADMISSIBLE
eq14_raw,ALL,575,-0.0421,0.57,NOT-ADMISSIBLE
eq14_rel,ALL,575,-0.0803,0.63,NOT-ADMISSIBLE
rho_max,ALL,575,0.0287,0.473,NOT-ADMISSIBLE
rho_mean,ALL,575,-0.0277,0.55,NOT-ADMISSIBLE
upcr_k1,ALL,153,0.0219,0.458,NOT-ADMISSIBLE
