domain,cell,size,lsml_auroc,upcr_auroc,lsml_rel_residual,upcr_k1_residual,route_lsml,lsml_wins,router_correct
math500,Qwen2.5-Math-1.5B-Instruct_T1.5,4,0.8546,0.8567,0.34517,0.31587,False,False,True
math500,Qwen2.5-Math-1.5B-Instruct_T1.5,4,0.8487,0.8544,0.18047,0.27747,True,False,False
math500,Qwen2.5-Math-1.5B-Instruct_T1.5,4,0.864,0.8153,0.31984,0.39688,True,True,True
math500,Qwen2.5-Math-1.5B-Instruct_T1.5,4,0.7667,0.7852,0.27647,0.24786,False,False,True
math500,Qwen2.5-Math-1.5B-Instruct_T1.5,4,0.8523,0.8472,0.21196,0.7545,True,True,True
math500,Qwen2.5-Math-1.5B-Instruct_T1.5,4,0.8645,0.8604,0.2908,0.33312,True,True,True
math500,Qwen2.5-Math-1.5B-Instruct_T1.5,4,0.8682,0.8583,0.36515,0.32541,False,True,False
math500,Qwen2.5-Math-1.5B-Instruct_T1.5,4,0.8583,0.8697,0.27997,0.25431,False,False,True
math500,Qwen2.5-Math-1.5B-Instruct_T1.5,4,0.8494,0.8551,0.26359,0.2299,False,False,True
math500,Qwen2.5-Math-1.5B-Instruct_T1.5,4,0.8533,0.8211,0.24144,0.34743,True,True,True
math500,Qwen2.5-Math-1.5B-Instruct_T1.5,4,0.8551,0.8558,0.26619,0.3235,True,False,False
math500,Qwen2.5-Math-1.5B-Instruct_T1.5,4,0.7869,0.4709,3.07472,0.80794,False,True,False
math500,Qwen2.5-Math-1.5B-Instruct_T1.5,4,0.8158,0.8725,0.29429,0.43577,True,False,False
math500,Qwen2.5-Math-1.5B-Instruct_T1.5,4,0.8602,0.8564,0.38497,0.94638,True,True,True
math500,Qwen2.5-Math-1.5B-Instruct_T1.5,4,0.867,0.8624,0.38499,0.34552,False,True,False
math500,Qwen2.5-Math-1.5B-Instruct_T1.5,4,0.8522,0.8144,0.31378,0.39329,True,True,True
math500,Qwen2.5-Math-1.5B-Instruct_T1.5,4,0.859,0.8447,0.28433,0.39851,True,True,True
math500,Qwen2.5-Math-1.5B-Instruct_T1.5,4,0.8294,0.8448,0.29331,0.25174,False,False,True
math500,Qwen2.5-Math-1.5B-Instruct_T1.5,4,0.8602,0.8645,0.27925,0.29974,True,False,False
math500,Qwen2.5-Math-1.5B-Instruct_T1.5,4,0.8528,0.7442,0.26155,0.62566,True,True,True
math500,Qwen2.5-Math-1.5B-Instruct_T1.5,4,0.8721,0.8428,0.31067,0.83675,True,True,True
math500,Qwen2.5-Math-1.5B-Instruct_T1.5,4,0.8613,0.8348,0.37545,0.36418,False,True,False
math500,Qwen2.5-Math-1.5B-Instruct_T1.5,4,0.8716,0.8579,0.33173,0.35119,True,True,True
math500,Qwen2.5-Math-1.5B-Instruct_T1.5,4,0.8567,0.8224,0.26437,0.33807,True,True,True
math500,Qwen2.5-Math-1.5B-Instruct_T1.5,4,0.8182,0.8011,0.30308,0.83101,True,True,True
math500,Qwen2.5-Math-1.5B-Instruct_T1.5,4,0.873,0.8046,0.34771,0.49262,True,True,True
math500,Qwen2.5-Math-1.5B-Instruct_T1.5,4,0.8486,0.8232,0.30002,0.34624,True,True,True
math500,Qwen2.5-Math-1.5B-Instruct_T1.5,4,0.7392,0.3445,1.26198,0.15503,False,True,False
math500,Qwen2.5-Math-1.5B-Instruct_T1.5,4,0.8616,0.869,0.38045,0.34073,False,False,True
math500,Qwen2.5-Math-1.5B-Instruct_T1.5,4,0.8595,0.8503,0.13525,0.41859,True,True,True
math500,Qwen2.5-Math-1.5B-Instruct_T1.5,4,0.8334,0.851,0.24494,0.21408,False,False,True
math500,Qwen2.5-Math-1.5B-Instruct_T1.5,4,0.837,0.8684,0.27592,0.42109,True,False,False
math500,Qwen2.5-Math-1.5B-Instruct_T1.5,4,0.8671,0.8481,0.28416,0.8537,True,True,True
math500,Qwen2.5-Math-1.5B-Instruct_T1.5,4,0.7894,0.8147,0.12433,0.59916,True,False,False
math500,Qwen2.5-Math-1.5B-Instruct_T1.5,5,0.8385,0.8394,0.44758,0.74253,True,False,False
math500,Qwen2.5-Math-1.5B-Instruct_T1.5,5,0.7941,0.794,0.05098,0.29944,True,True,True
math500,Qwen2.5-Math-1.5B-Instruct_T1.5,5,0.8666,0.8632,0.38424,0.20976,False,True,False
math500,Qwen2.5-Math-1.5B-Instruct_T1.5,5,0.8634,0.8697,0.41243,0.21922,False,False,True
math500,Qwen2.5-Math-1.5B-Instruct_T1.5,5,0.8611,0.8617,0.41171,0.5272,True,False,False
math500,Qwen2.5-Math-1.5B-Instruct_T1.5,5,0.8387,0.816,0.25537,0.2406,False,True,False
math500,Qwen2.5-Math-1.5B-Instruct_T1.5,5,0.8371,0.8501,0.35809,0.30113,False,False,True
math500,Qwen2.5-Math-1.5B-Instruct_T1.5,5,0.8403,0.4162,0.40335,0.95966,True,True,True
math500,Qwen2.5-Math-1.5B-Instruct_T1.5,5,0.8585,0.8646,0.41874,0.23725,False,False,True
math500,Qwen2.5-Math-1.5B-Instruct_T1.5,5,0.8669,0.8624,0.45994,0.22096,False,True,False
math500,Qwen2.5-Math-1.5B-Instruct_T1.5,5,0.8069,0.767,0.09393,0.46089,True,True,True
math500,Qwen2.5-Math-1.5B-Instruct_T1.5,5,0.8816,0.8702,0.38794,0.34444,False,True,False
math500,Qwen2.5-Math-1.5B-Instruct_T1.5,5,0.8321,0.8548,0.26139,0.19886,False,False,True
math500,Qwen2.5-Math-1.5B-Instruct_T1.5,5,0.8658,0.872,0.35797,0.3215,False,False,True
math500,Qwen2.5-Math-1.5B-Instruct_T1.5,5,0.8439,0.8557,0.3185,0.23167,False,False,True
math500,Qwen2.5-Math-1.5B-Instruct_T1.5,5,0.8412,0.8518,0.22412,0.25887,True,False,False
math500,Qwen2.5-Math-1.5B-Instruct_T1.5,5,0.8645,0.8625,0.28196,0.27855,False,True,False
math500,Qwen2.5-Math-1.5B-Instruct_T1.5,5,0.8705,0.854,0.38648,0.32624,False,True,False
math500,Qwen2.5-Math-1.5B-Instruct_T1.5,5,0.872,0.8699,0.44715,0.13538,False,True,False
math500,Qwen2.5-Math-1.5B-Instruct_T1.5,5,0.8666,0.8485,0.33998,0.59717,True,True,True
math500,Qwen2.5-Math-1.5B-Instruct_T1.5,5,0.8558,0.8548,0.36967,0.31943,False,True,False
math500,Qwen2.5-Math-1.5B-Instruct_T1.5,5,0.8565,0.8518,0.40679,0.5001,True,True,True
math500,Qwen2.5-Math-1.5B-Instruct_T1.5,5,0.8466,0.8548,0.39184,0.2903,False,False,True
math500,Qwen2.5-Math-1.5B-Instruct_T1.5,5,0.8659,0.8623,0.40794,0.05838,False,True,False
math500,Qwen2.5-Math-1.5B-Instruct_T1.5,5,0.8513,0.8558,0.3384,0.35938,True,False,False
math500,Qwen2.5-Math-1.5B-Instruct_T1.5,5,0.8382,0.8633,0.35547,0.28854,False,False,True
math500,Qwen2.5-Math-1.5B-Instruct_T1.5,5,0.8617,0.8318,0.39429,0.9436,True,True,True
math500,Qwen2.5-Math-1.5B-Instruct_T1.5,5,0.8512,0.8413,0.27184,0.1459,False,True,False
math500,Qwen2.5-Math-1.5B-Instruct_T1.5,5,0.8679,0.8761,0.30692,0.37947,True,False,False
math500,Qwen2.5-Math-1.5B-Instruct_T1.5,5,0.8566,0.8346,0.42624,0.20469,False,True,False
math500,Qwen2.5-Math-1.5B-Instruct_T1.5,5,0.8327,0.8569,0.17947,0.26055,True,False,False
math500,Qwen2.5-Math-1.5B-Instruct_T1.5,5,0.8619,0.8477,0.40473,0.33446,False,True,False
math500,Qwen2.5-Math-1.5B-Instruct_T1.5,5,0.8636,0.8562,0.30954,0.26388,False,True,False
math500,Qwen2.5-Math-1.5B-Instruct_T1.5,5,0.7927,0.794,0.21035,0.20657,False,False,True
