domain,n_subsets,router_acc,best_constant_acc,delta,lsml_win_rate,verdict
ALL,5202,0.5484,0.5877,-0.0392,0.5877,NOT-USEFUL
gpqa,510,0.4804,0.5353,-0.0549,0.4647,NOT-USEFUL
gsm8k,102,0.7157,0.7451,-0.0294,0.7451,NOT-USEFUL
math500,408,0.5637,0.6275,-0.0637,0.6275,NOT-USEFUL
qa,306,0.5065,0.5523,-0.0458,0.5523,NOT-USEFUL
rag,1632,0.5104,0.5484,-0.038,0.5484,NOT-USEFUL
repgrid,1938,0.596,0.644,-0.048,0.644,NOT-USEFUL
trace,306,0.5294,0.5752,-0.0458,0.5752,NOT-USEFUL
