method,name,pb_all8,pb_q4,pb_q8,prm_within,prm_pooled,prmscore_q08,valid_answers
rbm6__old,"RBM, six features",0.36201684493602676,0.37351290000539755,0.350520789866656,0.7359819427631672,0.7081098773075334,0.6307492926682718,13769
rbm6__near,"RBM, six features",0.3109504672473823,0.3221215019432918,0.29977943255147277,0.7394268668156843,0.7018108615545064,0.6308110717880248,13769
initial6__old,"RBM before learning, six features",0.35966210065316107,0.36767337993745064,0.35165082136887144,0.744067528910734,0.6950464031735148,0.6130847986432351,13769
initial6__near,"RBM before learning, six features",0.33650989260874664,0.34433323258662635,0.328686552630867,0.7464249785094107,0.6953234333901513,0.6146888007454225,13769
rbm12__old,"RBM, twelve features",0.36375046669893774,0.37118546805583574,0.35631546534203984,0.7387017592037592,0.710417498206284,0.6292760348084029,13769
rbm12__near,"RBM, twelve features",0.27515939774655546,0.2828920728560532,0.26742672263705775,0.7118647170917949,0.6782109577147757,0.5730769793312541,13769
initial12__old,"RBM before learning, twelve features",0.3629459417341435,0.3714627820322608,0.3544291014360264,0.7463248825565488,0.6901095815877019,0.6053132074697835,13769
initial12__near,"RBM before learning, twelve features",0.3464111450182683,0.3522369703225708,0.34058531971396583,0.7494934942938128,0.6910346110332516,0.6076811845178024,13769
entropy__old,Entropy,0.35444376642134146,0.3639529013997512,0.3449346314429317,0.7301113611124386,0.7026639408146143,0.625425539209566,13769
entropy__near,Entropy,0.36190007198560015,0.3678123097324887,0.3559878342387116,0.7306102589239587,0.7028502843168114,0.6257432275940159,13769
var15__old,"Varentropy, top 15",0.35960987290405433,0.36635390100610593,0.3528658448020027,0.7377863024015934,0.710137783099181,0.6257812284738609,13769
var15__near,"Varentropy, top 15",0.36946438400330117,0.375986625186314,0.3629421428202883,0.7383629265432433,0.7103958351795181,0.6269998896402591,13769
var50__old,"Varentropy, top 50",0.3567552412698325,0.36080751148342693,0.35270297105623816,0.742464548435578,0.7157833866814454,0.6327768738968429,13769
var50__near,"Varentropy, top 50",0.36436642599174407,0.3693347743935006,0.3593980775899876,0.7438256321117211,0.7159201063894814,0.6329032598959743,13769
var15_equal__old,"Varentropy contributions, equal weights",0.3559804364327355,0.3612819032849405,0.3506789695805306,0.746980350290861,0.6999879034964627,0.6128118227013558,13769
var15_equal__near,"Varentropy contributions, equal weights",0.3657054068760432,0.3721670921064608,0.35924372164562557,0.748872482397741,0.700354408168764,0.6138183335612197,13769
var15_iu__old,"Varentropy contributions, IU-PCR",0.3534983585022531,0.35898223922652384,0.34801447777798244,0.74682374405604,0.710261309641098,0.6226885909285921,13769
var15_iu__near,"Varentropy contributions, IU-PCR",0.3665455535041562,0.37194244060144716,0.36114866640686516,0.7489775612953309,0.7105548282659706,0.6232414763246305,13769
shrinkage__old,RBM with weight shrinkage,0.35871143187885435,0.36697741533481043,0.35044544842289826,0.738630248995498,0.7079965583222773,0.6295438953640439,13769
shrinkage__near,RBM with weight shrinkage,0.3134049317967603,0.32152040971915236,0.30528945387436834,0.7420749851529187,0.7028766453154681,0.6298403589242156,13769
diagonal__old,RBM with shared diagonal variance,0.35806949103323005,0.36788322126251166,0.3482557608039484,0.7330448590587003,0.7047273028297086,0.6253013416428403,13769
diagonal__near,RBM with shared diagonal variance,0.28654945967148304,0.2961222745141256,0.27697664482884043,0.7245239751934456,0.6888088044658367,0.6061952736383371,13769
length__old,Longest step control,0.33694358307088546,0.3387590017246516,0.3351281644171193,0.6181358410980654,0.5861989132220188,0.5278777173269932,13769
random__old,Random step control,0.20275017613612,0.1963902368395288,0.20911011543271124,0.49847952604800216,0.5015348181277717,0.4979413313988752,13769
rbm6__logit_old,"RBM, six features",0.349707841643353,0.3565810434023544,0.34283463988435153,0.7356357370021873,0.7000044693128635,0.622232585877287,13769
rbm6__logit_near,"RBM, six features",0.3472462670800337,0.35442083461750945,0.3400716995425579,0.7379871607935582,0.7001103158299473,0.6226701665395157,13769
initial6__logit_old,"RBM before learning, six features",0.21731633121630586,0.22754354746279737,0.2070891149698144,0.7060960857757894,0.6641516814921505,0.5817528807687382,13769
initial6__logit_near,"RBM before learning, six features",0.20555576802020373,0.2142672296644707,0.19684430637593675,0.7038442362509747,0.6646576184422376,0.5825016466487589,13769
rbm12__logit_old,"RBM, twelve features",0.3627123083012945,0.36981846288211506,0.3556061537204739,0.7452044991713739,0.7058494397346221,0.622215135338216,13769
rbm12__logit_near,"RBM, twelve features",0.36399769043540625,0.3752846310964419,0.35271074977437067,0.7487809415689605,0.706328035182632,0.6241562383074202,13769
initial12__logit_old,"RBM before learning, twelve features",0.20181241351606602,0.21024189497134194,0.1933829320607901,0.6891043599585708,0.650661588912492,0.5677957401489357,13769
initial12__logit_near,"RBM before learning, twelve features",0.19491737624605643,0.1998625231289094,0.18997222936320343,0.6858525408536493,0.6512567929581907,0.5684595225442405,13769
