family,model,n_audit,s2a_reconstruction_exact_inside_s2b,s2b_locator_mismatches,s2b_max_abs_score_delta,s2b_metric_max_abs_delta,s2b_prediction_mismatches,s2b_reconstruction_exact,s2b_target_mismatches
gsm8k,qwen3_8b,76,True,0,0.0,0.0,0,True,0
math,qwen3_8b,182,True,0,0.0,0.0,0,True,0
olympiadbench,qwen3_8b,191,True,0,0.0,0.0,0,True,0
omnimath,qwen3_8b,186,True,0,0.0,0.0,0,True,0
gsm8k,llama31_8b,76,True,0,0.0,0.0,0,True,0
math,llama31_8b,182,True,0,0.0,0.0,0,True,0
olympiadbench,llama31_8b,191,True,0,0.0,0.0,0,True,0
omnimath,llama31_8b,186,True,0,0.0,0.0,0,True,0
