delta,family,metric_id,n_groups
0.016936739411332086,gsm8k,macro_f1,76
0.037500000000000006,gsm8k,exact_error,76
-0.08333333333333326,gsm8k,clean_abstention,76
0.11249999999999999,gsm8k,within_one,76
0.036516892290671066,math,macro_f1,182
0.04166666666666667,math,exact_error,182
-0.027027027027027,math,clean_abstention,182
2.7755575615628914e-17,math,within_one,182
-0.03303405688455277,olympiadbench,macro_f1,191
-0.03181818181818183,olympiadbench,exact_error,191
0.04938271604938271,olympiadbench,clean_abstention,191
-0.01818181818181816,olympiadbench,within_one,191
-0.002054366017771217,omnimath,macro_f1,186
0.0,omnimath,exact_error,186
-0.0222222222222222,omnimath,clean_abstention,186
0.046099290780141855,omnimath,within_one,186
