all_curves_finite,curve_field,family,labels_seen_during_representation_construction,locator_changes_vs_s2b,model,n_audit,n_calibration,representation
True,token_entropies,gsm8k,False,17,qwen3_8b,76,171,raw_entropy
True,token_entropies,math,False,65,qwen3_8b,182,409,raw_entropy
True,token_entropies,olympiadbench,False,86,qwen3_8b,191,396,raw_entropy
True,token_entropies,omnimath,False,88,qwen3_8b,186,403,raw_entropy
True,token_entropies,gsm8k,False,23,llama31_8b,76,171,raw_entropy
True,token_entropies,math,False,69,llama31_8b,182,409,raw_entropy
True,token_entropies,olympiadbench,False,102,llama31_8b,191,396,raw_entropy
True,token_entropies,omnimath,False,109,llama31_8b,186,403,raw_entropy
