split,held_group,cell,family,domain,n,error_rate,method,auroc,error_auprc
family,nq_open,se_nq_open_llama8b,nq_open,QA,8460,0.514775413711584,shared_direction,0.752284730195178,0.7350043760578892
family,nq_open,se_nq_open_llama8b,nq_open,QA,8460,0.514775413711584,balanced_logistic,0.7449894349110813,0.7239566370170103
family,nq_open,se_nq_open_llama8b,nq_open,QA,8460,0.514775413711584,ppca_manifold_k4,0.7217054053260356,0.7033312283198294
family,nq_open,se_nq_open_llama8b,nq_open,QA,8460,0.514775413711584,knn_manifold_k5,0.7520656252141336,0.7332824769085742
family,squad_v2,se_squad_v2_llama8b,squad_v2,QA,2933,0.7204227753153768,epr_risk,0.7463668578947975,0.8789018632333941
family,squad_v2,se_squad_v2_llama8b,squad_v2,QA,2933,0.7204227753153768,mean_confidence_risk,0.7923048953631987,0.896513549031901
family,squad_v2,se_squad_v2_llama8b,squad_v2,QA,2933,0.7204227753153768,iu_pcr_risk,0.8107384022254799,0.9021330101581544
family,squad_v2,se_squad_v2_llama8b,squad_v2,QA,2933,0.7204227753153768,shared_direction,0.7889574411598352,0.8955603425832094
family,squad_v2,se_squad_v2_llama8b,squad_v2,QA,2933,0.7204227753153768,balanced_logistic,0.8097866863666271,0.9045736158097746
family,squad_v2,se_squad_v2_llama8b,squad_v2,QA,2933,0.7204227753153768,ppca_manifold_k4,0.7855580437015918,0.8860661249522596
family,squad_v2,se_squad_v2_llama8b,squad_v2,QA,2933,0.7204227753153768,knn_manifold_k5,0.793745454965198,0.8968306952400253
family,truthfulqa,truthfulqa_llama8b,truthfulqa,QA,7633,0.8940128389886022,epr_risk,0.6057253393461889,0.9221620515220783
family,truthfulqa,truthfulqa_llama8b,truthfulqa,QA,7633,0.8940128389886022,mean_confidence_risk,0.649453792837611,0.934300623634186
family,truthfulqa,truthfulqa_llama8b,truthfulqa,QA,7633,0.8940128389886022,iu_pcr_risk,0.6615596882666717,0.9369951372486383
family,truthfulqa,truthfulqa_llama8b,truthfulqa,QA,7633,0.8940128389886022,shared_direction,0.6406125693219742,0.9322585493729553
family,truthfulqa,truthfulqa_llama8b,truthfulqa,QA,7633,0.8940128389886022,balanced_logistic,0.6520035083041458,0.9364627151380409
family,truthfulqa,truthfulqa_llama8b,truthfulqa,QA,7633,0.8940128389886022,ppca_manifold_k4,0.6176408574695287,0.9308303615914277
family,truthfulqa,truthfulqa_llama8b,truthfulqa,QA,7633,0.8940128389886022,knn_manifold_k5,0.643233110218135,0.9317218477120004
family,gsm8k,ars_gsm8k_r1distill8b,gsm8k,math,500,0.272,epr_risk,0.6905704589528119,0.4660319665179775
family,gsm8k,ars_gsm8k_r1distill8b,gsm8k,math,500,0.272,mean_confidence_risk,0.7536158694246929,0.546766942584124
family,gsm8k,ars_gsm8k_r1distill8b,gsm8k,math,500,0.272,iu_pcr_risk,0.7575953458306399,0.5491605326120683
family,gsm8k,ars_gsm8k_r1distill8b,gsm8k,math,500,0.272,shared_direction,0.7449701034259858,0.5375338360404728
family,gsm8k,ars_gsm8k_r1distill8b,gsm8k,math,500,0.272,balanced_logistic,0.7361829347123464,0.5054306542476315
family,gsm8k,ars_gsm8k_r1distill8b,gsm8k,math,500,0.272,ppca_manifold_k4,0.6900654492566258,0.4302065253164312
family,gsm8k,ars_gsm8k_r1distill8b,gsm8k,math,500,0.272,knn_manifold_k5,0.7497979961215254,0.5176994115069465
family,gsm8k,internalstates_gsm8k_qwen25_7b,gsm8k,math,500,0.706,epr_risk,0.6311499103890849,0.8088531758027847
family,gsm8k,internalstates_gsm8k_qwen25_7b,gsm8k,math,500,0.706,mean_confidence_risk,0.70736736620994,0.8410887881538277
family,gsm8k,internalstates_gsm8k_qwen25_7b,gsm8k,math,500,0.706,iu_pcr_risk,0.7115106665895821,0.8439628597240993
family,gsm8k,internalstates_gsm8k_qwen25_7b,gsm8k,math,500,0.706,shared_direction,0.7038407430961052,0.8404201485125811
family,gsm8k,internalstates_gsm8k_qwen25_7b,gsm8k,math,500,0.706,balanced_logistic,0.7024339480834827,0.8413803181716668
family,gsm8k,internalstates_gsm8k_qwen25_7b,gsm8k,math,500,0.706,ppca_manifold_k4,0.6909097916787112,0.8292021633111428
family,gsm8k,internalstates_gsm8k_qwen25_7b,gsm8k,math,500,0.706,knn_manifold_k5,0.717157117804629,0.8476732378667775
family,gsm8k,lapeigvals_gsm8k_llama3b,gsm8k,math,1319,0.5549658832448825,epr_risk,0.7076875098909897,0.7666464684684386
family,gsm8k,lapeigvals_gsm8k_llama3b,gsm8k,math,1319,0.5549658832448825,mean_confidence_risk,0.6830694184563539,0.7555586809621677
family,gsm8k,lapeigvals_gsm8k_llama3b,gsm8k,math,1319,0.5549658832448825,iu_pcr_risk,0.6964885823069977,0.7610522103102765
family,gsm8k,lapeigvals_gsm8k_llama3b,gsm8k,math,1319,0.5549658832448825,shared_direction,0.6910497016412062,0.758909524960922
family,gsm8k,lapeigvals_gsm8k_llama3b,gsm8k,math,1319,0.5549658832448825,balanced_logistic,0.6542366017817745,0.7400491565401024
family,gsm8k,lapeigvals_gsm8k_llama3b,gsm8k,math,1319,0.5549658832448825,ppca_manifold_k4,0.6459118794276725,0.7219150085224352
family,gsm8k,lapeigvals_gsm8k_llama3b,gsm8k,math,1319,0.5549658832448825,knn_manifold_k5,0.6830158907476191,0.7522120663651828
