split,method,cell_macro_auroc,family_macro_auroc,family_auc_ci_low,family_auc_ci_high,cell_macro_error_auprc,family_macro_error_auprc,family_auprc_ci_low,family_auprc_ci_high
family,epr_risk,0.7498600537577463,0.7166883424365375,0.6561918877947829,0.7699931028883925,0.7290841272280032,0.7649587385758451,0.6791304318157375,0.8476234958382773
family,mean_confidence_risk,0.7726366524307912,0.738619439989028,0.6798129124516654,0.789369908761232,0.7432774834625108,0.7731233440716064,0.6842183317285362,0.8604911437354057
family,iu_pcr_risk,0.7740628976408788,0.74158769390092,0.6800224048342729,0.792321487010134,0.7436321116369681,0.7740410109732541,0.6864567834417239,0.85786272230453
family,shared_direction,0.7706763955603054,0.7363600770183036,0.6767126720853084,0.7875232027878447,0.7426431347031333,0.773643728667522,0.6856460627993193,0.8594577802069668
family,balanced_logistic,0.7651708068314967,0.7379245642945742,0.6791285793879595,0.7873157184062847,0.7347849506351144,0.7691616017400497,0.6837765672816081,0.8555326867299295
family,ppca_manifold_k4,0.7054300296471917,0.6882077386174732,0.6338982969045605,0.7378387926547036,0.6889850614586424,0.7356709821739106,0.6476002035319836,0.8247434142036661
family,knn_manifold_k5,0.7666567186004162,0.735303970728021,0.675461499475594,0.7861407862904928,0.7253330019854806,0.7636792852692497,0.6687146736332099,0.8542850385244417
cell,epr_risk,0.7498600537577462,0.7166883424365375,0.6573028102554629,0.7700793037547831,0.7290841272280032,0.7649587385758451,0.6816523003769527,0.8479426830313932
cell,mean_confidence_risk,0.7726366524307912,0.738619439989028,0.6796139953653207,0.7907723934229969,0.7432774834625109,0.7731233440716064,0.6842170449143962,0.8590636379170868
cell,iu_pcr_risk,0.7740628976408787,0.74158769390092,0.6810842907841095,0.7923963846301171,0.7436321116369681,0.7740410109732541,0.6887330312846722,0.8559293136821627
cell,shared_direction,0.7708114166361538,0.7364407599393856,0.6754829933980228,0.7875182863021587,0.7427534690731491,0.7737015370978019,0.6885194434322568,0.8582268798591127
cell,balanced_logistic,0.7749658238336553,0.7421627021093604,0.6812633398054732,0.7919393552715042,0.7428934622056954,0.7726082891486237,0.6873545631523977,0.8575282598290853
cell,ppca_manifold_k4,0.7130572210103505,0.6931094468519456,0.6387842219266222,0.7421756197636994,0.6922630149747985,0.738433302156972,0.6459752982609986,0.8290947367556858
cell,knn_manifold_k5,0.7699698201610193,0.7367366243484335,0.6779112938438302,0.7875887129183341,0.733822228789501,0.7664478629546319,0.6750513845888139,0.8551664542027348
