cell,winner_auroc,winner_auprc,winner_component_oracle_auroc
gsm8k_t1.0,0.7878906572111817,0.6716679390425925,0.7914364640883977
triviaqa_t1.0,0.934485294117647,0.9690123378645725,0.9335294117647058
sciq_t1.0,0.782323330644937,0.3974790859232933,0.798880143875555
truthfulqa_t0.5,0.6854351256842607,0.9354595156789783,0.6904236831987697
squadv2_t0.5,0.7835168504378349,0.7263039127413815,0.8049268465937941
nq_open_t0.5,0.7519529138277111,0.7232781802308721,0.7359748825107697
gsm8k_r1distill_t0.0,0.6924094424094425,0.44464793716465856,0.6955636955636956
gsm8k_mistral24b_t1.0,0.860808249298658,0.4513300650537897,0.8397528243232998
gsm8k_nemo_t1.0,0.7788590026315573,0.458878309779029,0.7842737803428402
gsm8k_phi35_t1.0,0.8001431890635976,0.47668369283370715,0.7852209074044055
gsm8k_mistral7b_t1.0,0.7678940244753445,0.7703335488366844,0.7581525938900624
gsm8k_phi3mini_t1.0,0.6568736891955889,0.43652055004260293,0.685232167422141
triviaqa_qwen3_t0.6,0.8065600289087321,0.8287784366316894,0.8167577826247062
