candidate,discovery_macro_auroc,confirmation_macro_auroc,all_macro_auroc,all_macro_auprc
entropy__cvar80__spread4_p1,0.7384005150755192,0.7543223172330297,0.7469737931603326,0.6028932342757247
entropy_excess_over_top1__cvar80__flat_top8_p1,0.7379768869452273,0.7468022519739366,0.7427290065760707,0.6042330779892854
top1_surprisal__mean__organic_all_p1,0.7376590620373165,0.7023927110286575,0.7186694884172694,0.5806094235634287
top1_surprisal__cvar80__flat_top3_p2,0.7374061139765917,0.7465036863282103,0.7423048067813094,0.6043860849372976
entropy__q90__flat_top8_p1,0.7373601049894685,0.7340943657937632,0.7356016300379348,0.5874126139589915
entropy_excess_over_top1__mean__flat_top5_p1,0.736951145139396,0.7432734278102872,0.7403554511929527,0.598256710286496
top1_surprisal__mean__flat_top5_p1,0.7368836577419607,0.7354289152619933,0.7361003348681321,0.5972944165822791
entropy_excess_over_top1__cvar80__spread8_p1,0.736443317951755,0.7513507003160053,0.7444703699940436,0.5964268787564986
top1_surprisal__q90__flat_top3_p2,0.7362614020747636,0.7343641054153434,0.7352397807966142,0.6010976320119126
target_nll__q90__spread4_p1,0.7361399148739634,0.727773819818882,0.7316350944596888,0.5803288087643478
entropy_excess_over_top1__std__flat_top3_p2,0.7358115005346305,0.7609671339186941,0.7493568415875876,0.6028436266651483
target_excess_over_entropy__std__organic_all_p1,0.7355486163634595,0.6837147660615546,0.7076380815855109,0.5583285344345069
entropy_excess_over_top1__std__spread8_p1,0.7355249614241065,0.7560156439215487,0.7465584058458062,0.5964317353495208
entropy_excess_over_top1__max__organic_all_p1,0.7350718410408758,0.6652058684528921,0.6974517019550385,0.5639607606458852
entropy_excess_over_top1__mean__spread8_p1,0.7348697185598162,0.7454174874046294,0.740549286399331,0.5933515009738662
top1_surprisal__std__organic_all_p1,0.7346600881999238,0.7156320451508135,0.7244142188657874,0.5890164112024828
top1_surprisal__max__organic_top8_p1,0.7344971481667643,0.6747978967257996,0.7023513973908604,0.536547784932064
target_excess_over_entropy__std__flat_top8_p1,0.7342721780916587,0.7086802082607562,0.7204918866442497,0.5704172108815121
entropy_excess_over_top1__std__flat_top8_p1,0.7335671494245667,0.7446065849781583,0.7395114608765005,0.5950320555214517
top1_surprisal__std__spread4_p1,0.7331473319630532,0.7481751640733503,0.7412392415609054,0.5949221256055746
target_excess_over_entropy__std__spread4_p1,0.7329316227817068,0.7078666469868579,0.7194350973537111,0.5672477627337577
entropy__q90__spread4_p1,0.7320772331516298,0.738114989850459,0.7353283329125377,0.5866657830516558
entropy__mean__flat_top3_p2,0.7318792405563084,0.7489531026709267,0.741072858618026,0.6017166499044729
target_excess_over_entropy__max__spread4_p1,0.731715567001169,0.6645409132533544,0.6955445995984996,0.5403293589093938
target_nll__q90__organic_all_p1,0.7313025650205834,0.7084250116960138,0.7189838824611997,0.5782871674748109
entropy__std__spread4_p1,0.7311999561523642,0.758828910087657,0.7460770851944448,0.5932129127343574
entropy_excess_over_top1__cvar80__flat_top3_p2,0.7311346059781832,0.7669350412560861,0.7504117634355155,0.6035502579228398
entropy_excess_over_top1__std__organic_all_p1,0.7309930912264022,0.7091002156323201,0.7192046197526657,0.573586852996375
top1_surprisal__cvar80__organic_all_p1,0.7303836814736231,0.6989222175988316,0.7134428932333508,0.5809281436912688
top1_surprisal__max__organic_all_p1,0.7302988041279863,0.6674332565449814,0.6964481246602146,0.5477393068888022
target_gap__max__flat_top5_p1,0.7300553923064199,0.6760930107827159,0.7009987253321177,0.5524952321128977
entropy__cvar80__organic_all_p1,0.7295657182041398,0.7101775811844074,0.7191259521165917,0.5921683749128946
target_excess_over_entropy__std__organic_top8_p1,0.7284611028554079,0.6863200581836431,0.7057697711090729,0.5487861358103784
target_gap__q90__organic_all_p1,0.7282783030625916,0.7027208358435962,0.714516589944671,0.58297034689929
entropy_excess_over_top1__std__spread4_p1,0.728188476289298,0.7570737228036472,0.7437420705662553,0.5895140327165769
entropy_excess_over_top1__mean__flat_top3_p2,0.7280966414102972,0.7546928087446277,0.7424176545903212,0.6036692918404892
top1_surprisal__q90__organic_all_p1,0.7278843447100578,0.6952829411818545,0.7103297428102558,0.5736421565552452
target_gap__std__organic_all_p1,0.7277619841018926,0.6803895250394177,0.7022537369144062,0.5556646091121225
target_nll__std__spread8_p1,0.7270445213640274,0.7253955443537244,0.726156610666172,0.578793130986104
entropy_excess_over_top1__q90__flat_top3_p2,0.7269492066229503,0.7562424604856172,0.7427224971643861,0.6019764416800438
target_excess_over_entropy__max__flat_top5_p1,0.7268737570706542,0.6589225300638868,0.6902846348362411,0.5448299318330759
target_gap__cvar80__organic_all_p1,0.7263185980189606,0.6976443213852839,0.7108786029085192,0.5709283401648044
target_nll__cvar80__organic_all_p1,0.7262550564051593,0.7017882325522432,0.7130806127920507,0.5699549735676549
entropy_excess_over_top1__q90__spread8_p1,0.7261864074601259,0.7428701237503519,0.7351699470010169,0.5944886203038794
entropy_excess_over_top1__cvar80__spread4_p1,0.7256833814274541,0.749721205236658,0.7386268250170255,0.5858223939892753
entropy__cvar80__organic_top8_p1,0.7256191592997375,0.729121248290031,0.7275048995252802,0.5876756544233233
entropy__max__organic_all_p1,0.7253434716869273,0.7027041453658575,0.7131530652063511,0.5634352832759233
target_excess_over_entropy__std__spread8_p1,0.7251347720465966,0.7136782556048488,0.718965878577963,0.5685259716327025
entropy__std__organic_top8_p1,0.7247024560513554,0.7142608985195682,0.7190800789188546,0.5764558914025831
target_gap__max__flat_top3_p2,0.7246156250315144,0.6725780964486254,0.6965954173330359,0.5397162984048667
top1_surprisal__q90__organic_top8_p1,0.7244884352299392,0.7027359614529948,0.7127755647346614,0.5654925024623966
entropy__std__flat_top8_p1,0.7244190845610262,0.7439775392265453,0.7349505601501518,0.5918792184542354
entropy_excess_over_top1__q90__spread4_p1,0.7243626059971165,0.7449156598535842,0.735429634996753,0.5954665147551432
entropy_excess_over_top1__max__organic_top8_p1,0.7241663606003352,0.6638429104805027,0.6916845028435024,0.5444563437613416
entropy__q90__organic_all_p1,0.7241153758254638,0.7062672130334855,0.7145048266297832,0.582151371707818
target_excess_over_entropy__q90__organic_all_p1,0.7235493241510783,0.6910409141376622,0.7060447956823158,0.5702369867035981
target_nll__q90__organic_top8_p1,0.7234812337727122,0.7142651359513843,0.7185187195612278,0.5788895865257566
target_excess_over_entropy__std__flat_top3_p2,0.72328703421015,0.7101451031462825,0.7162106097911445,0.5543465814401143
target_gap__std__spread4_p1,0.7231526308174597,0.6861653663793453,0.7032364115046288,0.5454532940518628
target_gap__cvar80__spread4_p1,0.7231367294655938,0.6979449338297358,0.7095719164309011,0.5630095542356168
top1_surprisal__mean__flat_top3_p2,0.7231195408317589,0.7428911975040805,0.7337658175014705,0.6007132381693693
target_nll__std__organic_all_p1,0.7228466329337518,0.6776443657925515,0.6985069506269517,0.5428448743793916
target_excess_over_entropy__cvar80__organic_all_p1,0.7223136890026165,0.6881239014689778,0.7039038034075802,0.5643227667446093
top1_surprisal__cvar80__organic_top8_p1,0.7212032245117074,0.709171845574635,0.7147247896994375,0.572809217247965
entropy_excess_over_top1__std__flat_top5_p1,0.7211825661219821,0.7466602874706814,0.7349013391558971,0.5849475044091077
target_excess_over_entropy__std__flat_top5_p1,0.7209507258402672,0.7155728393068521,0.7180549407838128,0.5733293601902228
target_nll__std__organic_top8_p1,0.7207860694533085,0.6846193001528709,0.7013116552146113,0.5487948729893117
target_nll__mean__spread4_p1,0.7200085185228858,0.7250624821389099,0.7227298835468988,0.5719140163739299
top1_surprisal__std__organic_top8_p1,0.7197285705526908,0.7010983008194602,0.709696886850182,0.568524356892805
target_nll__cvar80__organic_top8_p1,0.71878428905723,0.7099343284588271,0.7140189256580901,0.5734888789679065
entropy_excess_over_top1__std__organic_top8_p1,0.7184166867794323,0.7159020893900845,0.7170626728005527,0.5725150614474438
target_gap__std__organic_top8_p1,0.7183923295309192,0.6855472191187225,0.7007065008474288,0.554562401744819
target_nll__cvar80__spread8_p1,0.7178744388612404,0.7278224691885244,0.7232310705759317,0.5771952307741
entropy_excess_over_top1__cvar80__organic_all_p1,0.7174302543600769,0.7132098537941923,0.7151577309784467,0.5817332564476634
entropy__q90__organic_top8_p1,0.7169244701420702,0.721502013246706,0.7193893010445664,0.5786113227824256
target_nll__std__flat_top3_p2,0.7167831975643555,0.720617665087056,0.7188479108458095,0.5666932191908661
entropy_excess_over_top1__q90__organic_all_p1,0.7159680552089172,0.7127811252461903,0.7142520159982181,0.5774443439393846
kl_to_final__mean__organic_top8_p1,0.7159670013753597,0.7252834837797633,0.7209835688238848,0.6025236521274941
target_nll__q90__spread8_p1,0.7158443141526057,0.72818392441859,0.7224887196804435,0.5786698549967062
target_gap__cvar80__spread8_p1,0.7124507639107777,0.7110230509085731,0.711681995371129,0.5700293263582901
kl_to_final__mean__flat_top5_p1,0.7112635666761881,0.7162447012863382,0.7139457160816535,0.5891171467563493
entropy_excess_over_top1__q90__organic_top8_p1,0.7104062869587032,0.7161461701529005,0.7134969932940401,0.5739690073149588
target_gap__std__spread8_p1,0.7094672624576663,0.6970132720056634,0.7027612675988956,0.557428751575811
target_gap__cvar80__organic_top8_p1,0.7094051273995433,0.7004823457146875,0.7046005526461594,0.5713609929378323
kl_to_final__mean__flat_top8_p1,0.7090873973994413,0.7183851830697927,0.7140938973757844,0.5931001730326292
entropy_excess_over_top1__cvar80__organic_top8_p1,0.708884050543715,0.7169224594347942,0.7132124245619883,0.5708688114109414
target_nll__std__flat_top8_p1,0.7074114864284211,0.7118453023307298,0.7097989257604336,0.5700555037312398
target_gap__std__flat_top8_p1,0.7073946980519429,0.6930611962784209,0.6996766586354309,0.5606459792512826
target_gap__q90__organic_top8_p1,0.7071754047827697,0.7029952913542358,0.7049245744750977,0.5742492629460624
kl_to_final__mean__flat_top3_p2,0.7070844224656058,0.7119955360454477,0.7097288682393669,0.5805350779743802
target_excess_over_entropy__cvar80__organic_top8_p1,0.7065332690339328,0.6831134255969685,0.6939225841063367,0.5541168850189053
target_excess_over_entropy__max__flat_top3_p2,0.7059888042519405,0.6520634438112578,0.6769520717069574,0.5186185599139261
target_nll__std__flat_top5_p1,0.7058346813997844,0.7194279506494168,0.7131541340726635,0.5676987824739527
target_gap__std__flat_top5_p1,0.7053644228440344,0.7005507596938839,0.7027724503785687,0.5632134856062091
target_gap__mean__spread4_p1,0.7041846605828518,0.6863023546513591,0.6945557266197403,0.5393196736377269
target_excess_over_entropy__mean__spread8_p1,0.7039373040703678,0.6929625245071073,0.6980278073824581,0.5430387883494509
target_nll__cvar80__flat_top3_p2,0.7030742592474525,0.7361259147025808,0.7208713044925216,0.5812637663642589
kl_to_final__q90__flat_top3_p2,0.7019417717095222,0.6900216968350862,0.6955232698540565,0.5591554832509201
target_gap__std__flat_top3_p2,0.7016027622929718,0.6930499937340647,0.6969974253766372,0.5472698297157751
target_excess_over_entropy__q90__organic_top8_p1,0.7001390534963966,0.6794843734983386,0.6890173027282114,0.5491353159576355
target_excess_over_entropy__cvar80__spread8_p1,0.7001336198612473,0.6914275640744342,0.6954457436683481,0.5485913943897667
target_excess_over_entropy__mean__flat_top5_p1,0.6991505467222562,0.6793117988576044,0.6884681440259052,0.5544770953035151
kl_to_final__cvar80__flat_top3_p2,0.6983659925227809,0.6775939554927101,0.687181049506589,0.5535057565084015
target_excess_over_entropy__mean__spread4_p1,0.6980416583847514,0.6806689134022178,0.6886871033941564,0.5339584748264896
target_nll__q90__flat_top3_p2,0.6974352703102206,0.7296461283822059,0.7147795785028281,0.5785952998151649
kl_to_final__mean__organic_all_p1,0.6971699827298256,0.7108666375510556,0.7045451045566418,0.5896400075978403
target_excess_over_entropy__mean__flat_top8_p1,0.6970349049936172,0.6823065026112359,0.6891042267877197,0.5464808326441722
kl_to_final__mean__spread4_p1,0.6959850784708174,0.7132233975225316,0.7052672502678943,0.5814794483484136
target_nll__mean__flat_top3_p2,0.6954709631484902,0.7348066719489224,0.7166517294256459,0.5781431979009789
target_gap__q90__spread4_p1,0.6948197728323912,0.6839462983922413,0.6889648250569257,0.5504349847890235
kl_to_final__mean__spread8_p1,0.6931336735469872,0.7152006708420263,0.7050159028597005,0.5857373292784878
kl_to_final__q90__flat_top5_p1,0.6928852436914932,0.6899116780002943,0.6912840929346937,0.5611355683131503
target_excess_over_entropy__mean__flat_top3_p2,0.6927840244042001,0.6890860946040707,0.6907928314348996,0.5525261544738176
target_excess_over_entropy__cvar80__flat_top8_p1,0.6918573143239493,0.6842614345564144,0.6877672252183534,0.5490827981067389
target_gap__q90__spread8_p1,0.6913111944673348,0.7008430817200655,0.6964437491418821,0.560749550917826
target_excess_over_entropy__cvar80__flat_top5_p1,0.6911357830368988,0.6932361091166538,0.6922667278490745,0.5559633866394491
kl_to_final__cvar80__flat_top5_p1,0.6907426341014787,0.6755347236550409,0.6825537592457044,0.5520966580620822
target_excess_over_entropy__cvar80__spread4_p1,0.6896539109849721,0.6892825990532429,0.6894539737909641,0.5318127291677687
target_nll__mean__spread8_p1,0.6892035200704033,0.719751876552005,0.7056526350989579,0.5611099755329756
target_excess_over_entropy__mean__organic_all_p1,0.6890046618489194,0.6771938674055392,0.6826450033024838,0.5455713944189337
target_nll__cvar80__flat_top8_p1,0.6860645593239664,0.7269936159261964,0.7081032821097826,0.5683042959667467
target_gap__cvar80__flat_top8_p1,0.6854347163811773,0.7101739018892761,0.6987558162701535,0.564745555536855
target_nll__q90__flat_top8_p1,0.6852990485898967,0.7268651286065577,0.7076807839834834,0.5734180557987935
target_gap__mean__spread8_p1,0.6849369646893418,0.7022879581935271,0.6942798073454417,0.5539376887328907
target_nll__cvar80__flat_top5_p1,0.6844346627217136,0.737368549445556,0.7129375248037826,0.5752747571373655
target_nll__q90__flat_top5_p1,0.6829558074161209,0.7343256378511711,0.7106164853426864,0.5760244120082573
kl_to_final__q90__flat_top8_p1,0.681553227753669,0.6835681485456843,0.6826381851032157,0.5564868520074929
target_gap__mean__organic_all_p1,0.6801531513674538,0.6939987216719947,0.6876084584545143,0.5563705310731544
target_excess_over_entropy__q90__spread8_p1,0.6799905246994187,0.6933109968277575,0.6871630866146782,0.5424691591068748
target_nll__mean__flat_top5_p1,0.6790678710457033,0.7271118186027452,0.7049376889610335,0.570781897894035
target_excess_over_entropy__mean__organic_top8_p1,0.6790276782742947,0.6677497065493236,0.6729549242685411,0.535088760144119
kl_to_final__cvar80__flat_top8_p1,0.6783525738503626,0.6736800310951124,0.6758365892898432,0.5496394951770321
target_nll__mean__organic_all_p1,0.6776528761000562,0.6865872632862972,0.6824636999695706,0.5486636515916673
kl_to_final__cvar80__spread4_p1,0.6773491712236496,0.6749235065027273,0.6760430440662297,0.5460573802601613
target_gap__q90__flat_top8_p1,0.6772862936031024,0.7064200354726202,0.6929736930713043,0.5591119631137421
target_excess_over_entropy__q90__flat_top8_p1,0.6769584889990957,0.6818295472407652,0.6795813665138408,0.5372327902619035
kl_to_final__cvar80__organic_top8_p1,0.6767328730794896,0.671097149941139,0.6736982529280701,0.552506069560861
target_gap__cvar80__flat_top3_p2,0.6757860414035441,0.7114879227726439,0.695010131371521,0.5554486484498349
target_gap__mean__flat_top3_p2,0.674870308315914,0.710513361545896,0.6940627215935967,0.5537612032007789
kl_to_final__cvar80__spread8_p1,0.6747137576715078,0.6732570212834899,0.6739293611548827,0.5472906629934303
kl_to_final__std__flat_top3_p2,0.6730021423355875,0.671687987427004,0.6722945204617349,0.5294021988125658
target_gap__cvar80__flat_top5_p1,0.67261731128791,0.7181310855931755,0.6971247282215144,0.5599733057695272
target_nll__mean__flat_top8_p1,0.6718210585429126,0.7204860678187248,0.6980252943068117,0.565971851904249
kl_to_final__q90__organic_top8_p1,0.6698408216102708,0.6771216000177759,0.6737612407527737,0.5566464103302511
target_gap__mean__flat_top8_p1,0.6685907546603955,0.7077770279760544,0.6896910556765194,0.5528398075043138
target_gap__mean__flat_top5_p1,0.6681072810904171,0.7122470063296689,0.6918748254500142,0.5551782651754013
target_excess_over_entropy__q90__spread4_p1,0.6672042345937782,0.6878709730790568,0.6783324783935438,0.5272974290379842
target_excess_over_entropy__q90__flat_top5_p1,0.6665034224769538,0.6835399056938024,0.6756769134398724,0.5390760686430947
kl_to_final__q90__spread4_p1,0.6626520747414487,0.6820425367960097,0.6730930927708277,0.5451661735971153
target_excess_over_entropy__cvar80__flat_top3_p2,0.6616104783283603,0.6899350700805507,0.6768621815795398,0.5351084423443957
kl_to_final__q90__spread8_p1,0.6615562088482577,0.6787739101241714,0.6708272787660575,0.5468066661023532
target_gap__q90__flat_top5_p1,0.6593863841267044,0.7119284222046124,0.6876782507840395,0.553948357642359
target_gap__mean__organic_top8_p1,0.6573461732722281,0.6953911314848265,0.6778319200020887,0.5509398454517045
target_nll__mean__organic_top8_p1,0.6561891343456189,0.6999810122934037,0.679769376317503,0.5522141876806634
kl_to_final__std__flat_top5_p1,0.6559602344160006,0.6656510308285359,0.661178355561212,0.5271570013608334
kl_to_final__std__flat_top8_p1,0.6544043471232708,0.6632723368806615,0.6591794185310965,0.529888597457468
kl_to_final__cvar80__organic_all_p1,0.6512685997351687,0.666794433652288,0.6596286641520792,0.535300740902776
target_gap__q90__flat_top3_p2,0.6474326358070646,0.7055375889616471,0.6787199182749167,0.5505952062498695
kl_to_final__std__spread8_p1,0.6445096781392745,0.6748766073851834,0.6608611015793794,0.5234598422896549
kl_to_final__std__spread4_p1,0.6420428118408563,0.681354933177665,0.663210877176061,0.5168829483942964
target_excess_over_entropy__q90__flat_top3_p2,0.6401370493273865,0.6836105071003484,0.6635458342820583,0.5246562111040134
kl_to_final__q90__organic_all_p1,0.637464281013138,0.6722061695785924,0.6561714517791517,0.537494902276875
kl_to_final__std__organic_top8_p1,0.6368856015194966,0.6630751504245022,0.6509876663144996,0.5234940680710242
kl_to_final__std__organic_all_p1,0.6025068729097139,0.6628958114306621,0.6350239936517629,0.5046124134036499
kl_to_final__max__flat_top3_p2,0.5924622550036918,0.5671204679130535,0.5788166773395018,0.4465411172478505
kl_to_final__max__flat_top5_p1,0.5799152997463638,0.5680100242856497,0.5735047668059793,0.4428609652100836
kl_to_final__max__flat_top8_p1,0.5638687911746051,0.570395868755506,0.5673833714104749,0.4393789615870086
kl_to_final__max__spread8_p1,0.5568676199557744,0.5714186991613688,0.5647028164510945,0.441492165993118
kl_to_final__max__organic_top8_p1,0.551218360213511,0.5645245424701227,0.5583832275824558,0.4339328226217206
kl_to_final__max__spread4_p1,0.5416732442220039,0.5719670914401632,0.5579853158010128,0.4375199261898973
kl_to_final__max__organic_all_p1,0.528987654193802,0.5602579967935857,0.545825530978301,0.4273822368738192
