candidate,discovery_macro_auroc,confirmation_macro_auroc,all_macro_auroc,all_macro_auprc
entropy__max__flat_top3_p2,0.7681558927141577,0.7479187739505134,0.7572589826106567,0.5971415455902492
top1_surprisal__max__flat_top3_p2,0.7669474794146626,0.7211871059760203,0.7423072783323167,0.5922157183632895
entropy__max__spread8_p1,0.7668864247367057,0.7422546239887373,0.7536231474108767,0.597146041641174
top1_surprisal__max__spread8_p1,0.7660658386565963,0.7185410005780736,0.7404755412296994,0.5860657431321242
target_nll__max__spread8_p1,0.7639430913659201,0.7014570512694228,0.7302967620831906,0.5784372374143281
entropy_excess_over_top1__max__flat_top5_p1,0.7629447232090799,0.7357735409224967,0.7483140865932275,0.5888642015742387
target_nll__max__organic_all_p1,0.7629078521734797,0.6933700963416236,0.7254644451870959,0.5840268402709922
entropy__max__flat_top5_p1,0.7628802902981335,0.7378625324357843,0.7494091899107147,0.5857013913931938
top1_surprisal__max__flat_top8_p1,0.7626656091875014,0.7157080997869006,0.7373807964333318,0.5757567661147758
top1_surprisal__max__flat_top5_p1,0.7621051755495376,0.7156075802169061,0.7370680088319669,0.5774128582267185
top1_surprisal__max__spread4_p1,0.7620811568224611,0.7128459257881751,0.7355698785732301,0.5772551672831213
entropy__max__flat_top8_p1,0.7618724464927902,0.7339781701721095,0.7468524515508853,0.5845244115229907
entropy_excess_over_top1__max__flat_top8_p1,0.7616328463400245,0.7240200602607975,0.7413798076819791,0.5830304908502524
entropy_excess_over_top1__max__flat_top3_p2,0.7611474617604767,0.7522537893673279,0.7563585612410889,0.5965831594299755
target_nll__max__organic_top8_p1,0.7606562213765903,0.6860880618625244,0.7205041354844007,0.5728239050580697
entropy__max__spread4_p1,0.7593516819901645,0.7367293001678062,0.7471703994704332,0.5955136879001309
entropy_excess_over_top1__max__spread4_p1,0.7592134143221907,0.744630876300388,0.7513612784642972,0.5934539830864206
entropy_excess_over_top1__max__spread8_p1,0.7586301273399365,0.737681648076603,0.7473501769673722,0.5870420271200101
target_gap__max__organic_all_p1,0.7580570674822789,0.6909960830472366,0.7219473066326406,0.5835398456430254
target_nll__max__spread4_p1,0.756694358880761,0.6959150891415353,0.7239670597904087,0.5588225802125977
target_gap__max__spread8_p1,0.7556301386450616,0.6857701747397782,0.7180132350037549,0.5708650211139595
target_gap__max__organic_top8_p1,0.7551129382015459,0.6877033792454716,0.7188154833790444,0.5739551803633425
top1_surprisal__cvar80__flat_top8_p1,0.7516956604647641,0.7341443503442084,0.7422449550152342,0.5999004854948169
entropy__mean__flat_top8_p1,0.7510704829132866,0.7335867678057982,0.7416561747784852,0.6022637737189952
top1_surprisal__q90__flat_top5_p1,0.7510212967604062,0.7266849315296892,0.7379171000977125,0.592990077210298
entropy__mean__organic_top8_p1,0.7510024029321304,0.7109563707777402,0.7294391548489974,0.5908729758195153
top1_surprisal__mean__spread8_p1,0.7503304100453523,0.7268057212434983,0.7376632699212771,0.5954718610828343
target_nll__max__flat_top8_p1,0.7502731489016224,0.6969272062856184,0.7215484105699281,0.5718401226495794
target_excess_over_entropy__max__organic_all_p1,0.7499206135757163,0.6847189339035389,0.7148120168291593,0.575275119311713
entropy__mean__spread4_p1,0.7492515674694196,0.7373089433380844,0.742820923706393,0.6020561074226773
top1_surprisal__cvar80__spread8_p1,0.7492410987795138,0.7380074207550037,0.7431921952278545,0.6045860211757058
top1_surprisal__q90__flat_top8_p1,0.7491435523866744,0.7271093701913568,0.7372789927430419,0.5939503448136435
target_gap__max__spread4_p1,0.7489047587116265,0.6742406374678963,0.7087010011188488,0.5492128428319855
entropy__mean__spread8_p1,0.7477360236301328,0.733107931120638,0.7398593584327127,0.6013963297811081
top1_surprisal__std__flat_top3_p2,0.7473536916110709,0.7467672152832517,0.7470378966653222,0.6093071861975685
entropy__cvar80__spread8_p1,0.7472287526516651,0.7491492940476145,0.7482628903264069,0.6077845271454922
top1_surprisal__cvar80__spread4_p1,0.746273569503201,0.7356944999558592,0.7405771474392477,0.5954750316662584
top1_surprisal__mean__flat_top8_p1,0.7461903121057961,0.7306155687038499,0.7378039118124404,0.598093192428526
entropy__cvar80__flat_top8_p1,0.7461677081839252,0.7441077811537152,0.7450585167061198,0.6003097813493615
entropy__std__flat_top3_p2,0.7459435591713174,0.7601838562897859,0.7536114114658774,0.6076004638893459
entropy__q90__flat_top3_p2,0.7458781596957755,0.7436837185732215,0.7446965375528619,0.599497831377013
target_excess_over_entropy__max__spread8_p1,0.7457108691265341,0.6660390845057013,0.7028106774076242,0.5563297077704416
entropy__q90__spread8_p1,0.7456406379715875,0.738049243675152,0.7415529641196605,0.6007400250244654
top1_surprisal__cvar80__flat_top5_p1,0.7449391827718005,0.7370975997087414,0.7407167918916916,0.6023024388813522
entropy__max__organic_top8_p1,0.7448879986669489,0.6994530850978184,0.7204230452066478,0.5585210260080795
top1_surprisal__std__spread8_p1,0.7446696899932924,0.74738900747362,0.7461339378673149,0.6031575387114495
target_gap__max__flat_top8_p1,0.7438326000597493,0.6832174101643235,0.7111936516545201,0.5662083487541614
entropy__cvar80__flat_top3_p2,0.7435145532334516,0.7594358901092786,0.7520875807819738,0.6074219698529557
target_excess_over_entropy__max__organic_top8_p1,0.7434431533258238,0.676830760693937,0.707574941908654,0.565557573514343
top1_surprisal__std__flat_top5_p1,0.7429476433675236,0.7391263376939197,0.7408900172355831,0.593435044955693
entropy__mean__flat_top5_p1,0.7429216240724346,0.7411635862043057,0.7419749882972883,0.6009097323648143
target_nll__max__flat_top5_p1,0.7429140717191668,0.6898616106847401,0.7143473619313985,0.5629316226850805
entropy_excess_over_top1__mean__organic_all_p1,0.7428155663106875,0.7113599529708436,0.7258779283584638,0.5935455708616207
top1_surprisal__q90__spread4_p1,0.7427299365553187,0.7209550270363003,0.7310049852758472,0.591387665572865
entropy_excess_over_top1__mean__organic_top8_p1,0.742459911190282,0.7284016053611536,0.7348900542053667,0.59692269756354
entropy_excess_over_top1__mean__flat_top8_p1,0.7421421122047582,0.7370766836294373,0.739414573741124,0.596408529235293
top1_surprisal__mean__organic_top8_p1,0.7416519032610811,0.7064783494804271,0.7227122973791905,0.5854551137809041
entropy_excess_over_top1__cvar80__flat_top5_p1,0.7415859355618516,0.7527636259327549,0.7476046919154149,0.6023978218310461
entropy__std__spread8_p1,0.7413080413175756,0.7619782387979612,0.7524381476531677,0.608514960210043
target_nll__max__flat_top3_p2,0.741119650034692,0.6935490810577282,0.7155047282778653,0.5547794975118285
top1_surprisal__mean__spread4_p1,0.7407956828984199,0.7194188752853096,0.7292850941836685,0.5843800850952482
target_nll__cvar80__spread4_p1,0.7405958819524936,0.7276396762606007,0.7336194635030128,0.5781575422705275
entropy_excess_over_top1__mean__spread4_p1,0.7404948793982028,0.7450164468475285,0.7429295695632244,0.5963210505163687
target_nll__std__spread4_p1,0.740432207718389,0.7179267344632903,0.7283138759656436,0.5741637837210251
entropy__mean__organic_all_p1,0.740183264960164,0.7037310497540912,0.7205551490799709,0.5861503737000207
target_excess_over_entropy__max__flat_top8_p1,0.7401381177897016,0.6726517024356948,0.7037992787529288,0.5594024994142841
top1_surprisal__std__flat_top8_p1,0.7398385763230134,0.737023945617122,0.738323005942918,0.5884769220747089
entropy__q90__flat_top5_p1,0.7397618797616029,0.742990802311671,0.7415005303654857,0.5959310511765454
entropy_excess_over_top1__q90__flat_top5_p1,0.7397504635946509,0.7474640540230733,0.7439039353638013,0.601879770569777
entropy_excess_over_top1__q90__flat_top8_p1,0.7396874179231067,0.7375656878692374,0.7385449478941,0.5982429298863093
entropy__std__organic_all_p1,0.7396334024988689,0.7221458677177103,0.7302170376167066,0.5889491378667857
entropy__cvar80__flat_top5_p1,0.7396170880294107,0.7549842686925458,0.7478917237710987,0.6017499073869064
entropy__std__flat_top5_p1,0.7392782660696037,0.7415880566369523,0.740521999452022,0.5966871294794551
top1_surprisal__q90__spread8_p1,0.7384684775134596,0.7267143914281001,0.7321393542367276,0.5928636085748477
