candidate,discovery_macro_auroc,confirmation_macro_auroc,all_macro_auroc,all_macro_auprc,mean_n_kept,fallback_cells
entropy_excess_over_top1__cvar80__flat_top3_p2,0.7668877100266971,0.7628940990978522,0.7647373041419344,0.6231073394329959,4.923076923076923,1
target_nll__std__spread8_p1,0.7666648881614065,0.7605554755743684,0.7633752044606937,0.6244011337259538,4.923076923076923,1
target_excess_over_entropy__mean__spread8_p1,0.7663370493361037,0.7578378292192925,0.7617605461962824,0.6199451814250411,5.0,0
target_excess_over_entropy__std__spread8_p1,0.7662574148448399,0.7600431389354924,0.7629112662782682,0.6228175900758284,4.923076923076923,1
target_nll__std__flat_top3_p2,0.7661793923574235,0.7612779675025401,0.7635401635894093,0.6236498222413922,4.923076923076923,1
target_nll__mean__flat_top8_p1,0.7660843747361353,0.7539976202939435,0.7595761223441859,0.6236767923087784,4.923076923076923,1
target_excess_over_entropy__max__flat_top3_p2,0.765916070879646,0.7643205652956048,0.7650569524882394,0.6253268527179879,4.615384615384615,5
target_nll__cvar80__spread8_p1,0.7658427315015827,0.7572865515598352,0.7612355576867955,0.6213741424868344,4.923076923076923,1
target_excess_over_entropy__mean__flat_top8_p1,0.7658034626383201,0.7557557559003784,0.7603931590101976,0.6234800750217081,5.0,0
target_excess_over_entropy__q90__organic_top8_p1,0.7651444696859482,0.758893045186049,0.7617783180321562,0.6253822343093705,4.923076923076923,1
target_excess_over_entropy__mean__spread4_p1,0.7647061437902775,0.7602358484096337,0.7622990616622384,0.6228642521674941,5.0,0
target_nll__mean__spread4_p1,0.7643934163781658,0.7578784429780564,0.7608853537781067,0.6203625516953135,4.923076923076923,1
target_nll__mean__flat_top5_p1,0.7643894929288576,0.754897395235649,0.7592783634017451,0.6227408366003021,4.923076923076923,1
target_excess_over_entropy__std__flat_top3_p2,0.7638497986864352,0.7600330190173411,0.7617946096338462,0.6203969469079554,4.923076923076923,1
target_nll__q90__spread8_p1,0.7638347647709712,0.7583001280430758,0.760854575763643,0.6222447274148666,5.0,0
top1_surprisal__std__spread4_p1,0.7637292985934168,0.7643757113348048,0.7640773669926256,0.6242383656985946,4.923076923076923,1
target_nll__cvar80__flat_top3_p2,0.7634647666860843,0.7593117689478618,0.7612285371347338,0.6231734272011905,4.923076923076923,1
entropy__std__spread4_p1,0.7629290058488042,0.7647308663633788,0.7638992384335752,0.6233623380713242,4.923076923076923,1
target_excess_over_entropy__mean__flat_top5_p1,0.7628188781896021,0.7559292211457682,0.7591090628583069,0.6224652764529198,5.0,0
entropy__q90__spread4_p1,0.7615755918973205,0.7607894357605779,0.7611522770544591,0.6168488369409191,4.923076923076923,1
entropy_excess_over_top1__std__spread4_p1,0.7614898850565334,0.764867833938059,0.763308780608124,0.6217327572900538,4.923076923076923,1
target_nll__q90__flat_top3_p2,0.7614216608043871,0.7570014154709669,0.7590415287017762,0.6212537137245868,4.923076923076923,1
entropy__std__spread8_p1,0.7613940871967491,0.7640204491448824,0.7628082820918979,0.6187067383692414,4.923076923076923,1
entropy_excess_over_top1__std__spread8_p1,0.7609663267484151,0.7634488574587105,0.7623030740539587,0.6178470650861205,4.923076923076923,1
entropy_excess_over_top1__std__flat_top5_p1,0.7605028874809645,0.7602504014312991,0.7603669334542216,0.6145471223882706,4.923076923076923,1
target_nll__mean__spread8_p1,0.7604656413852992,0.7557604715264373,0.7579320883843736,0.6167901906233895,4.923076923076923,1
target_nll__mean__flat_top3_p2,0.7604210853412045,0.7578236181734785,0.7590224491739672,0.6227076426008016,4.923076923076923,1
top1_surprisal__q90__flat_top3_p2,0.7603791031522972,0.7562554997011254,0.7581587012939739,0.6150022681207155,4.923076923076923,1
top1_surprisal__cvar80__flat_top3_p2,0.7603298482912599,0.7573845399507599,0.7587439130309905,0.6139634330220123,4.923076923076923,1
target_excess_over_entropy__mean__flat_top3_p2,0.7603032314734958,0.761839045625719,0.7611302083246927,0.6231444453490972,5.0,0
entropy_excess_over_top1__std__flat_top3_p2,0.7602271111246277,0.7620694642259538,0.7612191474099572,0.6152642442710824,4.923076923076923,1
entropy__std__flat_top3_p2,0.7600069586770607,0.7623202617572394,0.7612525834125414,0.6134707041737599,4.923076923076923,1
top1_surprisal__mean__flat_top3_p2,0.7578467101113003,0.7554935250394544,0.7565796104572295,0.6131935557640203,4.923076923076923,1
entropy__mean__flat_top3_p2,0.7572402089074846,0.7560025964237049,0.7565738021854493,0.6091838570291841,4.923076923076923,1
entropy_excess_over_top1__mean__flat_top3_p2,0.7560934786815342,0.7574120636897665,0.7568034859936593,0.6115255911118923,4.923076923076923,1
