combination,n_added,tail_only,discovery_macro_auroc,confirmation_macro_auroc,all_macro_auroc,all_macro_auprc,mean_n_kept,fallback_cells
target_nll__max__spread4_p1 + top1_surprisal__max__spread4_p1 + kl_to_final__std__organic_all_p1,3,False,0.7876006953205955,0.7662210894261315,0.7760885998389611,0.6377210393710655,6.615384615384615,0
top1_surprisal__max__spread8_p1 + entropy_excess_over_top1__max__flat_top8_p1 + target_nll__max__spread8_p1,3,False,0.7870740087417287,0.7706549110309153,0.778232956128214,0.6386255271666429,6.923076923076923,0
top1_surprisal__max__flat_top8_p1 + entropy_excess_over_top1__max__flat_top8_p1 + target_nll__max__spread8_p1,3,False,0.7869798308641852,0.769874140253831,0.7777690743816866,0.6364752865703386,6.923076923076923,0
top1_surprisal__max__spread8_p1 + target_nll__max__spread4_p1 + entropy_excess_over_top1__max__flat_top8_p1,3,False,0.7868441109860007,0.7684874568762571,0.7769597587730619,0.6365326664689056,6.923076923076923,0
top1_surprisal__max__flat_top8_p1 + target_nll__max__spread4_p1 + entropy_excess_over_top1__max__flat_top8_p1,3,False,0.7868364362635673,0.7676867335819935,0.7765250578965659,0.6342330736261252,6.923076923076923,0
target_nll__max__spread4_p1 + target_nll__max__spread8_p1 + kl_to_final__std__organic_all_p1,3,False,0.7867929483855738,0.7654450012158509,0.7752978999095691,0.6371454686286447,6.615384615384615,0
entropy_excess_over_top1__max__flat_top8_p1 + target_nll__max__spread8_p1 + top1_surprisal__max__flat_top5_p1,3,False,0.7860436847220984,0.7698263860102026,0.7773112931080006,0.6370338518256804,6.923076923076923,0
entropy_excess_over_top1__max__flat_top8_p1 + target_nll__max__spread8_p1 + top1_surprisal__max__spread4_p1,3,False,0.7859855129605546,0.7703255686843683,0.7775532352733774,0.6374990633063411,6.923076923076923,0
top1_surprisal__max__spread8_p1 + target_gap__max__spread8_p1,2,False,0.785880060929224,0.7686902980722935,0.7766240347754921,0.6402204842090662,5.846153846153846,0
target_nll__max__spread4_p1 + entropy_excess_over_top1__max__flat_top8_p1 + top1_surprisal__max__spread4_p1,3,False,0.785869853450268,0.7695187862467562,0.7770654326483771,0.6365390850650183,6.923076923076923,0
top1_surprisal__max__flat_top8_p1 + target_nll__max__spread8_p1 + top1_surprisal__max__spread4_p1,3,False,0.7857286135755664,0.7666777663195777,0.7754704650531109,0.6343515088168865,6.923076923076923,0
target_nll__max__spread4_p1 + entropy_excess_over_top1__max__flat_top8_p1 + top1_surprisal__max__flat_top5_p1,3,False,0.7857122301143487,0.7684239339058496,0.7764031475405415,0.6357331266444727,6.923076923076923,0
top1_surprisal__max__spread8_p1 + target_nll__max__spread8_p1 + top1_surprisal__max__spread4_p1,3,False,0.785700081950985,0.7666911146494338,0.7754644841732267,0.6354301623120346,6.923076923076923,0
top1_surprisal__max__spread8_p1 + target_nll__max__spread8_p1 + top1_surprisal__max__flat_top5_p1,3,False,0.7855703809261717,0.76450441058234,0.7742271661256469,0.6334310130631617,6.923076923076923,0
top1_surprisal__max__flat_top8_p1 + target_gap__max__spread8_p1,2,False,0.7855212315120904,0.7677807361188076,0.7759686570695536,0.6381037452720023,5.846153846153846,0
entropy_excess_over_top1__max__flat_top8_p1 + target_nll__max__spread8_p1 + top1_surprisal__max__flat_top3_p2,3,False,0.785484247369228,0.7701242604770892,0.7772134851965379,0.6381624205650633,6.923076923076923,0
top1_surprisal__max__spread8_p1 + top1_surprisal__max__flat_top8_p1 + target_nll__max__spread8_p1,3,False,0.7854794085218839,0.7645292315731614,0.7741985440110336,0.6324200666480281,6.923076923076923,0
top1_surprisal__max__spread8_p1 + target_nll__max__flat_top8_p1,2,False,0.7854755638591809,0.7698499594039189,0.7770617768448091,0.6388894060939857,5.923076923076923,0
top1_surprisal__max__spread8_p1 + target_nll__max__spread4_p1 + target_nll__max__spread8_p1,3,False,0.7854652411039255,0.767590469860956,0.7758403642807881,0.6385081585849298,6.923076923076923,0
target_nll__max__spread4_p1 + entropy_excess_over_top1__max__flat_top8_p1 + target_nll__max__spread8_p1,3,False,0.7854244640895368,0.7687023528763596,0.7764202503593645,0.6385194627050393,6.923076923076923,0
top1_surprisal__max__flat_top8_p1 + target_nll__max__spread4_p1 + target_nll__max__spread8_p1,3,False,0.7854143427456522,0.7670636676133518,0.7755332099821058,0.6370158144490916,6.923076923076923,0
top1_surprisal__max__flat_top8_p1 + target_nll__max__spread4_p1 + top1_surprisal__max__spread4_p1,3,False,0.7853983956753581,0.7658591743233468,0.7748772764858134,0.633384330661399,6.923076923076923,0
top1_surprisal__max__spread8_p1 + target_nll__max__spread8_p1 + top1_surprisal__max__flat_top3_p2,3,False,0.7853732579222199,0.765607759122936,0.7747302970302978,0.6348610967899422,6.923076923076923,0
top1_surprisal__max__flat_top8_p1 + target_nll__max__spread8_p1 + top1_surprisal__max__flat_top3_p2,3,False,0.785363646771721,0.7642151603056518,0.7739760002130682,0.6321806699797019,6.923076923076923,0
top1_surprisal__max__spread8_p1 + target_nll__max__spread4_p1 + top1_surprisal__max__flat_top5_p1,3,False,0.7853631384130462,0.7640670054089334,0.7738959898723701,0.6328711614154708,6.923076923076923,0
target_nll__max__spread4_p1 + entropy_excess_over_top1__max__flat_top8_p1 + top1_surprisal__max__flat_top3_p2,3,False,0.785239793150179,0.7690447070944458,0.7765193621970917,0.6378618580531802,6.923076923076923,0
top1_surprisal__max__flat_top8_p1 + target_nll__max__flat_top8_p1,2,False,0.7852203307410122,0.7686558441935637,0.7763009918308476,0.6353049708264383,5.923076923076923,0
top1_surprisal__max__flat_top8_p1 + target_nll__max__spread8_p1 + top1_surprisal__max__flat_top5_p1,3,False,0.7851992586606453,0.7619071588751979,0.7726573587761736,0.628841696169654,6.923076923076923,0
top1_surprisal__max__spread8_p1 + target_nll__max__spread4_p1 + top1_surprisal__max__spread4_p1,3,False,0.7851638229325059,0.7657043804941418,0.7746856616195408,0.6341526426224238,6.923076923076923,0
top1_surprisal__max__spread8_p1 + target_nll__max__spread8_p1,2,False,0.7851226992701513,0.7699546773870944,0.7769553028715823,0.6392825653970114,5.923076923076923,0
top1_surprisal__max__spread8_p1 + top1_surprisal__max__flat_top8_p1 + target_nll__max__spread4_p1,3,False,0.7851029278164323,0.7642086699596756,0.7738521735858709,0.6320363613175926,6.923076923076923,0
top1_surprisal__max__spread8_p1 + target_nll__max__spread4_p1,2,False,0.7850526200904895,0.7679148224905615,0.7758245752289898,0.6376615000871768,5.923076923076923,0
target_nll__max__spread4_p1 + target_nll__max__spread8_p1 + top1_surprisal__max__flat_top5_p1,3,False,0.7850497537937239,0.7668634653248197,0.7752571369258524,0.6370452920117307,6.923076923076923,0
target_nll__max__spread8_p1 + target_gap__max__spread8_p1,2,False,0.7850238404555935,0.7677986609594777,0.7757487438038387,0.6399334028010748,5.923076923076923,0
top1_surprisal__max__spread8_p1 + target_nll__max__spread4_p1 + top1_surprisal__max__flat_top3_p2,3,False,0.7849641745863362,0.7648770309407379,0.7741480203156292,0.6346029709445449,6.923076923076923,0
top1_surprisal__max__flat_top8_p1 + target_nll__max__spread4_p1 + top1_surprisal__max__flat_top3_p2,3,False,0.7849537106665974,0.7640154519904387,0.7736792636871275,0.6314224513379104,6.923076923076923,0
top1_surprisal__max__flat_top8_p1 + target_nll__max__spread4_p1 + entropy_excess_over_top1__max__flat_top8_p1 + target_nll__max__spread8_p1 + top1_surprisal__max__flat_top3_p2,5,True,0.7849374763196643,0.7452209292235059,0.7635516432678867,0.6203211193192788,4.923076923076923,1
target_nll__max__spread4_p1 + target_gap__max__spread8_p1,2,False,0.7849320011606983,0.7691743807235795,0.7764471286176343,0.6405680628832633,5.923076923076923,0
top1_surprisal__max__flat_top8_p1 + target_nll__max__spread8_p1,2,False,0.7849119801024337,0.7689199513337835,0.7763008876885452,0.6372285143731443,5.923076923076923,0
top1_surprisal__max__flat_top8_p1 + target_nll__max__spread4_p1 + top1_surprisal__max__flat_top5_p1,3,False,0.7848445247372037,0.7624283350382993,0.7727742687454858,0.6291563052968533,6.923076923076923,0
top1_surprisal__max__spread4_p1 + target_nll__max__flat_top8_p1,2,False,0.7847576514974585,0.7682566919696218,0.7758725194440079,0.6363582006964048,5.923076923076923,0
top1_surprisal__max__flat_top8_p1 + target_nll__max__spread4_p1,2,False,0.7846770431048199,0.7667952427332677,0.775048381366292,0.6348031317187749,5.923076923076923,0
target_nll__max__spread8_p1 + top1_surprisal__max__spread4_p1 + top1_surprisal__max__flat_top5_p1,3,False,0.7846256736177533,0.7661220538302127,0.7746621860398467,0.6350500051716199,6.923076923076923,0
entropy_excess_over_top1__max__flat_top8_p1 + target_nll__max__spread8_p1,2,False,0.7845569181268198,0.7684943144813602,0.7759078238561877,0.6361262730462399,5.923076923076923,0
target_nll__max__spread4_p1 + entropy_excess_over_top1__max__flat_top8_p1 + target_nll__max__spread8_p1 + top1_surprisal__max__flat_top5_p1 + top1_surprisal__max__flat_top3_p2,5,True,0.7845194016520489,0.7445781794216128,0.7630125896818141,0.6203458156388708,4.923076923076923,1
target_nll__max__spread4_p1 + target_nll__max__spread8_p1 + top1_surprisal__max__flat_top3_p2,3,False,0.7845085650787434,0.7672303386333982,0.7752049046850961,0.638910475390338,6.923076923076923,0
top1_surprisal__max__spread8_p1 + target_nll__max__spread4_p1 + entropy_excess_over_top1__max__flat_top8_p1 + target_nll__max__spread8_p1 + top1_surprisal__max__flat_top3_p2,5,True,0.7845020661709494,0.7461494027374405,0.7638506320144445,0.6210269092168408,4.923076923076923,1
target_nll__max__spread4_p1 + target_nll__max__spread8_p1 + top1_surprisal__max__spread4_p1,3,False,0.7844882071488127,0.7673680683473494,0.7752696708711017,0.6383619956700856,6.923076923076923,0
top1_surprisal__max__spread8_p1 + top1_surprisal__max__flat_top8_p1 + entropy_excess_over_top1__max__flat_top8_p1,3,False,0.7843607696932892,0.7643292194219322,0.7735745503164048,0.6264441556205033,6.923076923076923,0
target_nll__max__spread4_p1 + top1_surprisal__max__spread4_p1 + top1_surprisal__max__flat_top5_p1,3,False,0.7843158906093143,0.7652262006250773,0.7740368267716481,0.6343939094622757,6.923076923076923,0
top1_surprisal__max__spread4_p1 + target_gap__max__spread8_p1,2,False,0.7843129767944563,0.7669903751860746,0.7749854220822507,0.6385766970200589,5.846153846153846,0
top1_surprisal__max__flat_top5_p1 + target_nll__max__flat_top8_p1,2,False,0.7842865567122129,0.7684806254380481,0.7757756706415088,0.6355259336354331,5.923076923076923,0
entropy_excess_over_top1__max__flat_top8_p1 + target_nll__max__flat_top8_p1,2,False,0.7842745069163053,0.7679248854292081,0.775470864577099,0.6341351588830423,5.923076923076923,0
top1_surprisal__max__flat_top5_p1 + target_gap__max__spread8_p1,2,False,0.7841728951533501,0.767167856299748,0.7750163357706412,0.6374162478408935,5.846153846153846,0
target_nll__max__spread8_p1 + top1_surprisal__max__spread4_p1 + top1_surprisal__max__flat_top3_p2,3,False,0.784142133698535,0.7660065574689529,0.7743768234210677,0.6360921765170416,6.923076923076923,0
target_nll__max__spread8_p1 + top1_surprisal__max__spread4_p1,2,False,0.783970011807274,0.7688025493823354,0.775802916655384,0.6382674893859706,5.923076923076923,0
target_nll__max__flat_top8_p1 + target_gap__max__spread8_p1,2,False,0.7839668936073715,0.7683511033958398,0.7755583911857774,0.6386647132273006,5.923076923076923,0
target_nll__max__spread8_p1 + top1_surprisal__max__flat_top5_p1 + top1_surprisal__max__flat_top3_p2,3,False,0.7839267342160938,0.7633261756840871,0.7728341257757825,0.6311628628269473,6.923076923076923,0
target_nll__max__spread4_p1 + top1_surprisal__max__flat_top5_p1,2,False,0.7838932424824495,0.7671932835961339,0.7749009569282795,0.6357694940515283,5.923076923076923,0
target_nll__max__spread8_p1 + top1_surprisal__max__flat_top5_p1,2,False,0.7838131212499319,0.7686244732846469,0.775634618499394,0.6367862579421062,5.923076923076923,0
