outcome,n_rows,n_selected,n_abstained,mean_selected_step_length,median_selected_step_length,q90_selected_step_length
all,6800,4837,1963,125.83812280339053,112.0,211.0
error,4442,3743,699,129.25300561047288,116.0,215.0
clean,2358,1094,1264,114.154478976234,101.0,191.0
