contrast,reference,candidate,primary,n,mean_delta,median_delta,ci95_low,ci95_high,mean_delta_qa,mean_delta_math,n_dataset_families,dataset_macro_delta,dataset_ci95_low,dataset_ci95_high,dataset_wins,dataset_losses,wins,losses,ties,p_wilcoxon,holm_adjusted_p
H1_sparse_reliability,full.iu_pcr,full.su_pcr_reproduction,True,24,0.012647569549589602,1.1636458420727358e-06,-0.01776255375793632,0.06327850820271295,-0.023290366412142008,0.034210331126628565,8,-0.003957794013860761,-0.04377069128201018,0.03522585430943714,4,3,14,8,2,0.7331699916780436,1.0
H2_dependency_weights,full.su_pcr_reproduction,full.sdsf,True,24,-0.05647006977792057,-0.02851102360530333,-0.1018566560864686,-0.027337666102049366,-0.040816422093965264,-0.06586225838829375,8,-0.03770604123723391,-0.0692650969341394,-0.012218423489396248,2,6,2,22,0,5.960464477539062e-07,1.7881393432617188e-06
A1_ridge_without_sparse,full.iu_pcr,full.iu_ridge,False,24,-0.022409094753859157,-0.017112603102901802,-0.03406054765000405,-0.011992051886564091,-0.02638907682449591,-0.020021105511477105,8,-0.013300567539715731,-0.02755773353578783,-0.0016078206210885957,2,6,3,21,0,6.389617919921875e-05,
A3_deem_depth_hard,full.deem_irbm_hard_ensemble,full.deem_deep_hard_ensemble,False,24,0.007964295937330312,-0.0033724643502713314,-0.013423448104578142,0.044403280795726495,-0.0106165755983071,0.019112818858712757,8,0.0011173971949902974,-0.01697226633929547,0.026691050958726262,3,5,8,16,0,0.036649227142333984,
P1_sdsf_vs_deployed,deployed.upcr_signrho,full.sdsf,False,24,-0.06373773794583983,-0.03216074838772903,-0.11030784124474433,-0.031463641072826364,-0.06464735500939493,-0.06319196770770678,8,-0.05411637250079229,-0.09534958053783195,-0.016620114166527648,2,6,2,22,0,5.960464477539062e-07,
P3_sdsf_vs_dufs,deployed.dufs_lsml,full.sdsf,False,24,-0.05829548964458725,-0.02760540796820099,-0.10694410382255763,-0.02582503060208538,-0.05808305845902199,-0.058422948355926416,8,-0.0505933938363089,-0.09421288094773358,-0.012813616051831194,3,5,3,21,0,2.9802322387695312e-06,
K1_keep_sparse_reliability,keep.iu_pcr,keep.su_pcr_reproduction,False,24,-0.0006740233797029038,0.0,-0.0019805492976005673,8.136546953329136e-05,-0.00011609783187801111,-0.0010087787083978394,8,-0.00023704410878743477,-0.0011117596853349372,0.0004427017756812969,4,4,8,10,6,0.44598168917699166,
K2_keep_dependency_weights,keep.su_pcr_reproduction,keep.sdsf,False,24,-0.03823757265372365,-0.028380349250282322,-0.0553479320369056,-0.024094597306869366,-0.03111785137592788,-0.04250940542040112,8,-0.026026048113894956,-0.04052134759119511,-0.012641309350412275,0,8,0,24,0,1.1920928955078125e-07,
A4_factorial_interaction,(iu_ridge-iu_pcr),(sdsf-su_pcr),False,24,-0.03406097502406141,-0.01003610860613352,-0.08072765677891822,-0.007873500097798027,-0.014427345269469352,-0.04584115287681665,8,-0.02440547369751818,-0.053915533436901794,-0.004772911281144825,1,7,4,20,0,0.00020515918731689453,nan
