cell,domain,arm,auc
epr_triviaqa_mistral24b,QA,deployed.dufs_lsml,0.7451885310290653
losnet_hotpotqa_mistral7b,QA,deployed.dufs_lsml,0.5683691163588909
sciq_llama8b,QA,deployed.dufs_lsml,0.7407998177053664
se_nq_open_llama8b,QA,deployed.dufs_lsml,0.7547829297250279
se_squad_v2_llama8b,QA,deployed.dufs_lsml,0.7975932958572369
seiclr_triviaqa_opt30b,QA,deployed.dufs_lsml,0.7725716286028161
semenergy_triviaqa_qwen3_8b,QA,deployed.dufs_lsml,0.7866559767515127
spilled_triviaqa_llama8b,QA,deployed.dufs_lsml,0.9413333333333334
truthfulqa_llama8b,QA,deployed.dufs_lsml,0.6605579884563606
ars_gsm8k_r1distill8b,math,deployed.dufs_lsml,0.714225113122172
internalstates_gsm8k_qwen25_7b,math,deployed.dufs_lsml,0.6910832321597195
lapeigvals_gsm8k_llama3b,math,deployed.dufs_lsml,0.7087347911488442
lapeigvals_gsm8k_llama8b,math,deployed.dufs_lsml,0.8148770918408199
lapeigvals_gsm8k_mistral24b,math,deployed.dufs_lsml,0.8412768215937524
lapeigvals_gsm8k_nemo,math,deployed.dufs_lsml,0.7900304692260816
lapeigvals_gsm8k_phi35,math,deployed.dufs_lsml,0.8064018013688268
noise_gsm8k_mistral7b,math,deployed.dufs_lsml,0.7732435427578184
noise_gsm8k_phi3mini,math,deployed.dufs_lsml,0.6764326839392114
math500_dsmath7b,math,deployed.dufs_lsml,0.7923615623420691
math500_qwenmath7b,math,deployed.dufs_lsml,0.9178498985801218
math500_r1distill8b,math,deployed.dufs_lsml,0.8322647250597697
math500_r1distill8b_mn4096,math,deployed.dufs_lsml,0.8193919013591144
trace_gsm8k_llama8b_k10,math,deployed.dufs_lsml,0.8115223567193675
trace_math500_qwenmath15b_k10,math,deployed.dufs_lsml,0.6900644833566535
epr_triviaqa_mistral24b,QA,deployed.upcr_signrho,0.7457496352822355
losnet_hotpotqa_mistral7b,QA,deployed.upcr_signrho,0.5695668496040329
sciq_llama8b,QA,deployed.upcr_signrho,0.738976871368349
se_nq_open_llama8b,QA,deployed.upcr_signrho,0.7468965488308481
se_squad_v2_llama8b,QA,deployed.upcr_signrho,0.8102507127768863
seiclr_triviaqa_opt30b,QA,deployed.upcr_signrho,0.811871846772098
semenergy_triviaqa_qwen3_8b,QA,deployed.upcr_signrho,0.8102602404150281
spilled_triviaqa_llama8b,QA,deployed.upcr_signrho,0.9299999999999999
truthfulqa_llama8b,QA,deployed.upcr_signrho,0.6633585817234888
ars_gsm8k_r1distill8b,math,deployed.upcr_signrho,0.7384857789269554
internalstates_gsm8k_qwen25_7b,math,deployed.upcr_signrho,0.708176755121312
lapeigvals_gsm8k_llama3b,math,deployed.upcr_signrho,0.699160313160369
lapeigvals_gsm8k_llama8b,math,deployed.upcr_signrho,0.8108335335094884
lapeigvals_gsm8k_mistral24b,math,deployed.upcr_signrho,0.8486086890590644
lapeigvals_gsm8k_nemo,math,deployed.upcr_signrho,0.7972699573430835
lapeigvals_gsm8k_phi35,math,deployed.upcr_signrho,0.8088448633398303
noise_gsm8k_mistral7b,math,deployed.upcr_signrho,0.7830679315212743
noise_gsm8k_phi3mini,math,deployed.upcr_signrho,0.6830577313606034
math500_dsmath7b,math,deployed.upcr_signrho,0.7865136091256949
math500_qwenmath7b,math,deployed.upcr_signrho,0.9155045638945232
math500_r1distill8b,math,deployed.upcr_signrho,0.8385677026733319
math500_r1distill8b_mn4096,math,deployed.upcr_signrho,0.8357853439820653
trace_gsm8k_llama8b_k10,math,deployed.upcr_signrho,0.8113494318181818
trace_math500_qwenmath15b_k10,math,deployed.upcr_signrho,0.6860695600152698
epr_triviaqa_mistral24b,QA,full.iu_pcr,0.7432667489619571
losnet_hotpotqa_mistral7b,QA,full.iu_pcr,0.5691020575984554
