arm,n_cells,macro_auc,macro_qa,macro_math,median_fit_seconds,n_failed_records
deployed.dufs_lsml,24,0.7686505455164147,0.7519836242021789,0.7786506983049561,0.26651012897491455,0
deployed.upcr_signrho,24,0.7740927938176672,0.7585479207525518,0.7834197176567365,0.00294649600982666,0
full.deem_deep_hard_ensemble,24,0.7543619600020018,0.7296391256759116,0.7691956605976562,45.737213134765625,0
full.deem_deep_hard_seed0,24,0.7516985375702204,0.7326489804608484,0.7631282718358435,45.737213134765625,0
full.deem_irbm_hard_ensemble,24,0.7463976640646717,0.7402557012742188,0.7500828417389435,35.3460328578949,0
full.deem_irbm_hard_seed0,24,0.7463701872265419,0.7402819924392571,0.7500231040989126,35.3460328578949,0
full.iu_pcr,24,0.7541775561001584,0.7580073542492642,0.7518796772106948,0.0031096935272216797,0
full.iu_ridge,24,0.7317684613462992,0.7316182774247683,0.7318585716992179,0.0034384727478027344,0
full.sdsf,24,0.7103550558718275,0.693900565743157,0.7202277499490296,0.0034842491149902344,0
full.su_pcr_reproduction,24,0.7668251256497479,0.7347169878371222,0.7860900083373235,0.003311753273010254,0
keep.iu_pcr,24,0.7742274920935293,0.7585479207525518,0.7836352348981158,0.0030819177627563477,0
keep.iu_ridge,24,0.751226643762609,0.7451699128424999,0.7548606823146743,0.002801656723022461,0
keep.sdsf,24,0.7353158960601028,0.727313971544746,0.7401170507693168,0.003018498420715332,0
keep.su_pcr_reproduction,24,0.7735534687138265,0.7584318229206739,0.7826264561897179,0.0028557777404785156,0
