cell,domain,arena,arm,n_seeds,mean_auc,std_auc,min_auc,max_auc,range_auc
ars_gsm8k_r1distill8b,math,full,deem_deep_hard,5,0.7348476890756304,0.005975103996095875,0.727183661926309,0.7442529896574014,0.017069327731092376
ars_gsm8k_r1distill8b,math,full,deem_irbm_hard,5,0.7527856334841629,8.814408625266854e-05,0.752636150614092,0.7528987556561086,0.00026260504201669477
epr_triviaqa_mistral24b,QA,full,deem_deep_hard,5,0.7253605094826618,0.0013611188166918096,0.7235930310851756,0.7277942991807878,0.004201268095612165
epr_triviaqa_mistral24b,QA,full,deem_deep_soft,1,0.704452362248906,0.0,0.704452362248906,0.704452362248906,0.0
epr_triviaqa_mistral24b,QA,full,deem_irbm_hard,5,0.7198308270676691,0.00020316313534090024,0.7195741218718438,0.7201211985186846,0.0005470766468408383
internalstates_gsm8k_qwen25_7b,math,full,deem_deep_hard,5,0.700508758744291,0.0035269463912318776,0.6938968221849646,0.7043514289568519,0.010454606771887254
internalstates_gsm8k_qwen25_7b,math,full,deem_irbm_hard,5,0.7072401765238675,6.686844182194368e-05,0.7071553833998188,0.707319188298549,0.0001638048987302465
lapeigvals_gsm8k_llama3b,math,full,deem_deep_hard,5,0.6913399149142161,0.0035571618085933803,0.6870653782779903,0.6970098956442409,0.009944517366250571
lapeigvals_gsm8k_llama3b,math,full,deem_irbm_hard,5,0.6891855410022247,7.832987578952074e-05,0.6890703400638608,0.6892867781904841,0.0002164381266233084
lapeigvals_gsm8k_llama8b,math,full,deem_deep_hard,5,0.7994955560893586,0.001398304593407745,0.7980422772039395,0.8014953158779726,0.0034530386740331265
lapeigvals_gsm8k_llama8b,math,full,deem_irbm_hard,5,0.800670590119305,9.654220155169119e-05,0.8005044439106414,0.8007746817199136,0.0002702378092722668
lapeigvals_gsm8k_mistral24b,math,full,deem_deep_hard,5,0.829040109181894,0.011408681312010359,0.809068162862992,0.8432216240806734,0.03415346121768137
lapeigvals_gsm8k_mistral24b,math,full,deem_irbm_hard,5,0.8468003639396467,0.00010566052020107087,0.8466146030783228,0.84693684130715,0.00032223822882715414
lapeigvals_gsm8k_nemo,math,full,deem_deep_hard,5,0.7719414990859232,0.002599230335347244,0.7683160674385537,0.7753828966077595,0.007066829169205757
lapeigvals_gsm8k_nemo,math,full,deem_irbm_hard,5,0.7838305911029859,4.145805721491569e-05,0.7837802153158644,0.7838797481210644,9.953280520003105e-05
lapeigvals_gsm8k_phi35,math,full,deem_deep_hard,5,0.7373387979601099,0.006884493616184535,0.7241186731814985,0.7427286643704554,0.018609991188956898
lapeigvals_gsm8k_phi35,math,full,deem_irbm_hard,5,0.7892015770877279,4.7107217037586994e-05,0.7891379417759147,0.7892736674409704,0.00013572566505570816
losnet_hotpotqa_mistral7b,QA,full,deem_deep_hard,5,0.5643254259103666,0.0015663792133083284,0.5619245964354028,0.5661792309479969,0.004254634512594113
losnet_hotpotqa_mistral7b,QA,full,deem_deep_soft,1,0.5748583278213768,0.0,0.5748583278213768,0.5748583278213768,0.0
