source,world,group,budget,reference,candidate,n_units,mean_delta,median_delta,ci95_low,ci95_high,wins,losses,catastrophic_losses_5pp
synthetic,upcr_sufficient,all,10,local_uniform2,hybrid_domain_uniform,12,-0.0023460278954500293,-0.0023265377337275406,-0.002616232292176449,-0.0021002673071397375,0,12,0
synthetic,shared_correction,all,10,local_uniform2,hybrid_domain_uniform,12,0.3125612286159251,0.30747530577982407,0.29768538005569384,0.3278672724856164,12,0,0
synthetic,family_shift,all,10,local_uniform2,hybrid_domain_uniform,12,-0.0027892345793184927,-0.0027779457511286076,-0.0031422860887196573,-0.002423760634573788,0,12,0
real,real,all,10,local_uniform2,hybrid_domain_active,24,-0.003601962703361758,-0.0043236516349899334,-0.006370560712833264,-0.0010705329366483853,8,16,0
real,real,QA,10,local_uniform2,hybrid_domain_active,9,-0.005882761336534499,-0.004625915591210283,-0.011302538330134579,-0.0011629511237604435,1,8,0
real,real,math,10,local_uniform2,hybrid_domain_active,15,-0.002233483523458113,-0.003297805642633156,-0.004984691479890241,0.0005079143392116313,7,8,0
synthetic,upcr_sufficient,all,10,local_uniform2,hybrid_domain_active,12,0.00014468635711456512,0.00015393598598478775,-8.641822323737544e-06,0.00031323383396990144,9,3,0
synthetic,shared_correction,all,10,local_uniform2,hybrid_domain_active,12,0.3148137212207233,0.30929049195946806,0.29894428903759324,0.32997503123911825,12,0,0
synthetic,family_shift,all,10,local_uniform2,hybrid_domain_active,12,6.799499768750383e-05,7.533600690906583e-05,-0.00014862645079930905,0.00025228929368322644,7,5,0
real,real,all,10,hybrid_domain_uniform,hybrid_domain_active,24,0.007900576281350366,0.006389591150898211,0.0049922347359034796,0.011423166710766963,23,1,0
real,real,QA,10,hybrid_domain_uniform,hybrid_domain_active,9,0.007485297763209411,0.003269330565646267,0.002823996872600598,0.013741457388924872,9,0,0
real,real,math,10,hybrid_domain_uniform,hybrid_domain_active,15,0.008149743392234938,0.008658041603247124,0.004795111105454778,0.012482199941147203,14,1,0
synthetic,upcr_sufficient,all,10,hybrid_domain_uniform,hybrid_domain_active,12,0.0024907142525645944,0.0025415763215471676,0.0022814006828833708,0.0027179392429814123,12,0,0
synthetic,shared_correction,all,10,hybrid_domain_uniform,hybrid_domain_active,12,0.0022524926047982527,0.002304805394864662,0.0017105112993770126,0.0029056672132520994,12,0,0
synthetic,family_shift,all,10,hybrid_domain_uniform,hybrid_domain_active,12,0.0028572295770059966,0.0029559767134755277,0.0025880261752812697,0.0031388065156202306,12,0,0
real,real,all,10,pooled_domain_lofo,hybrid_domain_active,24,0.010655937915058353,0.008358059029848153,0.006896985184772149,0.015281394254807883,23,1,0
real,real,QA,10,pooled_domain_lofo,hybrid_domain_active,9,0.011004287674331073,0.008415841584158423,0.004527838992479898,0.02018380789168809,8,1,0
real,real,math,10,pooled_domain_lofo,hybrid_domain_active,15,0.01044692805949472,0.008300276475537882,0.00629076333559358,0.015602522608652233,15,0,0
synthetic,upcr_sufficient,all,10,pooled_domain_lofo,hybrid_domain_active,12,0.003550744370943613,0.0035677024323119144,0.0033207442454581447,0.003786770764814436,12,0,0
synthetic,shared_correction,all,10,pooled_domain_lofo,hybrid_domain_active,12,0.0033066295782011403,0.0032321087266084514,0.0024561498624167985,0.004213297476380206,12,0,0
synthetic,family_shift,all,10,pooled_domain_lofo,hybrid_domain_active,12,0.0039021380277337405,0.0038275667436732386,0.0035087033128511315,0.004323393073367374,12,0,0
real,real,all,20,upcr,local_controlled2,24,-0.0015292714440823436,-0.0015448364734764741,-0.0029694984380468593,-0.00021477660012983617,7,17,0
real,real,QA,20,upcr,local_controlled2,9,-0.001916518744122649,-0.0015739448901289643,-0.005284421002927137,0.0008856845474319351,3,6,0
real,real,math,20,upcr,local_controlled2,15,-0.0012969230640581604,-0.001515728056823984,-0.0024336578022690434,-3.8973361052718547e-05,4,11,0
synthetic,upcr_sufficient,all,20,upcr,local_controlled2,12,-0.0005490176833334859,-0.0005035138766916192,-0.000752648521331849,-0.00035775823056882766,1,11,0
synthetic,shared_correction,all,20,upcr,local_controlled2,12,0.30362194723801533,0.2974965612508274,0.29375448134355814,0.31463678239379295,12,0,0
synthetic,family_shift,all,20,upcr,local_controlled2,12,-0.0006013067922168805,-0.0006360249191131317,-0.0007454450183301766,-0.00044355716483392594,0,12,0
real,real,all,20,upcr,local_uniform2,24,-0.00048285677260590426,-0.0009415080547628407,-0.0019309825074619604,0.0011045291701093027,7,17,0
real,real,QA,20,upcr,local_uniform2,9,-0.0013029282685078389,-0.0012161214446830826,-0.0038859050728265727,0.001234610344885166,3,6,0
real,real,math,20,upcr,local_uniform2,15,9.186124935256501e-06,-0.0006668946648425988,-0.0014033658802947912,0.0020480442397272963,4,11,0
synthetic,upcr_sufficient,all,20,upcr,local_uniform2,12,-0.0004526408449432399,-0.00048534500836677763,-0.0005859646873056552,-0.0003177810420807266,0,12,0
synthetic,shared_correction,all,20,upcr,local_uniform2,12,0.2873141892864008,0.29353471786960195,0.27441555785869315,0.2992360940623819,12,0,0
synthetic,family_shift,all,20,upcr,local_uniform2,12,-0.0006393913702480806,-0.0006021022488808536,-0.0007357635802483967,-0.0005480428734347155,0,12,0
real,real,all,20,upcr,local_active2,24,-0.001781419809590475,-0.0020592509310349283,-0.004068687964651168,0.0007722840639476109,7,17,0
real,real,QA,20,upcr,local_active2,9,-0.002452229316282331,-0.0004885567011749803,-0.006106965203292714,0.0012514245255413176,3,6,0
real,real,math,20,upcr,local_active2,15,-0.0013789341055753617,-0.0021334688838864357,-0.004152640105180801,0.001997207926494004,4,11,0
synthetic,upcr_sufficient,all,20,upcr,local_active2,12,-0.0002903164370515743,-0.00027598133533274227,-0.0004215369733513693,-0.00016380650225019923,1,11,0
synthetic,shared_correction,all,20,upcr,local_active2,12,0.326700175882599,0.324034769463718,0.3200943710424304,0.33380198525286087,12,0,0
synthetic,family_shift,all,20,upcr,local_active2,12,-0.0006253146714273091,-0.0006161665640414538,-0.0007505067704772707,-0.0004921637364430245,0,12,0
real,real,all,20,upcr,pooled_domain_lofo,24,-0.014373327920638885,-0.01321520290649797,-0.0200944271104115,-0.009193816744458901,1,23,1
real,real,QA,20,upcr,pooled_domain_lofo,9,-0.01731816344883165,-0.014011180992313244,-0.026036173950094714,-0.009695672860278793,0,9,0
real,real,math,20,upcr,pooled_domain_lofo,15,-0.012606426603723226,-0.009667417035800097,-0.020246027429587903,-0.006129541939839636,1,14,1
synthetic,upcr_sufficient,all,20,upcr,pooled_domain_lofo,12,-0.003886472910398601,-0.003931454356363329,-0.0041392161509629785,-0.0036381339296146114,0,12,0
synthetic,shared_correction,all,20,upcr,pooled_domain_lofo,12,0.47280392256872866,0.4743482745460628,0.46494591081454845,0.47994895174171975,12,0,0
synthetic,family_shift,all,20,upcr,pooled_domain_lofo,12,-0.00434935224262024,-0.004359137177497696,-0.004711129199907683,-0.004002613938076179,0,12,0
real,real,all,20,upcr,pooled_all_lofo,24,-0.009552162151053928,-0.008561747028085875,-0.013578127138084527,-0.00571863706216455,3,21,0
real,real,QA,20,upcr,pooled_all_lofo,9,-0.009557809553297658,-0.008898482850434375,-0.01348833465184593,-0.005481157122409658,1,8,0
real,real,math,20,upcr,pooled_all_lofo,15,-0.009548773709707688,-0.008225011205737376,-0.01543163859868837,-0.00398898704050112,2,13,0
synthetic,upcr_sufficient,all,20,upcr,pooled_all_lofo,12,-0.0039040385520368037,-0.004089866179840307,-0.004145739073988872,-0.0036451647009028408,0,12,0
synthetic,shared_correction,all,20,upcr,pooled_all_lofo,12,0.4733998951213471,0.47492702428605127,0.46540060348951656,0.4808532825270485,12,0,0
synthetic,family_shift,all,20,upcr,pooled_all_lofo,12,-0.0038513648155986033,-0.003930891809194481,-0.004138848310632914,-0.00353109184673645,0,12,0
real,real,all,20,upcr,hybrid_domain_uniform,24,-0.009666492116303474,-0.009573764032359156,-0.013581922967397157,-0.005963641743735275,3,21,0
real,real,QA,20,upcr,hybrid_domain_uniform,9,-0.011464559699095643,-0.009690542537416191,-0.016254565335975298,-0.007059345013572428,1,8,0
real,real,math,20,upcr,hybrid_domain_uniform,15,-0.008587651566628173,-0.009398782343987833,-0.01437188728482425,-0.0035600109953721057,2,13,0
synthetic,upcr_sufficient,all,20,upcr,hybrid_domain_uniform,12,-0.0021931785442237763,-0.0022466340964163445,-0.002417089416781827,-0.0019879177176103198,0,12,0
synthetic,shared_correction,all,20,upcr,hybrid_domain_uniform,12,0.4744719601319334,0.4757665646126352,0.46638463937863683,0.48220838561587603,12,0,0
synthetic,family_shift,all,20,upcr,hybrid_domain_uniform,12,-0.0024925371536909102,-0.0024996844623366155,-0.0027892334351541895,-0.002187233734098506,0,12,0
