source,world,group,budget,reference,candidate,n_units,mean_delta,median_delta,ci95_low,ci95_high,wins,losses,catastrophic_losses_5pp
synthetic,shared_correction,all,5,upcr,pooled_all_lofo,12,0.4733998951213471,0.47492702428605127,0.46560345902805983,0.4808658079662138,12,0,0
synthetic,family_shift,all,5,upcr,pooled_all_lofo,12,-0.0038513648155986033,-0.003930891809194481,-0.004139277619587325,-0.003525234425526526,0,12,0
real,real,all,5,upcr,hybrid_domain_uniform,24,-0.012802294632002983,-0.012094097859516428,-0.017594388669207185,-0.008335580920511215,1,23,0
real,real,QA,5,upcr,hybrid_domain_uniform,9,-0.014444107125421102,-0.012685763070714007,-0.020774726519506653,-0.00849222046872814,0,9,0
real,real,math,5,upcr,hybrid_domain_uniform,15,-0.011817207135952112,-0.01150243264831885,-0.018479151174733414,-0.0057426653336929995,1,14,0
synthetic,upcr_sufficient,all,5,upcr,hybrid_domain_uniform,12,-0.003330359970368957,-0.0032300132242712998,-0.0036150033674529534,-0.0030587809167863422,0,12,0
synthetic,shared_correction,all,5,upcr,hybrid_domain_uniform,12,0.4733378768551821,0.4747133966069016,0.4655455789814939,0.4807199993345637,12,0,0
synthetic,family_shift,all,5,upcr,hybrid_domain_uniform,12,-0.0037686704497300327,-0.003762054522887026,-0.00407358652500877,-0.003493680815689865,0,12,0
real,real,all,5,upcr,hybrid_domain_active,24,-0.00601768964546238,-0.005975807282386003,-0.009389469370216617,-0.002914677614917431,5,19,0
real,real,QA,5,upcr,hybrid_domain_active,9,-0.008252295662545891,-0.006826645648351892,-0.014228695920779688,-0.003993047086572561,0,9,0
real,real,math,5,upcr,hybrid_domain_active,15,-0.004676926035212274,-0.004698910675381307,-0.008774332044216277,-0.000653258409252418,5,10,0
synthetic,upcr_sufficient,all,5,upcr,hybrid_domain_active,12,-0.000550784990581088,-0.00043526145871025657,-0.0007570192118947788,-0.00036796216350306937,0,12,0
synthetic,shared_correction,all,5,upcr,hybrid_domain_active,12,0.47562814966689065,0.47741943135472104,0.46729868742879027,0.4835977262224587,12,0,0
synthetic,family_shift,all,5,upcr,hybrid_domain_active,12,-0.0007032760389182787,-0.0005965051991888015,-0.000948594370853701,-0.00047516446609927846,0,12,0
real,real,all,5,local_uniform2,local_active2,24,-0.00221784723242191,-0.0013367637268130728,-0.004146204511332354,-0.00046112268512466946,7,17,0
real,real,QA,5,local_uniform2,local_active2,9,-0.0011988119267960506,-0.0010494147494666262,-0.004071510694936112,0.0012500307256828665,3,6,0
real,real,math,5,local_uniform2,local_active2,15,-0.002829268415797426,-0.00235978112175117,-0.005307369800918493,-0.0004418704511286963,4,11,0
synthetic,upcr_sufficient,all,5,local_uniform2,local_active2,12,-0.0011659600929322482,-0.001244421087767844,-0.001691270663122894,-0.0006275669363153871,3,9,0
synthetic,shared_correction,all,5,local_uniform2,local_active2,12,0.08801660061884042,0.0861062908922704,0.07829878230997492,0.10017697699499499,12,0,0
synthetic,family_shift,all,5,local_uniform2,local_active2,12,-0.0018518488834742275,-0.0015956148434700945,-0.0022800612037408977,-0.0014482799109774259,0,12,0
real,real,all,5,local_uniform2,hybrid_domain_uniform,24,-0.013016232985477211,-0.011669007717608537,-0.017781998591298157,-0.008705802096154739,1,23,0
real,real,QA,5,local_uniform2,hybrid_domain_uniform,9,-0.014062586646529991,-0.012173975060516762,-0.021245459210708056,-0.0076163967588585395,0,9,0
real,real,math,5,local_uniform2,hybrid_domain_uniform,15,-0.012388420788845545,-0.011164040374700313,-0.018834908209506545,-0.0070640122426004525,1,14,0
synthetic,upcr_sufficient,all,5,local_uniform2,hybrid_domain_uniform,12,-0.0029146600493646646,-0.0030787502931879374,-0.003218326210833648,-0.0025925002855704906,0,12,0
synthetic,shared_correction,all,5,local_uniform2,hybrid_domain_uniform,12,0.40232486305401943,0.4081016106913871,0.3898960044946399,0.4143570613956757,12,0,0
