source,world,unit,group,family,repetition,n_train,n_test,n_features,upcr_n_kept,n_domain_donors,n_domain_donor_labels,n_all_donors,n_all_donor_labels,domain_shared_upcr_coefficient,domain_shared_residual_norm,budget,method,auc,delta_vs_upcr,n_target_labels,n_donor_labels_used,selected_positive_rate,selected_both_classes,converged,head_coefficient_upcr,head_coefficient_correction,prior_coefficient_upcr,prior_coefficient_correction
real,real,ars_gsm8k_r1distill8b,math,gsm8k,0,300,200,26,17,5,100,14,280,1.2339476193265708,0.2555886088304087,0,upcr,0.7330035514967022,0.0,0,0,nan,0,1,nan,nan,nan,nan
real,real,ars_gsm8k_r1distill8b,math,gsm8k,0,300,200,26,17,5,100,14,280,1.2339476193265708,0.2555886088304087,0,pooled_domain_lofo,0.7360476915271436,0.0030441400304414,0,100,nan,0,1,nan,nan,nan,nan
real,real,ars_gsm8k_r1distill8b,math,gsm8k,0,300,200,26,17,5,100,14,280,1.2339476193265708,0.2555886088304087,0,pooled_all_lofo,0.7322425164890919,-0.0007610350076102668,0,280,nan,0,1,nan,nan,nan,nan
real,real,ars_gsm8k_r1distill8b,math,gsm8k,0,300,200,26,17,5,100,14,280,1.2339476193265708,0.2555886088304087,0,local_controlled2,0.7330035514967022,0.0,0,0,nan,0,1,1.0,0.0,1.0,0.0
real,real,ars_gsm8k_r1distill8b,math,gsm8k,0,300,200,26,17,5,100,14,280,1.2339476193265708,0.2555886088304087,0,local_uniform2,0.7330035514967022,0.0,0,0,nan,0,1,1.0,0.0,1.0,0.0
real,real,ars_gsm8k_r1distill8b,math,gsm8k,0,300,200,26,17,5,100,14,280,1.2339476193265708,0.2555886088304087,0,local_active2,0.7330035514967022,0.0,0,0,nan,0,1,1.0,0.0,1.0,0.0
real,real,ars_gsm8k_r1distill8b,math,gsm8k,0,300,200,26,17,5,100,14,280,1.2339476193265708,0.2555886088304087,0,hybrid_domain_uniform,0.7360476915271436,0.0030441400304414,0,100,nan,0,1,1.2339476193265708,0.36418806850787183,1.2339476193265708,0.36418806850787183
real,real,ars_gsm8k_r1distill8b,math,gsm8k,0,300,200,26,17,5,100,14,280,1.2339476193265708,0.2555886088304087,0,hybrid_domain_active,0.7360476915271436,0.0030441400304414,0,100,nan,0,1,1.2339476193265708,0.36418806850787183,1.2339476193265708,0.36418806850787183
real,real,ars_gsm8k_r1distill8b,math,gsm8k,0,300,200,26,17,5,100,14,280,1.2339476193265708,0.2555886088304087,5,upcr,0.7330035514967022,0.0,0,0,nan,0,1,nan,nan,nan,nan
real,real,ars_gsm8k_r1distill8b,math,gsm8k,0,300,200,26,17,5,100,14,280,1.2339476193265708,0.2555886088304087,5,pooled_domain_lofo,0.7360476915271436,0.0030441400304414,0,100,nan,0,1,nan,nan,nan,nan
real,real,ars_gsm8k_r1distill8b,math,gsm8k,0,300,200,26,17,5,100,14,280,1.2339476193265708,0.2555886088304087,5,pooled_all_lofo,0.7322425164890919,-0.0007610350076102668,0,280,nan,0,1,nan,nan,nan,nan
real,real,ars_gsm8k_r1distill8b,math,gsm8k,0,300,200,26,17,5,100,14,280,1.2339476193265708,0.2555886088304087,5,local_controlled2,0.732623033992897,-0.0003805175038051889,5,0,0.8,1,1,0.9040701673306479,-0.0034706167983176005,1.0,0.0
real,real,ars_gsm8k_r1distill8b,math,gsm8k,0,300,200,26,17,5,100,14,280,1.2339476193265708,0.2555886088304087,5,local_uniform2,0.732623033992897,-0.0003805175038051889,5,0,1.0,0,1,0.9867427245626191,0.0022393862644870858,1.0,0.0
real,real,ars_gsm8k_r1distill8b,math,gsm8k,0,300,200,26,17,5,100,14,280,1.2339476193265708,0.2555886088304087,5,local_active2,0.7279299847792998,-0.0050735667174023336,5,0,0.4,1,1,0.9808780189660906,-0.3761102020110988,1.0,0.0
real,real,ars_gsm8k_r1distill8b,math,gsm8k,0,300,200,26,17,5,100,14,280,1.2339476193265708,0.2555886088304087,5,hybrid_domain_uniform,0.7361745306950785,0.003170979198376389,5,100,1.0,0,1,1.2129259646001276,0.35353332955117883,1.2339476193265708,0.36418806850787183
real,real,ars_gsm8k_r1distill8b,math,gsm8k,0,300,200,26,17,5,100,14,280,1.2339476193265708,0.2555886088304087,5,hybrid_domain_active,0.7354134956874682,0.0024099441907660113,5,100,0.8,1,1,1.3262906824158958,0.16389946133104616,1.2339476193265708,0.36418806850787183
real,real,ars_gsm8k_r1distill8b,math,gsm8k,0,300,200,26,17,5,100,14,280,1.2339476193265708,0.2555886088304087,10,upcr,0.7330035514967022,0.0,0,0,nan,0,1,nan,nan,nan,nan
real,real,ars_gsm8k_r1distill8b,math,gsm8k,0,300,200,26,17,5,100,14,280,1.2339476193265708,0.2555886088304087,10,pooled_domain_lofo,0.7360476915271436,0.0030441400304414,0,100,nan,0,1,nan,nan,nan,nan
real,real,ars_gsm8k_r1distill8b,math,gsm8k,0,300,200,26,17,5,100,14,280,1.2339476193265708,0.2555886088304087,10,pooled_all_lofo,0.7322425164890919,-0.0007610350076102668,0,280,nan,0,1,nan,nan,nan,nan
real,real,ars_gsm8k_r1distill8b,math,gsm8k,0,300,200,26,17,5,100,14,280,1.2339476193265708,0.2555886088304087,10,local_controlled2,0.7276763064434297,-0.0053272450532724225,10,0,0.7,1,1,0.9133918793726212,-0.35938762322450934,1.0,0.0
real,real,ars_gsm8k_r1distill8b,math,gsm8k,0,300,200,26,17,5,100,14,280,1.2339476193265708,0.2555886088304087,10,local_uniform2,0.730466768138001,-0.0025367833587011113,10,0,0.9,1,1,1.04159368864404,0.13990693588530365,1.0,0.0
real,real,ars_gsm8k_r1distill8b,math,gsm8k,0,300,200,26,17,5,100,14,280,1.2339476193265708,0.2555886088304087,10,local_active2,0.7276763064434297,-0.0053272450532724225,10,0,0.6,1,1,0.9574277048862642,-0.3999669697568211,1.0,0.0
real,real,ars_gsm8k_r1distill8b,math,gsm8k,0,300,200,26,17,5,100,14,280,1.2339476193265708,0.2555886088304087,10,hybrid_domain_uniform,0.7331303906646371,0.00012683916793498895,10,100,0.9,1,1,1.2466616384528872,0.4376777491915882,1.2339476193265708,0.36418806850787183
