source,world,panel,budget,method,n_units,mean_auc,ci95_low,ci95_high
real,real,all,0,upcr,24,0.7734119223574529,0.7414814335298286,0.8045667699769241
real,real,all,0,local_controlled2,24,0.7734119223574529,0.7418002598307945,0.804593506395801
real,real,all,0,local_uniform2,24,0.7734119223574529,0.7409646925384987,0.8048774594516551
real,real,all,0,local_active2,24,0.7734119223574529,0.740834945768344,0.8047406240261381
real,real,all,0,pooled_domain_lofo,24,0.759038594436814,0.7288011290501355,0.7884010852302393
real,real,all,0,pooled_all_lofo,24,0.7638597602063989,0.7332524400440804,0.7951392096516002
real,real,all,0,hybrid_domain_uniform,24,0.759038594436814,0.7288547015224195,0.788315114860355
real,real,all,0,hybrid_domain_active,24,0.759038594436814,0.7296313466643897,0.7883985304152442
real,real,all,5,upcr,24,0.7734119223574529,0.7409348299489583,0.804732212779499
real,real,all,5,local_controlled2,24,0.773349999485911,0.7408738965549635,0.8048066465735375
real,real,all,5,local_uniform2,24,0.7736258607109271,0.741391593101537,0.804897729516286
real,real,all,5,local_active2,24,0.7714080134785052,0.7392208219627164,0.803308762760632
real,real,all,5,pooled_domain_lofo,24,0.759038594436814,0.7297965130288367,0.7878342014378508
real,real,all,5,pooled_all_lofo,24,0.7638597602063989,0.732340985081092,0.79434369156
real,real,all,5,hybrid_domain_uniform,24,0.7606096277254499,0.7301450148400164,0.789662389449074
real,real,all,5,hybrid_domain_active,24,0.7673942327119905,0.7360661267108999,0.7968333249996405
real,real,all,10,upcr,24,0.7734119223574529,0.7413739437416743,0.8048696534733146
real,real,all,10,local_controlled2,24,0.7729367833509716,0.7413678187801374,0.8047965897028544
real,real,all,10,local_uniform2,24,0.773296495055234,0.7418903325931828,0.8046333461471271
real,real,all,10,local_active2,24,0.770917885596376,0.7392908459299112,0.8029209650139844
real,real,all,10,pooled_domain_lofo,24,0.759038594436814,0.7294423256776633,0.7879734618480669
real,real,all,10,pooled_all_lofo,24,0.7638597602063989,0.7325065259039257,0.7940697723206088
real,real,all,10,hybrid_domain_uniform,24,0.7617939560705219,0.7314007235915491,0.7914691028343098
real,real,all,10,hybrid_domain_active,24,0.7696945323518722,0.7386434413818904,0.8000247881013539
real,real,all,20,upcr,24,0.7734119223574529,0.7416586097189095,0.8043964482581571
real,real,all,20,local_controlled2,24,0.7718826509133706,0.7389599828232262,0.8033931839651969
real,real,all,20,local_uniform2,24,0.772929065584847,0.7408875725386048,0.804916544619845
real,real,all,20,local_active2,24,0.7716305025478624,0.7393983205440484,0.8042227791272963
real,real,all,20,pooled_domain_lofo,24,0.759038594436814,0.7298218677744841,0.7884826078647822
real,real,all,20,pooled_all_lofo,24,0.7638597602063989,0.7325493536679194,0.794879421739262
real,real,all,20,hybrid_domain_uniform,24,0.7637454302411495,0.7333927687160945,0.7934173855952656
real,real,all,20,hybrid_domain_active,24,0.7715389370900603,0.7405272828668953,0.8014411182299843
real,real,all,40,upcr,24,0.7734119223574529,0.7414313008597461,0.8046183300173739
real,real,all,40,local_controlled2,24,0.7726640476146752,0.7396511946892129,0.8044139470688523
real,real,all,40,local_uniform2,24,0.7728877405315986,0.7409025086060264,0.8051380440626257
real,real,all,40,local_active2,24,0.7725578276965517,0.7409833298097879,0.80542826814414
real,real,all,40,pooled_domain_lofo,24,0.759038594436814,0.729797803771371,0.7895199841918246
real,real,all,40,pooled_all_lofo,24,0.7638597602063989,0.7333400195718427,0.7945129325822232
real,real,all,40,hybrid_domain_uniform,24,0.7664420820434626,0.7351904506965833,0.7963443533068485
real,real,all,40,hybrid_domain_active,24,0.7722873376771693,0.7404354858714595,0.8024704407701723
real,real,all,80,upcr,24,0.7734119223574529,0.7414510834693347,0.8050181151747687
real,real,all,80,local_controlled2,24,0.7731527494601534,0.7406114292970163,0.8050144546528772
real,real,all,80,local_uniform2,24,0.7730584847871155,0.740102308938246,0.8054839971693007
real,real,all,80,local_active2,24,0.7741048058836046,0.7427223880427317,0.8067045551002354
real,real,all,80,pooled_domain_lofo,24,0.759038594436814,0.7295361048405905,0.7872449125945229
real,real,all,80,pooled_all_lofo,24,0.7638597602063989,0.7322833577438101,0.7946135200516583
real,real,all,80,hybrid_domain_uniform,24,0.7691808649162272,0.7378931010306652,0.8004707566283891
real,real,all,80,hybrid_domain_active,24,0.7729455119723295,0.7414426970003171,0.8036184004941324
real,real,QA,0,upcr,9,0.7613350889063653,0.6953989034216097,0.8258147074731114
real,real,QA,0,local_controlled2,9,0.7613350889063653,0.6954320687112963,0.822973217266659
real,real,QA,0,local_uniform2,9,0.7613350889063653,0.6955930680387128,0.8253881243744291
real,real,QA,0,local_active2,9,0.7613350889063653,0.6961562386767424,0.8263489625414036
real,real,QA,0,pooled_domain_lofo,9,0.7440169254575335,0.6864701192738583,0.8007996873654815
real,real,QA,0,pooled_all_lofo,9,0.7517772793530676,0.6898146886559631,0.8141329291350998
real,real,QA,0,hybrid_domain_uniform,9,0.7440169254575335,0.685411897549305,0.800572458927543
real,real,QA,0,hybrid_domain_active,9,0.7440169254575335,0.6847811668245871,0.8015102504795033
real,real,QA,5,upcr,9,0.7613350889063653,0.6963212152713267,0.8253928377051516
real,real,QA,5,local_controlled2,9,0.7611403192068568,0.6957468164645026,0.824114626320925
real,real,QA,5,local_uniform2,9,0.7609535684274741,0.6945301808697766,0.8256980482119022
real,real,QA,5,local_active2,9,0.759754756500678,0.6952252212969061,0.823872711598178
real,real,QA,5,pooled_domain_lofo,9,0.7440169254575335,0.6857506451203165,0.8008544966036408
real,real,QA,5,pooled_all_lofo,9,0.7517772793530676,0.6896113641231871,0.812232329611513
real,real,QA,5,hybrid_domain_uniform,9,0.7468909817809442,0.6869846186265821,0.8052255930872901
real,real,QA,5,hybrid_domain_active,9,0.7530827932438194,0.6897223614072512,0.8095036069896546
real,real,QA,10,upcr,9,0.7613350889063653,0.6961489103874754,0.8254602254294713
real,real,QA,10,local_controlled2,9,0.7602871382053403,0.6940129182524815,0.8251311227639962
real,real,QA,10,local_uniform2,9,0.7609039744683991,0.69494281145677,0.8231663323457911
real,real,QA,10,local_active2,9,0.7598025549501983,0.6958894457450544,0.8228218650345434
real,real,QA,10,pooled_domain_lofo,9,0.7440169254575335,0.6834303299405631,0.8004031441789367
real,real,QA,10,pooled_all_lofo,9,0.7517772793530676,0.6891499496523781,0.8129847875781897
real,real,QA,10,hybrid_domain_uniform,9,0.7475359153686552,0.6879817542661519,0.8063344203349424
real,real,QA,10,hybrid_domain_active,9,0.7550212131318647,0.6920117449304432,0.8133177024655347
real,real,QA,20,upcr,9,0.7613350889063653,0.6950429974863722,0.82559531960739
real,real,QA,20,local_controlled2,9,0.7594185701622425,0.6928841023504602,0.8246053107729341
real,real,QA,20,local_uniform2,9,0.7600321606378574,0.6935456960348232,0.8242091604536349
real,real,QA,20,local_active2,9,0.758882859590083,0.6945324928481073,0.8214492336385881
real,real,QA,20,pooled_domain_lofo,9,0.7440169254575335,0.684257941760652,0.8004669076687605
real,real,QA,20,pooled_all_lofo,9,0.7517772793530676,0.6888172622557062,0.812813377982624
real,real,QA,20,hybrid_domain_uniform,9,0.7498705292072695,0.6893592072547396,0.8098058308900616
real,real,QA,20,hybrid_domain_active,9,0.7581883040456892,0.6936808925321805,0.8184577225023023
real,real,QA,40,upcr,9,0.7613350889063653,0.6963213574783699,0.825408524368622
real,real,QA,40,local_controlled2,9,0.7601478438350561,0.6945734884902626,0.8250728463035343
real,real,QA,40,local_uniform2,9,0.7602687301480106,0.6930256649809827,0.8229956439374565
real,real,QA,40,local_active2,9,0.7589339538203368,0.6943411447952544,0.8202404375531519
real,real,QA,40,pooled_domain_lofo,9,0.7440169254575335,0.6844472252678423,0.8020535586069306
real,real,QA,40,pooled_all_lofo,9,0.7517772793530676,0.6885866601389736,0.8124797950853498
real,real,QA,40,hybrid_domain_uniform,9,0.7531166973622172,0.6907085658450007,0.8141020053986154
real,real,QA,40,hybrid_domain_active,9,0.759545641522575,0.6939713932746755,0.8204613826339114
real,real,QA,80,upcr,9,0.7613350889063653,0.6952673202172411,0.8255954993483251
