outcome,n_rows,n_selected,n_abstained,mean_selected_step_length,median_selected_step_length,q90_selected_step_length
all,6800,4791,2009,80.81778334376956,71.0,156.0
error,4442,3712,730,84.10237068965517,74.0,159.0
clean,2358,1079,1279,69.51807228915662,58.0,135.0
