metric_id,source_metric_id,delta,ci_low,ci_high,cell_wins,cell_ties,cell_losses,worst_cell_delta,worst_cell_id,family_wins,family_ties,family_losses,worst_family_delta,worst_family_id,bootstrap_draws,interval
macro_f1,official_macro_f1,-0.07207047896041885,-0.08939983064582564,-0.05470261568210788,0,0,8,-0.09884542817835773,processbench_gsm8k_qwen3_8b,0,0,4,-0.0869622178885095,math,20000,unadjusted paired percentile; integration recomputes simultaneous primary interval across all opened reducers
first_error_exact,first_error_exact,-0.07514858953719705,-0.09384727489580041,-0.05636562172427741,0,0,8,-0.12560386473429952,processbench_gsm8k_qwen3_8b,0,0,4,-0.10869565217391305,gsm8k,20000,unadjusted paired percentile; integration recomputes simultaneous primary interval across all opened reducers
first_error_within_one,first_error_within_one,-0.05010252938293458,-0.07057214573277983,-0.03001802090982172,0,0,8,-0.09595959595959597,processbench_math_qwen3_8b,0,0,4,-0.08417508417508418,math,20000,unadjusted paired percentile; integration recomputes simultaneous primary interval across all opened reducers
clean_abstention_accuracy,clean_abstention_accuracy,0.0006039548990113275,-0.010528173321108353,0.011722121859102305,3,2,3,-0.020725388601036288,processbench_gsm8k_qwen3_4b,2,0,2,-0.018134715025906745,gsm8k,20000,unadjusted paired percentile; integration recomputes simultaneous primary interval across all opened reducers
overall_decision_accuracy,overall_decision_accuracy,-0.04612499999999997,-0.05806249999999996,-0.034062499999999996,0,0,8,-0.07250000000000001,processbench_gsm8k_qwen3_8b,0,0,4,-0.065,gsm8k,20000,unadjusted paired percentile; integration recomputes simultaneous primary interval across all opened reducers
