phase,world,repetition,auc_su_pcr,sparse_fraction,bootstrap_success,auc_sdsf_cond100,delta_sdsf_cond100,auc_sdsf_cond50,delta_sdsf_cond50,auc_sdsf_cond20,delta_sdsf_cond20,auc_diag25_cond50,delta_diag25_cond50,tail_kappa_diag25_cond50,auc_diag50_cond50,delta_diag50_cond50,tail_kappa_diag50_cond50,auc_rho_boot_tau0.5,delta_rho_boot_tau0.5,tail_kappa_rho_boot_tau0.5,auc_rho_boot_tau1,delta_rho_boot_tau1,tail_kappa_rho_boot_tau1,auc_rho_boot_tau2,delta_rho_boot_tau2,tail_kappa_rho_boot_tau2,auc_joint_tau1_diag25,delta_joint_tau1_diag25,tail_kappa_joint_tau1_diag25,auc_blend_half_joint_su,delta_blend_half_joint_su
development,clean_gaussian,0,0.6471917889756764,0.0,1.0,0.6471889088577067,-2.880117969672469e-06,0.6471889088577067,-2.880117969672469e-06,0.6471889088577067,-2.880117969672469e-06,0.647186348752845,-5.440222831443187e-06,0.9999999999999996,0.6471765883530589,-1.5200622617506099e-05,0.9999999999999996,0.6471876288052758,-4.160170400613339e-06,0.26331134733175965,0.647202189401678,1.0400426001533347e-05,0.10267381744487118,0.6472058695524169,1.4080576740460593e-05,0.03052456910108248,0.6472025094147855,1.0720439109102031e-05,0.10267381744487403,0.6471919489822303,1.6000655389536433e-07
development,clean_gaussian,1,0.6744557248649752,0.0,1.0,0.6744571648732697,1.4400082944954207e-06,0.6744571648732697,1.4400082944954207e-06,0.6744571648732697,1.4400082944954207e-06,0.6744552448622103,-4.800027648688143e-07,0.9999999999999994,0.6744574848751129,1.7600101377412969e-06,0.9999999999999994,0.6744514048400919,-4.320024883264217e-06,0.1997002814942799,0.6744531648502297,-2.5600147455229205e-06,0.07664432580657683,0.6744507648364055,-4.9600285696449475e-06,0.02273122264719667,0.6744526848474648,-3.040017510391735e-06,0.0766443258065742,0.6744526848474647,-3.040017510502757e-06
development,clean_gaussian,2,0.6744246176984707,0.0,1.0,0.6744263777055108,1.7600070401080359e-06,0.6744263777055108,1.7600070401080359e-06,0.6744263777055108,1.7600070401080359e-06,0.6744228576914307,-1.7600070399970136e-06,0.9999999999999992,0.6744236576946308,-9.600038399781852e-07,0.9999999999999992,0.6744268577074308,2.2400089600971285e-06,0.251335093225763,0.6744255777023109,9.600038402002298e-07,0.09033183091963431,0.6744215776863107,-3.0400121600049346e-06,0.02565971412455105,0.6744244576978309,-1.6000063984833446e-07,0.09033183091963559,0.6744226976907908,-1.9200076799563703e-06
development,clean_gaussian,3,0.6793521496343942,0.0,1.0,0.6793734299748797,2.128034048554106e-05,0.6793734299748797,2.128034048554106e-05,0.6793734299748797,2.128034048554106e-05,0.6793625498007968,1.0400166402635413e-05,1.0,0.6793564697035153,4.320069121099834e-06,1.0,0.6793489495831934,-3.2000512008023563e-06,0.2087173178406403,0.6793446295140722,-7.520120322013213e-06,0.08070676107516879,0.6793463895422327,-5.760092161466446e-06,0.024690741455420617,0.6793423894782316,-9.760156162608169e-06,0.08070676107517259,0.6793391894270308,-1.2960207363410525e-05
development,clean_gaussian,4,0.6720474701103809,0.0,1.0,0.67199675007792,-5.072003246087142e-05,0.67199675007792,-5.072003246087142e-05,0.67199675007792,-5.072003246087142e-05,0.6720124300879552,-3.5040022425714135e-05,0.9999999999999999,0.6720127500881601,-3.4720022220824376e-05,0.9999999999999999,0.6720345101020865,-1.2960008294427006e-05,0.15583122598297475,0.6720338701016768,-1.3600008704095501e-05,0.05713792969859047,0.6720322701006528,-1.5200009728100206e-05,0.016536045258876513,0.6720309900998337,-1.648001054721515e-05,0.05713792969859169,0.6720345101020864,-1.2960008294538028e-05
development,clean_gaussian,5,0.6767005309720349,0.0,1.0,0.6766838855789276,-1.6645393107306283e-05,0.6766838855789276,-1.6645393107306283e-05,0.6766838855789276,-1.6645393107306283e-05,0.6766970098311853,-3.5211408495605667e-06,1.0,0.6767171763651423,1.6645393107417306e-05,1.0,0.6766982902460397,-2.240725995195092e-06,0.46246862047269083,0.6767035719573141,3.0409852792567804e-06,0.2145541974891115,0.6767038920610278,3.3610889929036603e-06,0.07089226851646048,0.6767181366762831,1.7605704248246923e-05,0.21455419748915164,0.6767072531500207,6.7221779858073205e-06
development,clean_gaussian,6,0.6529672810915391,0.0,1.0,0.6530159213717073,4.864028016815514e-05,0.6530159213717073,4.864028016815514e-05,0.6530159213717073,4.864028016815514e-05,0.6530112813449805,4.4000253441423e-05,0.9999999999999952,0.65301720137908,4.99202875409166e-05,0.9999999999999952,0.652976241143149,8.960051609885333e-06,0.16127721465183037,0.6529775211505219,1.0240058982757816e-05,0.06443458459555503,0.652980721168954,1.3440077414883511e-05,0.019839956727596073,0.6529775211505219,1.0240058982757816e-05,0.06443458459555623,0.6529741611311681,6.8800396290091825e-06
development,clean_gaussian,7,0.6684189024475133,0.0,1.0,0.6684176222752534,-1.2801722599764531e-06,0.6684176222752534,-1.2801722599764531e-06,0.6684176222752534,-1.2801722599764531e-06,0.6684142618230708,-4.640624442497909e-06,0.9999999999999999,0.668409781220161,-9.121227352304473e-06,0.9999999999999999,0.6684017801435361,-1.7122303977212816e-05,0.2744197503196895,0.668411061392421,-7.84105509232802e-06,0.11583641263682147,0.6684198625767083,9.601291949268287e-07,0.035653190048683274,0.6684173022321883,-1.6002153250260776e-06,0.11583641263681814,0.6684166621460583,-2.240301455014304e-06
development,clean_gaussian,8,0.6731392046841631,0.0,1.0,0.673133601771545,-5.602912618085654e-06,0.673133601771545,-5.602912618085654e-06,0.673133601771545,-5.602912618085654e-06,0.6731345622708509,-4.642413312216931e-06,1.0,0.6731300799407565,-9.124743406641045e-06,1.0,0.6731368034358982,-2.4012482648938516e-06,0.36560102283133095,0.6731344021876332,-4.8024965298987254e-06,0.14098275218259793,0.6731380841016394,-1.1205825236615397e-06,0.04152178488435826,0.6731393647673808,1.6008321768179457e-07,0.14098275218259954,0.6731387244345101,-4.802496530453837e-07
development,clean_gaussian,9,0.6572353977707551,0.0,1.0,0.6572533180030014,1.7920232246226853e-05,0.6572533180030014,1.7920232246226853e-05,0.6572533180030014,1.7920232246226853e-05,0.6572432378723627,7.840101607592409e-06,1.0,0.6572539580112957,1.8560240540588246e-05,1.0,0.6572493179511606,1.392018040546894e-05,0.33223493782926966,0.657262438121198,2.7040350442875116e-05,0.13097200289387467,0.6572625981232717,2.7200352516576487e-05,0.03887313272439286,0.6572558780361792,2.0480265424116517e-05,0.13097200289387642,0.6572441978848045,8.800114049356544e-06
