phase,candidate,utility,primary_mean,primary_ci_low,primary_ci_high,primary_p05,stress_mean,clean_mean,step,running_best,promoted
development,sdsf_cond100,0.007747437062566931,0.006984401005757525,0.005950056176856696,0.008061396861750288,0.0022154095091868053,0.0030521442272376242,5.293590371259945e-06,1,0.007747437062566931,True
development,sdsf_cond50,0.007747437062566931,0.006984401005757525,0.005960613332194763,0.008021924211650683,0.0022154095091868053,0.0030521442272376242,5.293590371259945e-06,2,0.007747437062566931,True
development,sdsf_cond20,0.007747437062566931,0.006984401005757525,0.005922626977021837,0.008075534937194777,0.0022154095091868053,0.0030521442272376242,5.293590371259945e-06,3,0.007747437062566931,False
development,diag25_cond50,0.007257454627742,0.006507283168008903,0.0057349747586850075,0.007326721464651313,0.0030494556494980174,0.0030006858389323896,3.133580014349121e-06,4,0.007747437062566931,False
development,diag50_cond50,0.006020558410314505,0.005394176868968879,0.004803209065162495,0.005984771759220355,0.002734732900647352,0.0025055261653825025,2.0400226605488125e-06,5,0.007747437062566931,False
development,rho_boot_tau0.5,0.008047760638119248,0.007177739790200314,0.006283338762030637,0.008118085936651316,0.00327464738338909,0.003486218006442184,-3.0673073832254705e-06,6,0.008047760638119248,True
development,rho_boot_tau1,0.007671651433928616,0.006885851262811231,0.006030849909250132,0.007752277492371006,0.0031848671994912925,0.003143975040235105,-3.8717788278241905e-07,7,0.008047760638119248,False
development,rho_boot_tau2,0.006424373013560883,0.005884851533090559,0.005114516335583216,0.00665133802980598,0.0025204898063292958,0.0021580859218812976,1.1198486911297618e-06,8,0.008047760638119248,False
development,joint_tau1_diag25,0.0065662879624958795,0.005921743946978102,0.0052200621744226275,0.006617708602691423,0.002808269683967163,0.002578176062071109,6.134744450677262e-07,9,0.008047760638119248,False
development,blend_half_joint_su,0.004369532787745116,0.003962021826668234,0.0035038060956030024,0.0044142259388097495,0.00195609570490074,0.001633243869805225,-1.6000127488480231e-06,10,0.008047760638119248,False
