gate_id,variant_id,metric_id,observed,threshold,direction,passed,unit,status,evidence_status,notes
P3TQ1_PARENT_ALIAS,P3T_Q1_POINT_QUERY,max_parent_alias_error,0.0,1e-12,le,true,fraction,PASS,DEVELOPMENT,Exact H2 parent alias before labels.
P3TQ1_ABSTENTION_ALIAS,P3T_Q1_POINT_QUERY,abstention_mismatches,0,0,eq,true,fraction,PASS,DEVELOPMENT,Every Q1 arm copies H0 clean/error authority.
P3TQ1_POINT_VS_PARENT,P3T_Q1_POINT_QUERY,macro_f1,-0.009506527766077855,0.003,ge,false,fraction,FAIL,DEVELOPMENT,Primary point estimate must clear practical benefit.
P3TQ1_CI_VS_PARENT,P3T_Q1_POINT_QUERY,macro_f1_ci_low,-0.019618110172464103,0.003,gt,false,fraction,FAIL,DEVELOPMENT,Primary Bonferroni lower bound must clear practical benefit.
P3TQ1_EXACT_VS_PARENT,P3T_Q1_POINT_QUERY,first_error_exact,-0.010644413615866655,-0.01,ge,false,fraction,FAIL,DEVELOPMENT,No material exact-error regression.
P3TQ1_WORST_CELL,P3T_Q1_POINT_QUERY,worst_cell_delta,-0.028437927017132547,-0.02,ge,false,fraction,FAIL,DEVELOPMENT,No material worst-cell regression.
P3TQ1_BEATS_QUERY_PERMUTATION,P3T_Q1_POINT_QUERY,macro_f1_ci_low,-0.000930818308790809,0.0,gt,false,fraction,FAIL,DEVELOPMENT,Family-role query mechanism requires separation from permutation.
P3TQ1_BEATS_NO_BOUNDARY,P3T_Q1_POINT_QUERY,macro_f1_ci_low,-0.003974127655628199,0.0,gt,false,fraction,FAIL,DEVELOPMENT,Boundary contribution requires separation from no-boundary control.
