phase_id,experiment_id,left_variant_id,right_variant_id,task_id,dataset_id,population_id,metric_id,delta,ci_low,ci_high,p_adjusted,wins,ties,losses,worst_unit_delta,comparison_group_id,status,evidence_status,source_artifact,source_sha256,source_row_selector,notes
CONTEXT,P0_BRIDGE,H_STAGE4_FINALIST,H_STAGE4_ENTROPY,processbench_first_error,processbench,historical_stage4_eight_cell_audit,macro_f1,0.004811475804772508,-0.02638710838275541,0.037503652325203835,,3,0,1,,historical_stage4_eight_cell_audit,CONTEXT_ONLY,CONTEXT_ONLY,results/local_online_comprehensive_v1/STAGE_4_INTERVALS.csv,53d156184490df98ea8c709489ebb00f244ebee2610945b42ecf4386925247e5,candidate=finalist_global_detector_local_locator;task=local,Method-specific historical delta is uncertain.
CONTEXT,P0_BRIDGE,H_GL_LIU,H_STAGE4_ENTROPY,processbench_first_error,processbench,historical_stage4_eight_cell_audit,macro_f1,-0.025017909368575703,-0.06686312612627116,0.015487015648453919,,1,0,3,,historical_stage4_eight_cell_audit,CONTEXT_ONLY,CONTEXT_ONLY,results/local_online_comprehensive_v1/STAGE_4_INTERVALS.csv,53d156184490df98ea8c709489ebb00f244ebee2610945b42ecf4386925247e5,candidate=gl_liu_v1_replay;task=local,Historical architecture context only.
CONTEXT,P0_BRIDGE,H_MINDGAP,H_STAGE4_ENTROPY,processbench_first_error,processbench,historical_stage4_eight_cell_audit,macro_f1,-0.09682386855786863,-0.13332767753959435,-0.058189768141994384,,0,0,4,,historical_stage4_eight_cell_audit,CONTEXT_ONLY,CONTEXT_ONLY,results/local_online_comprehensive_v1/STAGE_4_INTERVALS.csv,53d156184490df98ea8c709489ebb00f244ebee2610945b42ecf4386925247e5,candidate=mind_the_gap;task=local,Historical repository adaptation context only.
P0,P0_BRIDGE,P0_S1_FAMILY6_STEP_MAX,R2_HISTORICAL_FAMILY6_BRIDGE,processbench_first_error,processbench,historical_stage4_eight_cell_audit,macro_f1,-0.03615511855778009,-0.06666876234842496,-0.006984802202460412,,0,0,4,-0.09208456432490503,p0_s1_macro_f1_d12d651c,COMPLETE,RETROSPECTIVE,results/reasoning_localization_03662_v1/phase_0/p0_s1_reducer_bridge/P0_S1_CONTRASTS.csv,9fab134d6cc21f08c57996cfd5aeab157402dae181e41ca97a4de7917c134421,left_variant_id=P0_S1_FAMILY6_STEP_MAX;right_variant_id=R2_HISTORICAL_FAMILY6_BRIDGE;metric_id=macro_f1,20k paired source-question bootstrap; family W/T/L 0/0/4.
P0,P0_BRIDGE,P0_S1_FAMILY6_STEP_MAX,R2_HISTORICAL_FAMILY6_BRIDGE,processbench_first_error,processbench,historical_stage4_eight_cell_audit,exact_error,-0.04886162153449389,-0.08132301238037459,-0.016556735251304504,,0,0,4,-0.15000000000000002,p0_s1_exact_error_d12d651c,COMPLETE,RETROSPECTIVE,results/reasoning_localization_03662_v1/phase_0/p0_s1_reducer_bridge/P0_S1_CONTRASTS.csv,9fab134d6cc21f08c57996cfd5aeab157402dae181e41ca97a4de7917c134421,left_variant_id=P0_S1_FAMILY6_STEP_MAX;right_variant_id=R2_HISTORICAL_FAMILY6_BRIDGE;metric_id=exact_error,Exact-error localization fell under step max.
P0,P0_BRIDGE,P0_S1_FAMILY6_STEP_MAX,R2_HISTORICAL_FAMILY6_BRIDGE,processbench_first_error,processbench,historical_stage4_eight_cell_audit,clean_abstention,0.05180805805805805,0.027614535282538023,0.07775861615966252,,3,0,1,-0.05405405405405406,p0_s1_clean_abstention_d12d651c,COMPLETE,RETROSPECTIVE,results/reasoning_localization_03662_v1/phase_0/p0_s1_reducer_bridge/P0_S1_CONTRASTS.csv,9fab134d6cc21f08c57996cfd5aeab157402dae181e41ca97a4de7917c134421,left_variant_id=P0_S1_FAMILY6_STEP_MAX;right_variant_id=R2_HISTORICAL_FAMILY6_BRIDGE;metric_id=clean_abstention,Clean abstention increased but did not compensate for localization loss.
P0,P0_BRIDGE,P0_S1_FAMILY6_STEP_MAX,R2_HISTORICAL_FAMILY6_BRIDGE,processbench_first_error,processbench,historical_stage4_eight_cell_audit,within_one,-0.05475208646751201,-0.08438032339305286,-0.025843186908727615,,0,0,4,-0.099290780141844,p0_s1_within_one_d12d651c,COMPLETE,RETROSPECTIVE,results/reasoning_localization_03662_v1/phase_0/p0_s1_reducer_bridge/P0_S1_CONTRASTS.csv,9fab134d6cc21f08c57996cfd5aeab157402dae181e41ca97a4de7917c134421,left_variant_id=P0_S1_FAMILY6_STEP_MAX;right_variant_id=R2_HISTORICAL_FAMILY6_BRIDGE;metric_id=within_one,Within-one localization fell under step max.
P0,P0_BRIDGE,P0_S2A_FAMILY6_STEP_MAX_DUFS_DETECTOR,P0_S1_FAMILY6_STEP_MAX,processbench_first_error,processbench,historical_stage4_eight_cell_audit,macro_f1,-0.001482245850337259,-0.00871467835648367,0.00525866350827324,,1,1,2,-0.013490784822629609,p0_s2a_macro_f1_d12d651c,COMPLETE,RETROSPECTIVE,results/reasoning_localization_03662_v1/phase_0/p0_s2a_detector_bridge/P0_S2A_CONTRASTS.csv,f49aa46ed9e594496f4380d3cc8e87fb2e622bee8cdd06c4f5667889daee130a,left_variant_id=P0_S2A_FAMILY6_STEP_MAX_DUFS_DETECTOR;right_variant_id=P0_S1_FAMILY6_STEP_MAX;metric_id=macro_f1,20k paired source-question bootstrap; family W/T/L 1/1/2; no supported macro-F1 change.
P0,P0_BRIDGE,P0_S2A_FAMILY6_STEP_MAX_DUFS_DETECTOR,P0_S1_FAMILY6_STEP_MAX,processbench_first_error,processbench,historical_stage4_eight_cell_audit,exact_error,0.0032013396375098514,-0.0012565871537979023,0.008263692295577873,,2,2,0,0.0,p0_s2a_exact_error_d12d651c,COMPLETE,RETROSPECTIVE,results/reasoning_localization_03662_v1/phase_0/p0_s2a_detector_bridge/P0_S2A_CONTRASTS.csv,f49aa46ed9e594496f4380d3cc8e87fb2e622bee8cdd06c4f5667889daee130a,left_variant_id=P0_S2A_FAMILY6_STEP_MAX_DUFS_DETECTOR;right_variant_id=P0_S1_FAMILY6_STEP_MAX;metric_id=exact_error,Exact-error point estimate rose slightly but the paired interval crosses zero.
P0,P0_BRIDGE,P0_S2A_FAMILY6_STEP_MAX_DUFS_DETECTOR,P0_S1_FAMILY6_STEP_MAX,processbench_first_error,processbench,historical_stage4_eight_cell_audit,clean_abstention,-0.04244661327994661,-0.06541774191302986,-0.02171650406760252,,1,1,2,-0.15555555555555556,p0_s2a_clean_abstention_d12d651c,COMPLETE,RETROSPECTIVE,results/reasoning_localization_03662_v1/phase_0/p0_s2a_detector_bridge/P0_S2A_CONTRASTS.csv,f49aa46ed9e594496f4380d3cc8e87fb2e622bee8cdd06c4f5667889daee130a,left_variant_id=P0_S2A_FAMILY6_STEP_MAX_DUFS_DETECTOR;right_variant_id=P0_S1_FAMILY6_STEP_MAX;metric_id=clean_abstention,Clean abstention fell materially under the modern detector.
P0,P0_BRIDGE,P0_S2A_FAMILY6_STEP_MAX_DUFS_DETECTOR,P0_S1_FAMILY6_STEP_MAX,processbench_first_error,processbench,historical_stage4_eight_cell_audit,within_one,0.012837148076509777,0.005292749484365179,0.02127993059645836,,3,1,0,0.0,p0_s2a_within_one_d12d651c,COMPLETE,RETROSPECTIVE,results/reasoning_localization_03662_v1/phase_0/p0_s2a_detector_bridge/P0_S2A_CONTRASTS.csv,f49aa46ed9e594496f4380d3cc8e87fb2e622bee8cdd06c4f5667889daee130a,left_variant_id=P0_S2A_FAMILY6_STEP_MAX_DUFS_DETECTOR;right_variant_id=P0_S1_FAMILY6_STEP_MAX;metric_id=within_one,Within-one localization rose but did not offset the supported clean-abstention loss.
P0,P0_BRIDGE,P0_S2I_FAMILY6_TOP5_DUFS_DETECTOR,P0_S2A_FAMILY6_STEP_MAX_DUFS_DETECTOR,processbench_first_error,processbench,historical_stage4_eight_cell_audit,macro_f1,0.03468920934168793,0.006021442571549963,0.06502150221851657,,4,0,0,-0.016844126374585378,p0_s2i_adjacent_macro_f1_d12d651c,COMPLETE,RETROSPECTIVE,results/reasoning_localization_03662_v1/phase_0/p0_s2i_interaction_control/P0_S2I_FACTORIAL_EFFECTS.csv,5c49a915bd4a3563faf8faafbd271a9aba01d8fb6d3485aba93846c1510c518f,effect_id=P0_S2I_VS_S2A_ADJACENT_POOLING;metric_id=macro_f1,Adjacent one-factor edge: top-five minus step max under the unchanged DUFS-LIU detector.
