method,display_name,pb_all8,pb_q4,pb_q8,prm_within,prm_pooled,prmscore,coverage
entropy,Token Entropy,0.35444376642134146,0.3639529013997512,0.3449346314429317,0.7301113611124386,0.7026639408146143,0.625425539209566,1.0
v1_equal,Top-15 Probability Fusion - Equal Weights (v1),0.34821488824338054,0.3560186186302395,0.3404111578565216,0.7333043389546261,0.7013308901177252,0.6194640403356572,1.0
augmented_equal,Selected + Tail Probability Fusion - Equal Weights,0.34563115526545907,0.3532098000367166,0.3380525104942015,0.7339189140105462,0.7012937365443381,0.6206849523602403,1.0
v1_iu,Top-15 Probability Fusion - IU-PCR (v1),0.34751344661062716,0.35480047842290974,0.34022641479834453,0.7327298687988483,0.7032438654268682,0.6201777096869663,1.0
augmented_iu,Selected + Tail Probability Fusion - IU-PCR,0.3450209795170901,0.35310844730420426,0.33693351172997604,0.7327565475977551,0.7038074104714571,0.6205441220076804,1.0
v1_joint,Top-15 Probability Fusion - Joint Shrinkage (v1),0.34712197790504007,0.35523665567174856,0.3390073001383316,0.7323596009698841,0.7046448068373827,0.6214642517710183,1.0
augmented_joint_lw,Selected + Tail Probability Fusion - Joint Shrinkage,0.34594751080256436,0.35179137694066775,0.34010364466446097,0.7296819712011725,0.7031343788494787,0.6197550869626501,1.0
