outcome,n_rows,n_selected,n_abstained,mean_selected_step_length,median_selected_step_length,q90_selected_step_length
all,6800,4776,2024,88.48262144053601,77.0,165.0
error,4442,3718,724,91.64443249058634,81.0,168.0
clean,2358,1058,1300,77.37145557655954,66.0,150.30000000000007
