cell,n_splits,m,k,n_keep_deployed_halfA,auroc_deployed,auroc_greedy,auroc_truecorr_rebuilt,auroc_rho_rebuilt,auroc_random_rebuilt,auroc_truecorr_prune,overlap_truecorr_prune,auroc_rho_prune,overlap_rho_prune,auroc_random_prune,n_random_prune_failed,frac_inside_greedy,overlap_truecorr_rebuilt,overlap_truecorr_uniform_null,overlap_truecorr_conditional_null,frac_inside_truecorr,overlap_rho_rebuilt,overlap_rho_uniform_null,overlap_rho_conditional_null,frac_inside_rho
ars_gsm8k_r1distill8b,5,30.0,11.4,16.6,0.7273944340148285,0.781263424668899,0.6787422603475648,0.6987047141414139,0.7254648576517352,0.6731218672271717,0.3478787878787879,0.695126896610108,0.27636363636363637,0.7113472343793796,0.0,0.5424242424242424,0.36787878787878786,0.3808816666666667,0.3820675757575757,0.9800000000000001,0.2596969696969697,0.38000151515151515,0.3772069696969697,0.9833333333333332
epr_triviaqa_mistral24b,5,28.0,14.8,21.8,0.7248066116360725,0.720436425974734,0.7248360150557704,0.7255901569639903,0.7171034462396586,0.7250800453303551,0.6643609022556392,0.7255901569639903,0.5995488721804512,0.7213547778248319,0.0,0.9517543859649121,0.6748872180451129,0.5295144862155389,0.6306523558897243,0.9789473684210526,0.5995488721804512,0.5301168922305765,0.6431709147869673,1.0
internalstates_gsm8k_qwen25_7b,5,29.0,7.8,21.0,0.7097291380399277,0.7513393891858036,0.7246985915282403,0.6491339254019899,0.6964251231901575,0.7167976487491896,0.5817460317460318,0.6491339254019899,0.073015873015873,0.6957126814225052,0.0,0.7686507936507937,0.6880952380952381,0.2718579365079365,0.2790680555555555,0.8686507936507937,0.073015873015873,0.2710960317460317,0.28740952380952384,1.0
lapeigvals_gsm8k_llama3b,5,30.0,14.6,22.0,0.6905998613693145,0.7052819150948595,0.7035540597514667,0.7018801020739017,0.6818664554414273,0.7035540597514667,0.7302828054298642,0.7018801020739017,0.6893514328808447,0.6891890577864528,0.0,0.9715686274509805,0.7302828054298642,0.4874007051282051,0.6457400565610859,1.0,0.6893514328808447,0.48633939291101047,0.6452273491704373,1.0
lapeigvals_gsm8k_llama8b,5,29.0,14.2,22.4,0.81419494988486,0.8148361892707385,0.810893981957317,0.8120172255438742,0.8125242874756072,0.810893981957317,0.5197268907563025,0.8120172255438742,0.5447268907563025,0.8127087916977566,0.0,0.8821638655462186,0.5197268907563025,0.48956545168067234,0.5613013760504201,1.0,0.5447268907563025,0.4891138445378151,0.5606214075630251,1.0
lapeigvals_gsm8k_mistral24b,5,30.0,13.4,21.0,0.8536765081421077,0.8627113653565882,0.8602370397788366,0.850183605716313,0.842281728804428,0.8602370397788366,0.6406593406593406,0.850183605716313,0.5813186813186814,0.8468716232367323,0.0,0.8197802197802198,0.6406593406593406,0.44760219780219784,0.5247560439560439,1.0,0.5813186813186814,0.4468675824175824,0.5228170329670329,1.0
lapeigvals_gsm8k_nemo,5,29.0,11.6,20.6,0.799855688030962,0.8222193392008712,0.7849269272794283,0.7812594919890195,0.7895307127317638,0.7849269272794283,0.4100699300699301,0.7812594919890195,0.37006993006993005,0.7903049497377113,0.0,0.6742657342657343,0.4100699300699301,0.3995534965034965,0.37944713286713283,1.0,0.37006993006993005,0.3998509090909091,0.3797869230769231,1.0
lapeigvals_gsm8k_phi35,5,29.0,14.8,18.8,0.7978689222192112,0.7995482070722026,0.7848968107460594,0.7869391238277188,0.7893634824010936,0.7867583707903191,0.6368932538050185,0.7869391238277188,0.590826820238585,0.7952585902836037,0.0,0.7582373508844097,0.6251285479226656,0.5106801059234882,0.5977736733854381,0.9757352941176471,0.590826820238585,0.5097153948992184,0.6066622917523652,1.0
losnet_hotpotqa_mistral7b,5,29.0,9.6,22.0,0.5621505358986759,0.5650261205418546,0.5712786688251483,0.5611534304151451,0.5523677790978919,0.5677626542497585,0.5580392156862746,0.5611534304151451,0.28941176470588237,0.5540809636180339,0.0,0.8149019607843139,0.6529411764705881,0.33159607843137257,0.34893411764705884,0.7498039215686274,0.28941176470588237,0.3326423529411765,0.39371470588235297,1.0
math500_dsmath7b,5,30.0,14.0,23.4,0.786844680909791,0.7900295111712322,0.7908928755068817,0.7952357684365906,0.775807990432461,0.7845716734114861,0.5519005847953217,0.7952357684365906,0.39801169590643276,0.7760645556848178,0.0,0.7629239766081872,0.5624269005847953,0.46587066520467835,0.45662529239766086,0.9664473684210527,0.39801169590643276,0.4659540058479533,0.4571250365497076,1.0
