cell,n_splits,m,k,n_keep_deployed_halfA,auroc_deployed,auroc_greedy,auroc_truecorr_rebuilt,auroc_rho_rebuilt,auroc_random_rebuilt,auroc_truecorr_prune,overlap_truecorr_prune,auroc_rho_prune,overlap_rho_prune,auroc_random_prune,n_random_prune_failed,frac_inside_greedy,overlap_truecorr_rebuilt,overlap_truecorr_uniform_null,overlap_truecorr_conditional_null,frac_inside_truecorr,overlap_rho_rebuilt,overlap_rho_uniform_null,overlap_rho_conditional_null,frac_inside_rho
math500_qwenmath7b,5,28.0,10.6,11.8,0.9141235689674378,0.9059235251480962,0.9006385228861994,0.8744684812330833,0.8322484122529008,0.9030678745430321,0.6872222222222223,0.9060744367677435,0.7038888888888889,0.9041033926372057,0.0,0.7705555555555554,0.45499999999999996,0.37733972222222223,0.4155961111111111,0.38888888888888884,0.4666666666666667,0.3787277777777778,0.492418611111111,0.6194444444444444
math500_r1distill8b,5,28.0,8.2,22.6,0.8300648193404498,0.8330342889510778,0.830122572533778,0.8274798772745398,0.8067575662785611,0.82739352769947,0.6025,0.8274798772745398,0.2975,0.8141783998224449,0.0,0.9075,0.6025,0.29493874999999997,0.33520124999999995,0.9875,0.2975,0.29322875000000004,0.33982375000000004,1.0
math500_r1distill8b_mn4096,5,29.0,10.0,24.8,0.8458690365637693,0.8507853017415528,0.8560056159333003,0.8404975801943977,0.8156351362190429,0.8560056159333003,0.4520923520923521,0.8404975801943977,0.21247474747474748,0.8264254360188575,0.0,0.8454689754689755,0.4520923520923521,0.34356742063492063,0.3478585533910533,1.0,0.21247474747474748,0.34457641414141416,0.3447083585858586,1.0
noise_gsm8k_mistral7b,5,29.0,8.6,23.0,0.7947210996974018,0.8296048201577768,0.7453174950120094,0.7645069857037154,0.7722098758370735,0.7453174950120094,0.3722222222222222,0.7645069857037154,0.04444444444444444,0.7786890037161946,0.0,0.6305555555555555,0.3722222222222222,0.29682361111111105,0.23568333333333333,1.0,0.04444444444444444,0.2955972222222222,0.23542916666666666,1.0
noise_gsm8k_phi3mini,5,29.0,12.4,19.0,0.6874046920247986,0.6903845039671935,0.6742060919470829,0.6712291179111668,0.6715593124063916,0.6658708935908317,0.47413919413919414,0.6712291179111668,0.377032967032967,0.6799936351542893,0.0,0.6863003663003663,0.4884249084249085,0.4285334798534799,0.4526193223443224,0.9657142857142856,0.377032967032967,0.4275323260073261,0.45859529304029306,1.0
sciq_llama8b,5,30.0,18.0,23.4,0.724564387728049,0.725441189973296,0.7156623879507362,0.7150354815704854,0.7231548019356906,0.71467598998624,0.710496597224286,0.7150354815704854,0.6798147790424679,0.7226283751508233,0.0,0.9442805383022774,0.6817508197370898,0.5990922620285892,0.7034079318231349,0.9712542225128038,0.6798147790424679,0.5991037912221264,0.7247029660366329,1.0
se_nq_open_llama8b,5,27.0,10.4,22.0,0.7472260811919545,0.7573625023707173,0.7519224259044046,0.7500415454540497,0.7289341290770698,0.7519224259044046,0.5990675990675991,0.7500415454540497,0.5808857808857809,0.7399024449240519,0.0,0.9833333333333332,0.5990675990675991,0.38428633449883454,0.4645444638694639,1.0,0.5808857808857809,0.38618277972027976,0.46195495337995335,1.0
se_squad_v2_llama8b,5,27.0,11.0,23.0,0.8144431799593832,0.8431195420725184,0.7505662200350793,0.784623180978042,0.8028525914805014,0.7505662200350793,0.5808080808080808,0.784623180978042,0.35656565656565664,0.8027375209711156,0.0,0.9651515151515152,0.5808080808080808,0.40664999999999996,0.4608967171717171,1.0,0.35656565656565664,0.4073212121212121,0.46096742424242426,1.0
seiclr_triviaqa_opt30b,5,19.0,10.6,13.0,0.8142784015533622,0.840137784218725,0.8025401364249898,0.8185804739468786,0.8096980029392011,0.8025401364249898,0.7151515151515151,0.8185804739468786,0.692929292929293,0.8105159158416393,0.0,0.7555555555555555,0.7151515151515151,0.5556747474747474,0.6153545454545454,1.0,0.692929292929293,0.559480808080808,0.6153070707070707,1.0
semenergy_triviaqa_qwen3_8b,5,27.0,14.6,20.4,0.8162497041952941,0.8285149810881777,0.8095318264058646,0.8149574853743491,0.7830080186660968,0.8095318264058646,0.7915567765567766,0.8149574853743491,0.7657234432234432,0.8099345456044509,0.0,0.9321153846153847,0.7915567765567766,0.5405224771062271,0.6663982097069596,1.0,0.7657234432234432,0.5406765064102564,0.6672692948717949,1.0
spilled_triviaqa_llama8b,5,28.0,19.2,22.0,0.9086390168970814,0.9097315924219149,0.9023564260112646,0.9047499743983615,0.913650113671275,0.9081058883768561,0.7696251498310994,0.9047499743983615,0.7696251498310994,0.9096590701484895,0.0,0.9202517162471395,0.7004031818677128,0.6868419717772692,0.7288467581998475,0.8361937452326467,0.7696251498310994,0.6871047401111474,0.8115400158003705,0.9913043478260869
trace_gsm8k_llama8b_k10,5,29.0,10.4,21.2,0.8133078340737949,0.8220799255712665,0.804563689467605,0.8029231263119371,0.8016220582463081,0.804563689467605,0.3048018648018648,0.8029231263119371,0.2727505827505828,0.8065062078787568,0.0,0.6173193473193472,0.3048018648018648,0.35836993006993006,0.3011722144522145,1.0,0.2727505827505828,0.3595859207459208,0.30059278554778557,1.0
trace_math500_qwenmath15b_k10,5,30.0,5.6,23.4,0.677006922687465,0.7110281298368034,0.6922033551512268,0.666891044817642,0.6665996786767923,0.6922033551512268,0.3304761904761905,0.666891044817642,0.0,0.6695656221905709,0.0,0.6401587301587301,0.3304761904761905,0.18848674603174603,0.14462142857142857,1.0,0.0,0.18638261904761905,0.14341706349206348,1.0
truthfulqa_llama8b,5,29.0,6.2,22.0,0.6535679980534514,0.6860034890529304,0.6794572765593992,0.6163953060628895,0.6286463717123834,0.6794572765593992,0.5523809523809523,0.6163953060628895,0.09166666666666666,0.638161513818047,0.0,0.9714285714285713,0.5523809523809523,0.21215674603174603,0.2715501984126984,1.0,0.09166666666666666,0.21243591269841264,0.27036845238095236,1.0
