cell,rep,m,k,n_keep_deployed_halfA,auroc_deployed,auroc_greedy,auroc_truecorr_rebuilt,auroc_rho_rebuilt,auroc_random_rebuilt,auroc_truecorr_prune,truecorr_prune_cols,overlap_truecorr_prune,auroc_rho_prune,rho_prune_cols,overlap_rho_prune,auroc_random_prune,n_random_prune_failed,frac_inside_greedy,overlap_truecorr_rebuilt,overlap_truecorr_uniform_null,overlap_truecorr_conditional_null,frac_inside_truecorr,overlap_rho_rebuilt,overlap_rho_uniform_null,overlap_rho_conditional_null,frac_inside_rho
internalstates_gsm8k_qwen25_7b,0,29,9,21,0.6846476190476191,0.7241904761904763,0.7115428571428571,0.6592000000000001,0.6821638095238094,0.6838857142857143,epr|trace_length|hl_ratio|sw_var_peak|epr_spilled|cusum_max_spilled|epr_energy|logprob_margin|varentropy,0.5555555555555556,0.6592000000000001,spectral_centroid|sw_var_peak|cusum_max|epr_spilled|cusum_max_spilled|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass,0.1111111111111111,0.6762940952380952,0,0.7777777777777778,0.6666666666666666,0.31083333333333335,0.3255555555555556,0.8888888888888888,0.1111111111111111,0.3126666666666667,0.33305555555555555,1.0
internalstates_gsm8k_qwen25_7b,1,29,6,21,0.7001470588235295,0.7214705882352942,0.6441911764705882,0.6202205882352941,0.6854617647058824,0.6743382352941176,epr|sw_var_peak|epr_spilled|epr_energy|logprob_margin|varentropy,0.3333333333333333,0.6202205882352941,spectral_centroid|sw_var_peak|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass,0.0,0.6859088235294116,0,0.6666666666666666,0.5,0.21491666666666664,0.20266666666666663,0.8333333333333334,0.0,0.20983333333333332,0.19133333333333333,1.0
internalstates_gsm8k_qwen25_7b,2,29,8,21,0.7347954693023591,0.7790924175744895,0.7866676285982253,0.688117740422769,0.7143294134622323,0.7766394921001372,trace_length|sw_var_peak|cusum_max|cusum_max_spilled|epr_energy|min_energy|cusum_max_energy|logprob_margin,0.75,0.688117740422769,epr|sw_var_peak|epr_spilled|mean_top1_logprob|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass,0.0,0.7320337637977058,0,0.875,0.75,0.2755,0.3035625,0.875,0.0,0.27825,0.3355,1.0
internalstates_gsm8k_qwen25_7b,3,29,9,21,0.7160626535626534,0.7757217444717445,0.7299600737100737,0.6571713759213759,0.703654791154791,0.7401719901719902,low_band_power|sw_var_peak|cusum_max|cusum_max_spilled|epr_energy|cusum_max_energy|logprob_margin|varentropy|topk_tail_mass,0.5555555555555556,0.6571713759213759,epr|spectral_centroid|sw_var_peak|epr_spilled|mean_top1_logprob|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass,0.1111111111111111,0.6879821867321868,0,0.6666666666666666,0.6666666666666666,0.31561111111111106,0.3000555555555555,0.8888888888888888,0.1111111111111111,0.31094444444444447,0.29044444444444445,1.0
internalstates_gsm8k_qwen25_7b,4,29,7,21,0.7129928894634776,0.7562217194570136,0.7511312217194571,0.6209599224305107,0.6965158371040725,0.7089528118939884,trace_length|cusum_max|epr_energy|cusum_max_energy|logprob_margin|mean_logprob_entropy|varentropy,0.7142857142857143,0.6209599224305107,epr|spectral_centroid|sw_var_peak|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass,0.14285714285714285,0.6963445378151261,0,0.8571428571428571,0.8571428571428571,0.24242857142857138,0.26349999999999996,0.8571428571428571,0.14285714285714285,0.24378571428571422,0.28671428571428564,1.0
lapeigvals_gsm8k_llama3b,0,30,17,22,0.6888233918128656,0.7048514619883041,0.7042245614035088,0.6954666666666667,0.6791893333333333,0.7042245614035088,epr|trace_length|low_band_power|spectral_centroid|rpdi|sw_var_peak|cusum_max|epr_spilled|cusum_max_spilled|epr_energy|cusum_max_energy|mean_top1_logprob|logprob_margin|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass,0.8235294117647058,0.6954666666666667,epr|trace_length|low_band_power|spectral_centroid|sw_var_peak|cusum_max|epr_spilled|cusum_max_spilled|epr_energy|min_energy|cusum_max_energy|mean_top1_logprob|logprob_margin|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass,0.7647058823529411,0.6895584561403508,0,0.9411764705882353,0.8235294117647058,0.563,0.727764705882353,1.0,0.7647058823529411,0.5660588235294117,0.7267941176470588,1.0
lapeigvals_gsm8k_llama3b,1,30,13,22,0.6877170138888888,0.7039741847826086,0.6991904438405797,0.6994074577294687,0.6752196557971015,0.6991904438405797,epr|spectral_centroid|sw_var_peak|epr_spilled|sw_var_peak_spilled|epr_energy|cusum_max_energy|mean_top1_logprob|logprob_margin|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass,0.6153846153846154,0.6994074577294687,epr|spectral_centroid|sw_var_peak|cusum_max|epr_spilled|cusum_max_spilled|epr_energy|cusum_max_energy|mean_top1_logprob|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass,0.6153846153846154,0.6822863828502415,0,1.0,0.6153846153846154,0.4378076923076924,0.5899230769230769,1.0,0.6153846153846154,0.4331923076923077,0.5940384615384615,1.0
lapeigvals_gsm8k_llama3b,2,30,16,22,0.7002236719478099,0.7125815470643057,0.7110251630941287,0.711668219944082,0.6933543336439888,0.7110251630941287,epr|trace_length|spectral_centroid|sw_var_peak|cusum_max|epr_spilled|sw_var_peak_spilled|cusum_max_spilled|epr_energy|cusum_max_energy|mean_top1_logprob|logprob_margin|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass,0.8125,0.711668219944082,epr|low_band_power|spectral_centroid|sw_var_peak|cusum_max|epr_spilled|sw_var_peak_spilled|cusum_max_spilled|epr_energy|cusum_max_energy|mean_top1_logprob|logprob_margin|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass,0.75,0.6998896551724139,0,1.0,0.8125,0.5341875,0.7259375,1.0,0.75,0.5349375,0.7278125,1.0
lapeigvals_gsm8k_llama3b,3,30,15,22,0.6920626938228146,0.7061064081431192,0.7080155337635851,0.7080155337635851,0.6836759515361477,0.7080155337635851,epr|low_band_power|spectral_centroid|sw_var_peak|cusum_max|epr_spilled|cusum_max_spilled|epr_energy|cusum_max_energy|mean_top1_logprob|logprob_margin|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass,0.7333333333333333,0.7080155337635851,epr|low_band_power|spectral_centroid|sw_var_peak|cusum_max|epr_spilled|cusum_max_spilled|epr_energy|cusum_max_energy|mean_top1_logprob|logprob_margin|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass,0.7333333333333333,0.6910651058400618,0,1.0,0.7333333333333333,0.5013,0.6835333333333332,1.0,0.7333333333333333,0.4971333333333333,0.6786999999999999,1.0
lapeigvals_gsm8k_llama3b,4,30,12,22,0.6841725353741936,0.6988959734959606,0.6953145966555307,0.6948426322657066,0.6778930028965658,0.6953145966555307,epr|low_band_power|sw_var_peak|cusum_max|epr_spilled|epr_energy|mean_top1_logprob|logprob_margin|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass,0.6666666666666666,0.6948426322657066,epr|sw_var_peak|cusum_max|epr_spilled|cusum_max_spilled|epr_energy|cusum_max_energy|mean_top1_logprob|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass,0.5833333333333334,0.6831456889291961,0,0.9166666666666666,0.6666666666666666,0.4007083333333334,0.5015416666666667,1.0,0.5833333333333334,0.400375,0.49879166666666663,1.0
