table,comparison,a,b,primary,ci_level,pb_delta,pb_ci_lo,pb_ci_hi,prm_within_delta_common,prm_within_ci_lo,prm_within_ci_hi,common_prm_answers,prm_pooled_delta,prmscore_delta,gained,lost
bank,B2_sel__iu_minus_B2d_sel__iu,B2_sel__iu,B2d_sel__iu,True,0.975,-0.007985335151048878,-0.013145856266484205,-0.003039594351914071,-0.006611523508514565,-0.00891823591780759,-0.004349531381139063,6030,-0.001618845863479268,-0.0020573942580912608,26,60
bank,B2_sel__joint_minus_B2d_sel__joint,B2_sel__joint,B2d_sel__joint,False,0.95,-0.007797551914014544,-0.012863777965653194,-0.003037132752948961,-0.007869832861619188,-0.010018693027073042,-0.00577541022483053,6030,-0.00456075348660967,-0.002659587685206688,48,82
architecture,B2_sel__joint_minus_B2_sel__iu,B2_sel__joint,B2_sel__iu,False,0.95,0.004217394291922361,0.00048111399878482955,0.007854567747910098,0.0023030152213063875,0.0012838689250805756,0.003372056014522481,6030,0.0022607814528190495,0.0018775637510186627,52,31
architecture,B2d_sel__joint_minus_B2d_sel__iu,B2d_sel__joint,B2d_sel__iu,False,0.95,0.004029611054888027,-6.843479021266487e-06,0.008066564080425357,0.0035613245744110086,0.0022461419715193148,0.004879716531552054,6030,0.0052026890759494515,0.00247975717813409,67,46
reference,B2d_sel__joint_minus_entropy,B2d_sel__joint,entropy,False,0.95,-0.0029186313895763205,-0.010879287750129928,0.005033622775550464,0.0070308553440624165,0.0038206939804761595,0.01026566344778544,6030,0.0026316195749264137,-0.005269937482567766,127,145
reference,B2_sel__joint_minus_entropy,B2_sel__joint,entropy,False,0.95,-0.010716183303590865,-0.019443485704445835,-0.002138861824406319,-0.0008389775175567693,-0.004836238608003323,0.003141293028875268,6030,-0.0019291339116832562,-0.007929525167774454,126,178
reference,B2d_sel__joint_minus_B1_hist__raw,B2d_sel__joint,B1_hist__raw,False,0.95,-0.008084737872289194,-0.02002186856595324,0.003639132003088066,-0.0006440859450923301,-0.0050684456207695594,0.003727371319205445,6030,-0.004842222709640298,-0.005625626746862622,342,380
reference,B2_sel__joint_minus_B1_hist__raw,B2_sel__joint,B1_hist__raw,False,0.95,-0.015882289786303738,-0.028532662019801754,-0.003307309799266387,-0.008513918806711516,-0.013681416727615383,-0.0033580948796844744,6030,-0.009402976196249968,-0.00828521443206931,353,425
