outer_fold,selected,method,ridge,block_quantile,cv_mse
0,True,pca,1.0,1.0,0.04325533115319439
0,False,pca,10.0,1.0,0.04511326525581015
0,False,pca,0.1,1.0,0.045814900649675465
0,False,pca,0.01,1.0,0.05798613069561992
0,True,pca_full,0.01,1.0,0.045518579779467085
0,False,pca_full,0.1,1.0,0.045518579779467085
0,False,pca_full,1.0,1.0,0.045518579779467085
0,False,pca_full,10.0,1.0,0.045518579779467085
0,True,rjd,0.1,1.0,0.03671909962215594
0,False,rjd,1.0,1.0,0.039337871929878775
0,False,rjd,10.0,1.0,0.044548912544425605
0,False,rjd,0.01,1.0,0.04507515102222134
0,True,ajd,0.1,1.0,0.032729326430354665
0,False,ajd,1.0,1.0,0.03801623155873528
0,False,ajd,10.0,1.0,0.044374142119306355
0,False,ajd,0.01,1.0,0.046141145374561446
0,True,jbd,0.1,0.9,0.02835931007322483
0,False,jbd,0.1,0.95,0.030313921868638426
0,False,jbd,0.1,0.85,0.030913809618038628
0,False,jbd,0.1,1.0,0.032729326430354665
0,False,jbd,0.01,0.75,0.032825256639323966
0,False,jbd,0.1,0.75,0.03431845774530601
0,False,jbd,1.0,0.95,0.037079044958505156
0,False,jbd,1.0,0.9,0.037786852690244586
0,False,jbd,1.0,1.0,0.03801623155873528
0,False,jbd,1.0,0.85,0.03938233776311719
0,False,jbd,0.01,0.65,0.0404900715253519
0,False,jbd,0.01,0.5,0.04149712280811234
0,False,jbd,1.0,0.75,0.04160146374664092
0,False,jbd,0.1,0.65,0.04202109292249756
0,False,jbd,0.1,0.5,0.04269561892990649
0,False,jbd,0.01,0.9,0.043802089398171505
0,False,jbd,10.0,0.95,0.04424427023839187
0,False,jbd,10.0,1.0,0.044374142119306355
0,False,jbd,10.0,0.9,0.04439688428465647
0,False,jbd,1.0,0.65,0.044471425004165635
0,False,jbd,10.0,0.85,0.044652894953027156
0,False,jbd,1.0,0.5,0.04465899954824664
0,False,jbd,10.0,0.75,0.04498674958381571
0,False,jbd,10.0,0.65,0.04538446639339734
0,False,jbd,10.0,0.5,0.04540829062632421
0,False,jbd,0.01,1.0,0.046141145374561446
0,False,jbd,0.01,0.85,0.04657134174750078
0,False,jbd,0.01,0.95,0.052770455470962194
1,True,pca,1.0,1.0,0.03259602717717238
1,False,pca,0.1,1.0,0.03307278442154096
1,False,pca,10.0,1.0,0.03447889892725857
1,False,pca,0.01,1.0,0.03843042821491934
1,True,pca_full,0.01,1.0,0.03485828481308421
1,False,pca_full,0.1,1.0,0.03485828481308421
1,False,pca_full,1.0,1.0,0.03485828481308421
1,False,pca_full,10.0,1.0,0.03485828481308421
1,True,rjd,0.1,1.0,0.030100382236303205
1,False,rjd,1.0,1.0,0.03042043420476942
1,False,rjd,10.0,1.0,0.03414417095990929
1,False,rjd,0.01,1.0,0.038667128536834114
1,True,ajd,0.1,1.0,0.025451942472346722
1,False,ajd,1.0,1.0,0.029567501548199124
1,False,ajd,0.01,1.0,0.03318800064093659
1,False,ajd,10.0,1.0,0.03405284999224512
1,True,jbd,0.1,0.85,0.023330581445505996
1,False,jbd,0.1,0.9,0.02399356745126318
1,False,jbd,0.1,1.0,0.025451942472346722
1,False,jbd,0.1,0.95,0.025515976595100767
1,False,jbd,0.01,0.75,0.02654730359669964
1,False,jbd,0.1,0.75,0.02725145768041733
1,False,jbd,0.01,0.65,0.028051218382393304
1,False,jbd,1.0,0.95,0.02942837176841545
1,False,jbd,1.0,1.0,0.029567501548199124
1,False,jbd,1.0,0.9,0.029799459127133096
1,False,jbd,0.1,0.65,0.02988721070265547
1,False,jbd,1.0,0.85,0.030350432136346393
1,False,jbd,0.01,0.85,0.03069562100657164
1,False,jbd,0.01,0.5,0.03208294927112274
1,False,jbd,1.0,0.75,0.03221499555359698
1,False,jbd,0.1,0.5,0.03270012366939545
