method,mse,rmse,prediction_rows
pca,0.04313297020549438,0.20768478568613152,6256
pca_full,0.04566957171494616,0.21370440265690868,6256
rjd,0.03869580812534914,0.19671250119234704,6256
ajd,0.034320243836419094,0.18525723693399698,6256
jbd,0.030779418664413645,0.1754406414272749,6256
pca_matched,0.032398718915847516,0.17999644139773296,6256
factorial_jbd,0.036937698558116884,0.19219182750085104,6256
pooled_mean,0.04566957171494616,0.21370440265690868,6256
