outer_fold,selected,scope,method,ridge,block_quantile,cv_mse,minimum_completion_cross_shrink
0,True,missing_aware_30,pca_full,0.01,1.0,0.04142580074705882,2.4828276573567176e-05
0,False,missing_aware_30,pca_full,0.1,1.0,0.04142580074705882,2.4828276573567176e-05
0,False,missing_aware_30,pca_full,1.0,1.0,0.04142580074705882,2.4828276573567176e-05
0,False,missing_aware_30,pca_full,10.0,1.0,0.04142580074705882,2.4828276573567176e-05
0,True,missing_aware_30,jbd,0.1,0.95,0.02714310453976267,2.4828276573567176e-05
0,False,missing_aware_30,jbd,0.1,0.9,0.028843866146925252,2.4828276573567176e-05
0,False,missing_aware_30,jbd,0.1,1.0,0.031251252410220066,2.4828276573567176e-05
0,False,missing_aware_30,jbd,0.1,0.75,0.03355328524014028,2.4828276573567176e-05
0,False,missing_aware_30,jbd,0.1,0.85,0.03393974915892285,2.4828276573567176e-05
0,False,missing_aware_30,jbd,1.0,0.95,0.033997068263558756,2.4828276573567176e-05
0,False,missing_aware_30,jbd,1.0,0.9,0.035374272660670836,2.4828276573567176e-05
0,False,missing_aware_30,jbd,1.0,1.0,0.035776358183245746,2.4828276573567176e-05
0,False,missing_aware_30,jbd,0.01,1.0,0.036532487566546,2.4828276573567176e-05
0,False,missing_aware_30,jbd,1.0,0.85,0.037888514310655784,2.4828276573567176e-05
0,False,missing_aware_30,jbd,1.0,0.75,0.03889517751501763,2.4828276573567176e-05
0,False,missing_aware_30,jbd,0.1,0.65,0.038896922519737906,2.4828276573567176e-05
0,False,missing_aware_30,jbd,10.0,0.95,0.04033664060446076,2.4828276573567176e-05
0,False,missing_aware_30,jbd,10.0,1.0,0.04056703366966992,2.4828276573567176e-05
0,False,missing_aware_30,jbd,10.0,0.9,0.040568901951582095,2.4828276573567176e-05
0,False,missing_aware_30,jbd,1.0,0.65,0.040638807244227665,2.4828276573567176e-05
0,False,missing_aware_30,jbd,0.01,0.75,0.04064625776867795,2.4828276573567176e-05
0,False,missing_aware_30,jbd,10.0,0.85,0.04093563555953948,2.4828276573567176e-05
0,False,missing_aware_30,jbd,10.0,0.75,0.041097990854687294,2.4828276573567176e-05
0,False,missing_aware_30,jbd,10.0,0.65,0.04132514210970081,2.4828276573567176e-05
0,False,missing_aware_30,jbd,0.01,0.5,0.04142580074705882,2.4828276573567176e-05
0,False,missing_aware_30,jbd,0.1,0.5,0.04142580074705882,2.4828276573567176e-05
0,False,missing_aware_30,jbd,1.0,0.5,0.04142580074705882,2.4828276573567176e-05
0,False,missing_aware_30,jbd,10.0,0.5,0.04142580074705882,2.4828276573567176e-05
0,False,missing_aware_30,jbd,0.01,0.65,0.04162286177230805,2.4828276573567176e-05
0,False,missing_aware_30,jbd,0.01,0.95,0.049853832478032815,2.4828276573567176e-05
0,False,missing_aware_30,jbd,0.01,0.9,0.0580005465142633,2.4828276573567176e-05
0,False,missing_aware_30,jbd,0.01,0.85,0.06051609992103206,2.4828276573567176e-05
1,True,missing_aware_30,pca_full,0.01,1.0,0.030725887973590785,0.00018681798799327198
1,False,missing_aware_30,pca_full,0.1,1.0,0.030725887973590785,0.00018681798799327198
1,False,missing_aware_30,pca_full,1.0,1.0,0.030725887973590785,0.00018681798799327198
1,False,missing_aware_30,pca_full,10.0,1.0,0.030725887973590785,0.00018681798799327198
1,True,missing_aware_30,jbd,0.1,0.95,0.02285512234220195,0.00018681798799327198
1,False,missing_aware_30,jbd,0.1,0.9,0.023819669139613073,0.00018681798799327198
1,False,missing_aware_30,jbd,0.1,0.85,0.024250275697575,0.00018681798799327198
1,False,missing_aware_30,jbd,0.1,1.0,0.025097229228603316,0.00018681798799327198
1,False,missing_aware_30,jbd,1.0,0.95,0.025856125772284178,0.00018681798799327198
1,False,missing_aware_30,jbd,1.0,1.0,0.026620130337819,0.00018681798799327198
1,False,missing_aware_30,jbd,1.0,0.9,0.02724174373218481,0.00018681798799327198
1,False,missing_aware_30,jbd,0.1,0.75,0.02785112063759259,0.00018681798799327198
1,False,missing_aware_30,jbd,1.0,0.85,0.028236226397837835,0.00018681798799327198
1,False,missing_aware_30,jbd,0.01,0.65,0.028661151461187084,0.00018681798799327198
1,False,missing_aware_30,jbd,0.1,0.65,0.02906707894513764,0.00018681798799327198
1,False,missing_aware_30,jbd,1.0,0.75,0.02982648902818504,0.00018681798799327198
1,False,missing_aware_30,jbd,10.0,0.95,0.030006392044658343,0.00018681798799327198
1,False,missing_aware_30,jbd,10.0,1.0,0.030075852815761243,0.00018681798799327198
1,False,missing_aware_30,jbd,10.0,0.9,0.030241519402186383,0.00018681798799327198
