method,environment,held_out_feature,partner_feature,actual,prediction,squared_error
missing_pca_full,ars_gsm8k_r1distill8b,epr,trace_length,-0.6973530435348645,-0.482903147869425,0.04598875775091788
missing_pca_full,ars_gsm8k_r1distill8b,epr,spectral_entropy,-0.5607932651501867,-0.3161952408036689,0.0598281935142197
missing_pca_full,ars_gsm8k_r1distill8b,epr,low_band_power,-0.63975942415157,-0.4854945859891132,0.023797640293289
missing_pca_full,ars_gsm8k_r1distill8b,epr,high_band_power,-0.32181140877327186,-0.322791844722895,9.612546513134667e-07
missing_pca_full,ars_gsm8k_r1distill8b,epr,hl_ratio,-0.5752622491224181,-0.41197730724792575,0.026661972242956338
missing_pca_full,ars_gsm8k_r1distill8b,epr,dominant_freq,-0.3123900965376981,-0.29234334326955413,0.0004018723165938413
missing_pca_full,ars_gsm8k_r1distill8b,epr,spectral_centroid,-0.6953821559277543,-0.5245142806124744,0.029195830814758045
missing_pca_full,ars_gsm8k_r1distill8b,epr,stft_max_high_power,0.015816250723055668,0.05571319881071104,0.0015917664667090675
missing_pca_full,ars_gsm8k_r1distill8b,epr,stft_spectral_entropy,0.34814720089821144,-0.18506323378685144,0.28431336765703374
missing_pca_full,ars_gsm8k_r1distill8b,epr,rpdi,0.2175434268414899,-0.2065607714655064,0.17986437102162003
missing_pca_full,ars_gsm8k_r1distill8b,epr,sw_var_peak,-0.3024089865593253,-0.0068418617408351895,0.08735992527346892
missing_pca_full,ars_gsm8k_r1distill8b,epr,pe_mean,-0.20991929989915398,-0.10671475090908648,0.010651178932243242
missing_pca_full,ars_gsm8k_r1distill8b,epr,hurst_exponent,-0.4368950289278862,-0.38988252544286095,0.002210175483929509
missing_pca_full,ars_gsm8k_r1distill8b,epr,cusum_max,-0.7032496095574634,-0.448433907042327,0.0649310422482825
missing_pca_full,ars_gsm8k_r1distill8b,epr,cusum_shift_idx,0.06267785122592813,0.07180751544819938,8.335076881141975e-05
