environment,outer_fold,labels_accessed
ars_gsm8k_r1distill8b,0,False
internalstates_gsm8k_qwen25_7b,4,False
lapeigvals_gsm8k_llama3b,4,False
lapeigvals_gsm8k_llama8b,1,False
lapeigvals_gsm8k_mistral24b,3,False
lapeigvals_gsm8k_nemo,3,False
lapeigvals_gsm8k_phi35,4,False
noise_gsm8k_mistral7b,3,False
noise_gsm8k_phi3mini,1,False
trace_gsm8k_llama8b_k10,2,False
losnet_hotpotqa_mistral7b,0,False
math500_dsmath7b,4,False
math500_qwenmath7b,1,False
math500_r1distill8b,4,False
math500_r1distill8b_mn4096,0,False
trace_math500_qwenmath15b_k10,3,False
se_nq_open_llama8b,4,False
sciq_llama8b,4,False
se_squad_v2_llama8b,1,False
epr_triviaqa_mistral24b,2,False
seiclr_triviaqa_opt30b,1,False
semenergy_triviaqa_qwen3_8b,2,False
truthfulqa_llama8b,4,False
