method,environment_macro_mse,environment_macro_rmse,prediction_rows
pca_full,0.04072712275397714,0.20180962007292205,18056
jbd,0.028699558006152252,0.16940943895235663,18056
pca_matched,0.032863699705740664,0.1812834788549157,18056
