outer_fold,train_environment,environment_index,observed_feature_count,missing_feature_count,cross_covariance_shrink,minimum_eigenvalue,maximum_observed_entry_error
0,internalstates_gsm8k_qwen25_7b,0,29,1,0.0002713182042031158,-9.999999692410843e-10,0.0
0,lapeigvals_gsm8k_llama3b,1,30,0,1.0,7.458270969434217e-16,0.0
0,lapeigvals_gsm8k_llama8b,2,29,1,0.00021684989376742712,-9.999999901016998e-10,0.0
0,lapeigvals_gsm8k_mistral24b,3,30,0,1.0,3.160086784394181e-17,0.0
0,lapeigvals_gsm8k_nemo,4,29,1,0.00025676583618371076,-9.99999914821463e-10,0.0
0,lapeigvals_gsm8k_phi35,5,29,1,0.0003309142435265946,-9.999998235690216e-10,0.0
0,noise_gsm8k_mistral7b,6,29,1,0.00025985313131187977,-9.999999984865644e-10,0.0
0,noise_gsm8k_phi3mini,7,29,1,0.0002955287348562832,-9.999999489594143e-10,0.0
0,trace_gsm8k_llama8b_k10,8,29,1,0.00022297662508163636,-9.999998973972289e-10,0.0
0,math500_dsmath7b,9,30,0,1.0,7.92986287323066e-17,0.0
0,math500_qwenmath7b,10,28,2,0.00012012330917679417,-9.999999702364022e-10,0.0
0,math500_r1distill8b,11,28,2,0.00022598580770546127,-9.999999334473699e-10,0.0
0,trace_math500_qwenmath15b_k10,12,30,0,1.0,-1.2309119250391036e-15,0.0
0,se_nq_open_llama8b,13,27,3,0.00016133533578332592,-9.999999617895452e-10,0.0
0,sciq_llama8b,14,30,0,1.0,-4.648279774393881e-16,0.0
0,se_squad_v2_llama8b,15,27,3,0.00017501512874096813,-9.999997968589018e-10,0.0
0,epr_triviaqa_mistral24b,16,28,2,0.0001935673900639581,-9.999999716044547e-10,0.0
0,seiclr_triviaqa_opt30b,17,19,11,2.4890024449530576e-05,-9.999998480508639e-10,0.0
0,semenergy_triviaqa_qwen3_8b,18,27,3,0.00021284175528159689,-9.999998967394966e-10,0.0
0,truthfulqa_llama8b,19,29,1,0.00030640242209465426,-9.999999361259066e-10,0.0
1,ars_gsm8k_r1distill8b,0,30,0,1.0,-2.2544139713452694e-17,0.0
1,internalstates_gsm8k_qwen25_7b,1,29,1,0.0004532929741419443,-9.999999981066767e-10,0.0
1,lapeigvals_gsm8k_llama3b,2,30,0,1.0,7.458270969434217e-16,0.0
1,lapeigvals_gsm8k_mistral24b,3,30,0,1.0,3.160086784394181e-17,0.0
1,lapeigvals_gsm8k_nemo,4,29,1,0.00044490630492986794,-9.999999997868273e-10,0.0
1,lapeigvals_gsm8k_phi35,5,29,1,0.0004036756213290516,-9.999999430109711e-10,0.0
1,noise_gsm8k_mistral7b,6,29,1,0.0004470532876512121,-9.999999834536197e-10,0.0
1,trace_gsm8k_llama8b_k10,7,29,1,0.0003614849537960634,-9.999998393727648e-10,0.0
1,losnet_hotpotqa_mistral7b,8,29,1,0.00046450725580533554,-9.999999808227004e-10,0.0
1,math500_dsmath7b,9,30,0,1.0,7.92986287323066e-17,0.0
1,math500_r1distill8b,10,28,2,0.00021058060199500434,-9.999999485512606e-10,0.0
1,math500_r1distill8b_mn4096,11,29,1,0.0010738280353944658,-9.999999087878118e-10,0.0
1,trace_math500_qwenmath15b_k10,12,30,0,1.0,-1.2309119250391036e-15,0.0
1,se_nq_open_llama8b,13,27,3,0.0002569013514579872,-9.999998190652415e-10,0.0
1,sciq_llama8b,14,30,0,1.0,-4.648279774393881e-16,0.0
