scope,method,ridge,block_quantile,cv_mse,minimum_completion_cross_shrink
missing_aware_30,pca_full,0.01,1.0,0.04072712275397714,2.4890024449530576e-05
missing_aware_30,pca_full,0.1,1.0,0.04072712275397714,2.4890024449530576e-05
missing_aware_30,pca_full,1.0,1.0,0.04072712275397714,2.4890024449530576e-05
missing_aware_30,pca_full,10.0,1.0,0.04072712275397714,2.4890024449530576e-05
missing_aware_30,jbd,0.1,0.9,0.02712486200992962,2.4890024449530576e-05
missing_aware_30,jbd,0.1,0.95,0.028614368713073397,2.4890024449530576e-05
missing_aware_30,jbd,0.1,0.85,0.030725245418454696,2.4890024449530576e-05
missing_aware_30,jbd,0.1,1.0,0.031918746311123854,2.4890024449530576e-05
missing_aware_30,jbd,1.0,0.95,0.034235902450940194,2.4890024449530576e-05
missing_aware_30,jbd,1.0,0.9,0.03499394081008387,2.4890024449530576e-05
missing_aware_30,jbd,1.0,1.0,0.035345220965970155,2.4890024449530576e-05
missing_aware_30,jbd,0.1,0.75,0.03594642656819143,2.4890024449530576e-05
missing_aware_30,jbd,1.0,0.85,0.037224079082244066,2.4890024449530576e-05
missing_aware_30,jbd,0.01,1.0,0.03909777226769655,2.4890024449530576e-05
missing_aware_30,jbd,1.0,0.75,0.03920889090233481,2.4890024449530576e-05
missing_aware_30,jbd,0.1,0.65,0.03953028430122995,2.4890024449530576e-05
missing_aware_30,jbd,10.0,0.95,0.0397805711028878,2.4890024449530576e-05
missing_aware_30,jbd,10.0,1.0,0.0398991079866019,2.4890024449530576e-05
missing_aware_30,jbd,10.0,0.9,0.03993620530496079,2.4890024449530576e-05
missing_aware_30,jbd,10.0,0.85,0.040272461779317564,2.4890024449530576e-05
missing_aware_30,jbd,1.0,0.65,0.04034201699640843,2.4890024449530576e-05
missing_aware_30,jbd,10.0,0.75,0.040534775472310776,2.4890024449530576e-05
missing_aware_30,jbd,10.0,0.65,0.04067937295939607,2.4890024449530576e-05
missing_aware_30,jbd,0.01,0.5,0.04072712275397714,2.4890024449530576e-05
missing_aware_30,jbd,0.1,0.5,0.04072712275397714,2.4890024449530576e-05
missing_aware_30,jbd,1.0,0.5,0.04072712275397714,2.4890024449530576e-05
missing_aware_30,jbd,10.0,0.5,0.04072712275397714,2.4890024449530576e-05
missing_aware_30,jbd,0.01,0.75,0.042680609326987494,2.4890024449530576e-05
missing_aware_30,jbd,0.01,0.65,0.04559685151783441,2.4890024449530576e-05
missing_aware_30,jbd,0.01,0.85,0.04580473093953596,2.4890024449530576e-05
missing_aware_30,jbd,0.01,0.9,0.04863316099871423,2.4890024449530576e-05
missing_aware_30,jbd,0.01,0.95,0.04934204629330783,2.4890024449530576e-05
