method,pb_sla_macro8,pb_f1_ct7_gate,pb_sla_q4,pb_sla_q8,within_auc,eligible,step_auroc_mean_folds,step_auprc_mean_folds,prmscore_q80,prmscore_inner,pb,prm,pb_fallback,prm_fallback
ct7,0.3988620140983161,0.41188745848863717,0.4004633366930282,0.39726069150360405,0.7723966352864217,6030,0.7233245522013749,0.3413651214271107,0.6425309772481037,0.647104057213021,6800,6969,0,0
token_lsml,0.3592368825176495,0.3732442704802602,0.36049030394718745,0.35798346108811147,0.7531638360944568,6030,0.7191813102795485,0.28053810812825203,0.6303722260272545,0.6299240371677104,6800,6969,0,0
token_equal,0.32592621106812386,0.3487954139076385,0.3306928058457362,0.3211596162905115,0.7311045454951502,6030,0.6960133151959138,0.26160563040416684,0.6169493668203978,0.6183371367886439,6800,6969,0,0
mindgap_previous_unadjusted,0.22645083949185113,0.2748721700546999,0.23116281431252161,0.22173886467118065,0.6337412633612456,6030,0.6096843228273833,0.18613832875268457,0.5420085433240655,0.5426725001664906,6800,6969,0,0
mindgap,0.222504277686643,0.2697458945417888,0.23025999320973997,0.21474856216354604,0.6084010565600693,6030,0.5951940128658719,0.1730544855955885,0.5323748298523776,0.5322737732343956,6800,6969,0,0
dual__iu,0.27894866023031517,0.318920499103613,0.2712143303720624,0.2866829900885679,0.7072298064019268,6021,0.6682804933052313,0.23379020376188536,0.5885243433102284,0.5883241839251488,6796,6952,0,0
dual__joint0,0.30206076418994926,0.3372018244334808,0.3029636406601479,0.30115788771975055,0.7063934369105209,6021,0.6685969430646744,0.23702158778675217,0.5896583273349928,0.5902857871610507,6796,6952,0,0
dual__equal,0.28150770072183606,0.3196932497900862,0.2726663408847846,0.29034906055888754,0.7029728077084104,6021,0.6655122418730544,0.23095331360683344,0.5854157733062433,0.5847097380148832,6796,6952,0,0
context__iu,0.29302412347288354,0.3255834616232781,0.2923805741423975,0.2936676728033697,0.7157964012190194,6021,0.6846624714532321,0.24571979308612973,0.5964619496425738,0.5959989178599425,6796,6952,0,0
single__joint0,0.2966045405489923,0.333113480475541,0.2957657657059091,0.29744331539207547,0.7060872603653018,6021,0.6634752649846545,0.23682095573004305,0.5881500178515451,0.5881679923684665,6796,6952,0,0
single__q15_H1,0.31921022642837416,0.3481683580727928,0.31584002559303487,0.32258042726371344,0.7288619787981018,6030,0.6887334795272638,0.27899383654297705,0.6133047389516921,0.6142045604390383,6800,6969,0,0
single__q15_VE1,0.32377967167564614,0.352449943862151,0.3253198686419103,0.32223947470938197,0.7318942432018697,6030,0.6896606369698695,0.2735604100064778,0.6129874013872061,0.6143337876126144,6800,6969,0,0
single__chosen_surprisal,0.14173316847131226,0.19259666483441648,0.1413671898444641,0.14209914709816046,0.6831738301441442,6030,0.6539996012166682,0.19865446557898497,0.5777288335132812,0.5848680315323007,6800,6969,0,0
single__logprob_margin,0.31589503312189626,0.3545217377253011,0.3139920549971198,0.3177980112466727,0.6821530591782998,6030,0.6433004149965428,0.22942044345917934,0.5755171676290427,0.5765400922777536,6800,6969,0,0
single__true_tail50,0.2899899751754649,0.3254514095569473,0.2942534600759951,0.2857264902749347,0.7376983976665162,6030,0.6766565930061592,0.2553684877148032,0.6144689537658796,0.6142021396340751,6800,6969,0,0
single__energy_level,0.27070229249897737,0.3013928183203146,0.2982123134477933,0.24319227155016146,0.751189613797832,6030,0.7201485059139766,0.2745461047403317,0.6143155745953649,0.613390933080163,6800,6969,0,0
single__energy_innovation,0.17296740952022804,0.2173745185998952,0.16791398383847242,0.17802083520198367,0.4062568401497188,6030,0.4200008626946369,0.11388457581455329,0.46035755673868517,0.4658727458841509,6800,6969,0,0
single__top15_turnover,0.14078768677367637,0.19256252308956248,0.13845148629401738,0.14312388725333539,0.5658713240705627,6030,0.56294013529813,0.16947505770669477,0.5285362518648542,0.5295465742328447,6800,6969,0,0
single__top50_js,0.14446593807575192,0.1965280341539965,0.139897323339736,0.14903455281176783,0.4580524831338941,6030,0.5382783264781226,0.1640614604035063,0.5271653297811586,0.5277876670793127,6800,6969,0,0
single__dominant_freq16,0.16062709191943553,0.20965275808156755,0.16037404898156066,0.16088013485731043,0.5676950189448893,6030,0.5734389122192938,0.17687286674390282,0.536433817554764,0.5372539520290437,6800,6969,0,0
single__bocpd_p0,0.2591606222057449,0.29211104602694893,0.26838945706932293,0.24993178734216684,0.6568414653703731,6030,0.619083180234298,0.19649440771585303,0.5591378534432874,0.5581000782131562,6800,6969,0,0
control__longest_step,0.31775479697764775,0.35142017339315323,0.3177547969776477,0.3177547969776477,0.6181358410980654,6030,0.586221220162082,0.16793313940366478,0.5278777173269932,0.5283668304672218,6800,6969,0,0
control__relative_position_0.0,0.13495639040761714,0.18693823538592616,0.13495639040761712,0.13495639040761712,0.33826853686226915,6030,0.3536485031600088,0.10091697927308645,0.4163939005722181,0.44361197670841535,6800,6969,0,0
control__relative_position_0.5,0.20950316380494635,0.2592015999265837,0.20950316380494635,0.20950316380494635,0.5968686488085826,6030,0.5657069819202164,0.16902996688919664,0.5251729986587906,0.5259961212815674,6800,6969,0,0
control__relative_position_1.0,0.048371245618499446,0.06728569993488812,0.04837124561849944,0.04837124561849944,0.6617314631377309,6030,0.6463506813196248,0.18688698728686068,0.536556360386236,0.5451575283391026,6800,6969,0,0
