task,fold,roster,population,arm,status,orientation,small_groups,converged,selected_start,selected_iterations,start_likelihood_spread,job_seconds
pb_q4,0,selected,all,hard__ds,ok,1.0,[],True,0,19,4.27078195031072e-09,1.2627350999973714
pb_q4,0,selected,all,hard__hem,ok,1.0,[],True,0,21,1.7372539851123747e-08,1.2627350999973714
pb_q4,0,selected,all,hard__equal,ok,1.0,[],,,,,2.438576499989722
pb_q4,0,selected,all,hard__spectral,ok,1.0,[],,,,,2.438576499989722
pb_q4,0,selected,all,hard__binary_lsml,ok,1.0,[],,,,,2.438576499989722
pb_q4,0,selected,all,soft__equal,ok,1.0,[],,,,,2.438576499989722
pb_q4,0,selected,all,soft__spectral,ok,1.0,[],,,,,2.438576499989722
pb_q4,0,selected,all,soft__continuous_lsml,ok,1.0,[2],,,,,2.438576499989722
pb_q4,0,selected,all,hard__continuous_lsml,ok,1.0,[],,,,,2.438576499989722
pb_q4,0,shuffle,all,hard__ds,ok,1.0,[],True,1,26,4.287769250765905e-09,4.1406931999954395
pb_q4,0,shuffle,all,hard__hem,ok,1.0,"[1, 2, 3]",True,2,340,2.3261075732250447e-08,4.1406931999954395
pb_q4,0,shuffle,all,hard__equal,ok,1.0,[],,,,,2.646633299998939
pb_q4,0,shuffle,all,hard__spectral,ok,1.0,[],,,,,2.646633299998939
pb_q4,0,shuffle,all,hard__binary_lsml,ok,1.0,"[1, 2, 3]",,,,,2.646633299998939
pb_q4,0,shuffle,all,soft__equal,ok,1.0,[],,,,,2.646633299998939
pb_q4,0,shuffle,all,soft__spectral,ok,1.0,[],,,,,2.646633299998939
pb_q4,0,shuffle,all,soft__continuous_lsml,ok,1.0,[],,,,,2.646633299998939
pb_q4,0,shuffle,all,hard__continuous_lsml,ok,1.0,[1],,,,,2.646633299998939
pb_q4,0,top5,all,hard__ds,ok,1.0,[],True,0,19,3.024906547466344e-09,4.226758699980564
pb_q4,0,top5,all,hard__hem,ok,1.0,"[0, 1, 2, 3, 4, 5, 6, 7]",True,2,119,2.1233745473026033e-07,4.226758699980564
pb_q4,0,top5,all,hard__equal,ok,1.0,[],,,,,2.882338499999605
pb_q4,0,top5,all,hard__spectral,ok,1.0,[],,,,,2.882338499999605
pb_q4,0,top5,all,hard__binary_lsml,ok,1.0,"[0, 1, 2, 3, 4, 5, 6, 7]",,,,,2.882338499999605
pb_q4,0,top5,all,soft__equal,ok,1.0,[],,,,,2.882338499999605
pb_q4,0,top5,all,soft__spectral,ok,1.0,[],,,,,2.882338499999605
pb_q4,0,top5,all,soft__continuous_lsml,ok,1.0,[2],,,,,2.882338499999605
pb_q4,0,top5,all,hard__continuous_lsml,ok,1.0,"[0, 1, 3, 4]",,,,,2.882338499999605
pb_q4,0,top5,errors,hard__ds,ok,1.0,[],True,4,14,4.50429338272329e-09,5.681389699981082
pb_q4,0,top5,errors,hard__hem,ok,1.0,"[0, 1, 2, 3, 4, 5]",True,2,262,1.4431266004422127e-06,5.681389699981082
pb_q4,0,top5,errors,hard__equal,ok,1.0,[],,,,,2.114865700015798
pb_q4,0,top5,errors,hard__spectral,ok,1.0,[],,,,,2.114865700015798
pb_q4,0,top5,errors,hard__binary_lsml,ok,1.0,"[0, 1, 2, 3, 4, 5]",,,,,2.114865700015798
