contract,filter,exclude_frac,solver,mean_auroc,mean_auprc,ci_low,ci_high,qa_auroc,math_auroc,family_macro_auroc,mean_features_kept,median_features_kept,min_features_kept,max_features_kept
fixed_stable_v1,full,,iu_pcr,0.7740628976408787,0.7096295797300827,0.741558905061642,0.804720987131509,0.7591557199354133,0.7830072042641577,0.74158769390092,24.75,25.0,18,26
fixed_stable_v1,full,,dufs_liu,0.774138859873973,0.7095842673741664,0.7412371853099063,0.8044130740548736,0.7592299137752101,0.7830842275332307,0.7416649955879903,24.75,25.0,18,26
fixed_stable_v1,rho_max_over_3,3.0,iu_pcr,0.7736779129937661,0.7094372850991636,0.7415988121262412,0.8044893092448394,0.7587127902124379,0.7826569866625631,0.7415330179314015,20.416666666666668,21.0,13,23
fixed_stable_v1,rho_max_over_3,3.0,dufs_liu,0.7732270896061048,0.7081791482515665,0.7409792708153602,0.803737251331645,0.7582197834317496,0.782231473310718,0.7412267325106516,20.416666666666668,21.0,13,23
fixed_stable_v1,rho_max_over_2p5,2.5,iu_pcr,0.7724585778986796,0.7065204226781248,0.7401518016357911,0.8034073144230525,0.7570889098584375,0.7816803787228247,0.7404982508004477,19.416666666666668,20.0,11,22
fixed_stable_v1,rho_max_over_2p5,2.5,dufs_liu,0.7719491555154252,0.705322012783947,0.7402046687950857,0.802564726158377,0.7565151034108243,0.7812095867781859,0.7400575394174302,19.416666666666668,20.0,11,22
fixed_stable_v1,rho_max_over_2,2.0,iu_pcr,0.7675281242521502,0.6959477064507035,0.7355330933414317,0.7989780953145187,0.7464655060476145,0.7801656951748714,0.7359177316862295,17.875,19.0,8,20
fixed_stable_v1,rho_max_over_2,2.0,dufs_liu,0.7674699486165931,0.69527202277262,0.7357249587875465,0.7987683650267373,0.746760821207393,0.7798954250621134,0.7357361602418908,17.875,19.0,8,20
fixed_stable_v1,rho_max_over_1p5,1.5,iu_pcr,0.7628440456379572,0.6916088564759741,0.7309608447754765,0.7942835625142236,0.7415864128109,0.7755986253341914,0.7287047345479063,14.666666666666666,15.0,6,18
fixed_stable_v1,rho_max_over_1p5,1.5,dufs_liu,0.7633533151567077,0.6916797781648675,0.7310120418188368,0.7951461256540764,0.7430479739604289,0.7755365198744749,0.729597101700427,14.666666666666666,15.0,6,18
mixed_v2,full,,iu_pcr,0.7760865493175492,0.7102157586402505,0.7433007260939527,0.8080168471530809,0.759742561845466,0.7858929418007993,0.7423474445564211,28.416666666666668,29.0,19,30
mixed_v2,full,,dufs_liu,0.7765619978566128,0.7126625580559488,0.7434360288996226,0.8086914955808037,0.7604267926942951,0.7862431209540034,0.7430458034351154,28.416666666666668,29.0,19,30
mixed_v2,rho_max_over_3,3.0,iu_pcr,0.7745027677775185,0.7101494578192608,0.7420379450607562,0.8055596121041302,0.7588561898905968,0.7838907145096713,0.7420728155704062,21.291666666666668,22.0,14,25
mixed_v2,rho_max_over_3,3.0,dufs_liu,0.7742494351678051,0.7093264969948038,0.7419744966090981,0.8047728002907929,0.7585700221430671,0.783657082982648,0.7420005831369719,21.291666666666668,22.0,14,25
mixed_v2,rho_max_over_2p5,2.5,iu_pcr,0.7731577034062488,0.7077599712859857,0.7410572648383722,0.8037423761368688,0.757631534343145,0.7824734048441111,0.7414735186391535,20.291666666666668,21.0,12,23
mixed_v2,rho_max_over_2p5,2.5,dufs_liu,0.7726949457516311,0.7073012735431288,0.7406558346555534,0.8032350289852113,0.7571279514171932,0.7820351423522937,0.7410554021683738,20.291666666666668,21.0,12,23
mixed_v2,rho_max_over_2,2.0,iu_pcr,0.7683693875169729,0.6999744180766223,0.7368517422561109,0.7995362080548742,0.7468139791186142,0.7813026325559881,0.737545198447262,18.583333333333332,19.5,9,22
mixed_v2,rho_max_over_2,2.0,dufs_liu,0.7685321918770208,0.7004423311935178,0.7363729625906358,0.8001390071083642,0.7475702018648464,0.7811093858843257,0.7374433159761786,18.583333333333332,19.5,9,22
mixed_v2,rho_max_over_1p5,1.5,iu_pcr,0.764010531451475,0.6923579011555709,0.7316507587032197,0.7959160702874974,0.7434384272386162,0.7763537939791901,0.7302777302836387,15.25,16.5,7,19
mixed_v2,rho_max_over_1p5,1.5,dufs_liu,0.7641533583179992,0.6920362364943603,0.7315132830236735,0.7957592596130014,0.7446244004863665,0.7758707330169792,0.730630347272418,15.25,16.5,7,19
