contract,filter,exclude_frac,mean_features_kept,mean_dufs_minus_iu_pp,increment_ci_low_pp,increment_ci_high_pp,increment_wins,increment_losses,increment_wilcoxon_p,iu_change_vs_full_pp,dufs_change_vs_full_pp,difference_in_difference_pp,did_ci_low_pp,did_ci_high_pp,did_wilcoxon_p,did_wins,did_losses,worst_dufs_change_vs_full_pp
fixed_stable_v1,full,,24.75,0.007596223309434362,-0.04845495426281616,0.06255220502412642,13,10,0.6839864253997803,0.0,0.0,0.0,0.0,0.0,nan,0,0,0.0
fixed_stable_v1,rho_max_over_3,3.0,20.416666666666668,-0.04508233876613227,-0.09560125225940057,0.00705617549857343,8,15,0.07411601304083097,-0.03849846471125212,-0.09117702678681874,-0.05267856207556663,-0.10595006780320593,-0.0032832081094116014,0.08392000198364258,9,15,-1.894796380090491
fixed_stable_v1,rho_max_over_2p5,2.5,19.416666666666668,-0.05094223832542618,-0.09865082702766939,-0.001987039044845101,7,17,0.033985137939453125,-0.160431974219911,-0.21897043585477152,-0.05853846163486054,-0.11285101473554006,-0.004155565792906076,0.05642664432525635,8,16,-3.23812217194569
fixed_stable_v1,rho_max_over_2,2.0,17.875,-0.005817563555696181,-0.07640948145898938,0.07261179690189301,11,13,0.5087660551071167,-0.653477338872847,-0.6668911257379774,-0.013413786865130542,-0.10094852177495794,0.07703191097123661,0.704756498336792,11,13,-6.18870420824873
fixed_stable_v1,rho_max_over_1p5,1.5,14.666666666666666,0.05092695187504104,-0.032911687989491,0.14786520447884843,15,9,0.20761656761169434,-1.1218852002921489,-1.0785544717265423,0.04333072856560667,-0.06773675104905667,0.1614610768344502,0.6431422233581543,12,12,-4.650129282482207
mixed_v2,full,,28.416666666666668,0.047544853906359805,-0.010386616790737657,0.10716650459564962,18,6,0.1355280876159668,0.0,0.0,0.0,0.0,0.0,nan,0,0,0.0
mixed_v2,rho_max_over_3,3.0,21.291666666666668,-0.0253332609713261,-0.07240468866402615,0.01663498255250242,10,13,0.4838826910280615,-0.1583781540030767,-0.23125626888076262,-0.07287811487768589,-0.12794632062074104,-0.01909412083476389,0.03148162364959717,7,17,-2.108920491273447
mixed_v2,rho_max_over_2p5,2.5,20.291666666666668,-0.046275765461772464,-0.08592693969656073,-0.008056202728226661,7,16,0.03570999236943983,-0.292884591130047,-0.3867052104981792,-0.09382061936813227,-0.15026476765584437,-0.03815821724382479,0.007189035415649414,6,18,-3.060358758888182
mixed_v2,rho_max_over_2,2.0,18.583333333333332,0.016280436004795694,-0.05129105999904851,0.0977873990754761,10,14,0.4223414659500122,-0.7717161800576351,-0.8029805979591992,-0.031264417901564104,-0.1236336941846283,0.07069039761719399,0.28966712951660156,10,14,-7.4427755866515515
mixed_v2,rho_max_over_1p5,1.5,15.25,0.014282686652422142,-0.06790743531133923,0.11427721298095614,11,12,0.8115357160568237,-1.2076017866074178,-1.2408639538613555,-0.03326216725393766,-0.14183339610820278,0.08648272950111371,0.37475037574768066,10,14,-4.864253393665163
