cell,family,domain,contract,filter,exclude_frac,n_input,n_kept,kept_fraction,dufs_effective_count,weight_cosine_vs_iu
se_nq_open_llama8b,nq_open,QA,mixed_v2,rho_max_over_1p5,1.5,27,14,0.5185185185185185,13.947208412745866,0.9990067146501875
se_squad_v2_llama8b,squad_v2,QA,fixed_stable_v1,full,,24,24,1.0,18.98377216248824,0.9983684891727842
se_squad_v2_llama8b,squad_v2,QA,fixed_stable_v1,rho_max_over_3,3.0,24,23,0.9583333333333334,18.864196005837094,0.9996376093384063
se_squad_v2_llama8b,squad_v2,QA,fixed_stable_v1,rho_max_over_2p5,2.5,24,20,0.8333333333333334,16.70072218641321,0.9990016781265914
se_squad_v2_llama8b,squad_v2,QA,fixed_stable_v1,rho_max_over_2,2.0,24,18,0.75,15.492329501727372,0.9993142329800165
se_squad_v2_llama8b,squad_v2,QA,fixed_stable_v1,rho_max_over_1p5,1.5,24,13,0.5416666666666666,12.299924287760394,0.9993911307185728
se_squad_v2_llama8b,squad_v2,QA,mixed_v2,full,,27,27,1.0,18.975787230733893,0.9976718683867432
se_squad_v2_llama8b,squad_v2,QA,mixed_v2,rho_max_over_3,3.0,27,23,0.8518518518518519,18.864196005837094,0.9996337736955986
se_squad_v2_llama8b,squad_v2,QA,mixed_v2,rho_max_over_2p5,2.5,27,22,0.8148148148148148,19.008503511894855,0.9998248513014802
se_squad_v2_llama8b,squad_v2,QA,mixed_v2,rho_max_over_2,2.0,27,20,0.7407407407407407,16.70072218641321,0.9990016781265911
se_squad_v2_llama8b,squad_v2,QA,mixed_v2,rho_max_over_1p5,1.5,27,15,0.5555555555555556,13.426515457548701,0.9997632289330007
seiclr_triviaqa_opt30b,triviaqa,QA,fixed_stable_v1,full,,18,18,1.0,16.460046261492028,0.9998461112759246
seiclr_triviaqa_opt30b,triviaqa,QA,fixed_stable_v1,rho_max_over_3,3.0,18,13,0.7222222222222222,12.40164888519247,0.9999153876068181
seiclr_triviaqa_opt30b,triviaqa,QA,fixed_stable_v1,rho_max_over_2p5,2.5,18,11,0.6111111111111112,10.963020558119137,0.999996048228558
seiclr_triviaqa_opt30b,triviaqa,QA,fixed_stable_v1,rho_max_over_2,2.0,18,8,0.4444444444444444,7.999818253850811,0.9998606889614168
seiclr_triviaqa_opt30b,triviaqa,QA,fixed_stable_v1,rho_max_over_1p5,1.5,18,6,0.3333333333333333,5.99998082314004,0.9990402663693462
seiclr_triviaqa_opt30b,triviaqa,QA,mixed_v2,full,,19,19,1.0,17.512281396113405,0.9997896642988876
seiclr_triviaqa_opt30b,triviaqa,QA,mixed_v2,rho_max_over_3,3.0,19,14,0.7368421052631579,13.644691906073817,0.9999980838258488
seiclr_triviaqa_opt30b,triviaqa,QA,mixed_v2,rho_max_over_2p5,2.5,19,12,0.631578947368421,11.930691611002548,0.9999978652123942
seiclr_triviaqa_opt30b,triviaqa,QA,mixed_v2,rho_max_over_2,2.0,19,9,0.47368421052631576,8.95813142496114,0.9994357406027456
seiclr_triviaqa_opt30b,triviaqa,QA,mixed_v2,rho_max_over_1p5,1.5,19,7,0.3684210526315789,6.99996001649768,0.9975360767896264
semenergy_triviaqa_qwen3_8b,triviaqa,QA,fixed_stable_v1,full,,24,24,1.0,19.410033880221665,0.9999877185117707
semenergy_triviaqa_qwen3_8b,triviaqa,QA,fixed_stable_v1,rho_max_over_3,3.0,24,20,0.8333333333333334,16.864351361394874,0.9999098579826441
semenergy_triviaqa_qwen3_8b,triviaqa,QA,fixed_stable_v1,rho_max_over_2p5,2.5,24,17,0.7083333333333334,14.431113313813865,0.9997190044122484
semenergy_triviaqa_qwen3_8b,triviaqa,QA,fixed_stable_v1,rho_max_over_2,2.0,24,14,0.5833333333333334,13.107507200403758,0.9992718615099792
semenergy_triviaqa_qwen3_8b,triviaqa,QA,fixed_stable_v1,rho_max_over_1p5,1.5,24,12,0.5,11.649777618063922,0.9968799327763643
