cell,family,domain,contract,filter,exclude_frac,n_input,n_kept,kept_fraction,dufs_effective_count,weight_cosine_vs_iu
math500_qwenmath7b,math500,math,fixed_stable_v1,rho_max_over_3,3.0,24,18,0.75,17.999871642666847,0.998684853652881
math500_qwenmath7b,math500,math,fixed_stable_v1,rho_max_over_2p5,2.5,24,18,0.75,17.999871642666847,0.998684853652881
math500_qwenmath7b,math500,math,fixed_stable_v1,rho_max_over_2,2.0,24,18,0.75,17.999871642666847,0.998684853652881
math500_qwenmath7b,math500,math,fixed_stable_v1,rho_max_over_1p5,1.5,24,17,0.7083333333333334,16.99995513329658,0.9996888801947904
math500_qwenmath7b,math500,math,mixed_v2,full,,28,28,1.0,24.414181096660464,0.9896558106390281
math500_qwenmath7b,math500,math,mixed_v2,rho_max_over_3,3.0,28,20,0.7142857142857143,19.5582839010058,0.9990877205360725
math500_qwenmath7b,math500,math,mixed_v2,rho_max_over_2p5,2.5,28,20,0.7142857142857143,19.5582839010058,0.9990877205360725
math500_qwenmath7b,math500,math,mixed_v2,rho_max_over_2,2.0,28,19,0.6785714285714286,18.970300921390905,0.9992305992278822
math500_qwenmath7b,math500,math,mixed_v2,rho_max_over_1p5,1.5,28,17,0.6071428571428571,16.99995513329658,0.9996888801947905
math500_r1distill8b,math500,math,fixed_stable_v1,full,,24,24,1.0,19.1033168517051,0.9999847106621178
math500_r1distill8b,math500,math,fixed_stable_v1,rho_max_over_3,3.0,24,20,0.8333333333333334,19.171597387630218,0.9999176907536095
math500_r1distill8b,math500,math,fixed_stable_v1,rho_max_over_2p5,2.5,24,19,0.7916666666666666,18.888288360873915,0.9997604029016234
math500_r1distill8b,math500,math,fixed_stable_v1,rho_max_over_2,2.0,24,19,0.7916666666666666,18.888288360873915,0.9997604029016234
math500_r1distill8b,math500,math,fixed_stable_v1,rho_max_over_1p5,1.5,24,15,0.625,14.998769362594201,0.9959055157515259
math500_r1distill8b,math500,math,mixed_v2,full,,28,28,1.0,20.32379654357958,0.9999434245290936
math500_r1distill8b,math500,math,mixed_v2,rho_max_over_3,3.0,28,22,0.7857142857142857,19.598702633171357,0.9998681095109937
math500_r1distill8b,math500,math,mixed_v2,rho_max_over_2p5,2.5,28,21,0.75,19.67591832899271,0.999976738573817
math500_r1distill8b,math500,math,mixed_v2,rho_max_over_2,2.0,28,20,0.7142857142857143,19.876396699332208,0.9997128062852115
math500_r1distill8b,math500,math,mixed_v2,rho_max_over_1p5,1.5,28,17,0.6071428571428571,16.75918697202893,0.9991970359540189
math500_r1distill8b_mn4096,math500,math,fixed_stable_v1,full,,25,25,1.0,21.894457755716754,0.999771783269821
math500_r1distill8b_mn4096,math500,math,fixed_stable_v1,rho_max_over_3,3.0,25,22,0.88,19.240157981227302,0.9995982588918997
math500_r1distill8b_mn4096,math500,math,fixed_stable_v1,rho_max_over_2p5,2.5,25,22,0.88,19.240157981227302,0.9995982588918997
math500_r1distill8b_mn4096,math500,math,fixed_stable_v1,rho_max_over_2,2.0,25,20,0.8,19.202225475741205,0.9984430772170997
math500_r1distill8b_mn4096,math500,math,fixed_stable_v1,rho_max_over_1p5,1.5,25,18,0.72,17.999949606156246,0.9974344367914119
math500_r1distill8b_mn4096,math500,math,mixed_v2,full,,29,29,1.0,21.582461366963997,0.9992711445194059
math500_r1distill8b_mn4096,math500,math,mixed_v2,rho_max_over_3,3.0,29,25,0.8620689655172413,22.19490915502233,0.9999883934011341
math500_r1distill8b_mn4096,math500,math,mixed_v2,rho_max_over_2p5,2.5,29,23,0.7931034482758621,20.35820564568123,0.9996111717399385
math500_r1distill8b_mn4096,math500,math,mixed_v2,rho_max_over_2,2.0,29,22,0.7586206896551724,20.52818685884558,0.9995269850340398
math500_r1distill8b_mn4096,math500,math,mixed_v2,rho_max_over_1p5,1.5,29,19,0.6551724137931034,18.992137220477993,0.9987633969597474
trace_gsm8k_llama8b_k10,gsm8k,math,fixed_stable_v1,full,,25,25,1.0,20.850661520245367,0.9998836098100842
trace_gsm8k_llama8b_k10,gsm8k,math,fixed_stable_v1,rho_max_over_3,3.0,25,21,0.84,19.48438427797591,0.9997479120107645
trace_gsm8k_llama8b_k10,gsm8k,math,fixed_stable_v1,rho_max_over_2p5,2.5,25,21,0.84,19.48438427797591,0.9997479120107645
trace_gsm8k_llama8b_k10,gsm8k,math,fixed_stable_v1,rho_max_over_2,2.0,25,20,0.8,19.623232967019934,0.9992925605414903
trace_gsm8k_llama8b_k10,gsm8k,math,fixed_stable_v1,rho_max_over_1p5,1.5,25,17,0.68,16.754075791282435,0.9998260953532261
trace_gsm8k_llama8b_k10,gsm8k,math,mixed_v2,full,,29,29,1.0,21.37470060197937,0.9999992744626641
trace_gsm8k_llama8b_k10,gsm8k,math,mixed_v2,rho_max_over_3,3.0,29,22,0.7586206896551724,19.688923829800167,0.9998036716757744
trace_gsm8k_llama8b_k10,gsm8k,math,mixed_v2,rho_max_over_2p5,2.5,29,21,0.7241379310344828,19.48438427797591,0.9997479120107643
trace_gsm8k_llama8b_k10,gsm8k,math,mixed_v2,rho_max_over_2,2.0,29,20,0.6896551724137931,19.623232967019934,0.9992925605414905
trace_gsm8k_llama8b_k10,gsm8k,math,mixed_v2,rho_max_over_1p5,1.5,29,17,0.5862068965517241,16.754075791282435,0.9998260953532263
trace_math500_qwenmath15b_k10,math500,math,fixed_stable_v1,full,,26,26,1.0,22.08663975311915,0.9999992714915854
trace_math500_qwenmath15b_k10,math500,math,fixed_stable_v1,rho_max_over_3,3.0,26,22,0.8461538461538461,20.811912169302303,0.9999523357290252
trace_math500_qwenmath15b_k10,math500,math,fixed_stable_v1,rho_max_over_2p5,2.5,26,21,0.8076923076923077,19.065680551008704,0.9996522974186408
trace_math500_qwenmath15b_k10,math500,math,fixed_stable_v1,rho_max_over_2,2.0,26,20,0.7692307692307693,18.74738639257137,0.9999534032246146
trace_math500_qwenmath15b_k10,math500,math,fixed_stable_v1,rho_max_over_1p5,1.5,26,18,0.6923076923076923,17.90349735363198,0.999971567463901
trace_math500_qwenmath15b_k10,math500,math,mixed_v2,full,,30,30,1.0,23.471041943051887,0.9998571423174958
trace_math500_qwenmath15b_k10,math500,math,mixed_v2,rho_max_over_3,3.0,30,24,0.8,21.950528835012967,0.9999083227926282
trace_math500_qwenmath15b_k10,math500,math,mixed_v2,rho_max_over_2p5,2.5,30,22,0.7333333333333333,20.76096338982402,0.9999726311127188
trace_math500_qwenmath15b_k10,math500,math,mixed_v2,rho_max_over_2,2.0,30,21,0.7,19.26892841589562,0.999784615788632
trace_math500_qwenmath15b_k10,math500,math,mixed_v2,rho_max_over_1p5,1.5,30,18,0.6,17.90349735363198,0.9999715674639009
