method,pb_all8,pb_raw_exact,prm_within,prm_pooled,prmscore_q08,valid_answers
ve075_q15_raw,0.36764768002119413,0.33746060333183253,0.7323022945501653,0.7043142167386917,0.6186785249641445,13769
ve075_q50_raw,0.3615810469917422,0.3304817649707339,0.7499366864159573,0.7219363637216789,0.6337189376736287,13769
ve075_tailbucket15_raw,0.3671802002311781,0.3385862224223323,0.7318175187771496,0.7030369801434434,0.6180991098492017,13769
ve1_q15_raw,0.35960987290405433,0.32620441242683473,0.7377863024015935,0.710137783099181,0.6257812284738609,13769
ve1_q50_raw,0.3567552412698325,0.32215218370103554,0.7424645484355781,0.7157833866814454,0.6327768738968429,13769
ve1_tailbucket15_raw,0.360756459524289,0.32778027915353447,0.7384321287072805,0.710164706128028,0.625775267876032,13769
tail15_raw,0.3306425765242845,0.2820801440792436,0.7322262437946919,0.7107675571621249,0.6206266770971696,13769
equal4_raw,0.36167404291580163,0.3266546600630347,0.7511151033886677,0.7214074018302664,0.6348045135016531,13769
equal4_center_only,0.36167404291580163,0.3266546600630347,0.7511151033886677,0.6616678369186102,0.5769505096069776,13769
equal4_scale_only,0.36204089367474834,0.32935614588023415,0.7466016580967767,0.7157075660877649,0.6300928374351884,13769
equal4_answer_z,0.36204089367474834,0.32935614588023415,0.7466016580967767,0.6751532362177817,0.5898832827876952,13769
equal4_fold_global_z,0.3637687990284305,0.33070688878883386,0.7460979869221006,0.7168792958235736,0.6291954010637292,13769
equal5_tail_fold_global_z,0.35329554053356993,0.3133723547951373,0.7423572488472264,0.7168694814065616,0.6314451188009388,13769
