domain,benchmark,model,subgroup,split,unit,method,f1,f1_sd,acc_erroneous,acc_correct,n,delta_vs_mindgap,delta_ci_low,delta_ci_high,auroc,auprc,positive_rate,reference_role,caveat
reasoning,ProcessBench,qwen3_4b,gsm8k,development,first erroneous step,Fixed reasoning IU-PCR,0.3431244498436331,0.03316579667383548,0.25856648308927027,0.5432434456397642,400,,,,,,,,
reasoning,ProcessBench,qwen3_4b,gsm8k,development,first erroneous step,Mind the Gap control,0.29263009674615503,0.03092139904125723,0.21657165221065366,0.49466797527605266,400,,,,,,,,
reasoning,ProcessBench,qwen3_4b,math,development,first erroneous step,Fixed reasoning IU-PCR,0.31553380238692447,0.017620349085939218,0.21535157590431514,0.6082618392489422,1000,,,,,,,,
reasoning,ProcessBench,qwen3_4b,math,development,first erroneous step,Mind the Gap control,0.2798690879746035,0.019048208100363714,0.19211343515375365,0.5267662831890604,1000,,,,,,,,
reasoning,ProcessBench,qwen3_4b,olympiadbench,confirmation,first erroneous step,Fixed reasoning IU-PCR,0.2853490467787132,0.01563951651599062,0.18900503758523346,0.5975859146743091,1000,,,,,,,,
reasoning,ProcessBench,qwen3_4b,olympiadbench,confirmation,first erroneous step,Mind the Gap control,0.2233194348522882,0.017480259098991157,0.15748905512914013,0.3946111730194073,1000,,,,,,,,
reasoning,ProcessBench,qwen3_4b,omnimath,confirmation,first erroneous step,Fixed reasoning IU-PCR,0.2979766586414858,0.017190226420991044,0.20970072041755575,0.522709803587572,1000,,,,,,,,
reasoning,ProcessBench,qwen3_4b,omnimath,confirmation,first erroneous step,Mind the Gap control,0.26226229937648055,0.0154146942204396,0.18100360616400976,0.49718862300312283,1000,,,,,,,,
reasoning,ProcessBench,qwen3_8b,gsm8k,confirmation,first erroneous step,Fixed reasoning IU-PCR,0.30620526798890835,0.0382933303807785,0.22787195127788545,0.5199287044538766,400,,,,,,,,
reasoning,ProcessBench,qwen3_8b,gsm8k,confirmation,first erroneous step,Mind the Gap control,0.2409169786666363,0.03703008393939293,0.16415025053617785,0.4995088689357553,400,,,,,,,,
reasoning,ProcessBench,qwen3_8b,math,confirmation,first erroneous step,Fixed reasoning IU-PCR,0.3178651485792469,0.0207077282624413,0.21917948631090195,0.5935821149010881,1000,,,,,,,,
reasoning,ProcessBench,qwen3_8b,math,confirmation,first erroneous step,Mind the Gap control,0.27822974816546914,0.01723529236921819,0.18423987662499552,0.5795137822273585,1000,,,,,,,,
reasoning,ProcessBench,qwen3_8b,olympiadbench,confirmation,first erroneous step,Fixed reasoning IU-PCR,0.2891703836240415,0.01952680362033855,0.19147049151999096,0.6045509433806616,1000,,,,,,,,
reasoning,ProcessBench,qwen3_8b,olympiadbench,confirmation,first erroneous step,Mind the Gap control,0.22056811595573073,0.014783129127975636,0.14908353449813977,0.4389148111728675,1000,,,,,,,,
reasoning,ProcessBench,qwen3_8b,omnimath,confirmation,first erroneous step,Fixed reasoning IU-PCR,0.3007676563544286,0.019220006464787137,0.20672328401668902,0.5605687408434514,1000,,,,,,,,
reasoning,ProcessBench,qwen3_8b,omnimath,confirmation,first erroneous step,Mind the Gap control,0.2588109534996791,0.014907913736043643,0.1826367558560028,0.45914227203337904,1000,,,,,,,,
reasoning,ProcessBench,macro,all eight cells,all eight cells,first erroneous step,Fixed reasoning IU-PCR,0.30699905177467274,,0.21473362876523025,0.5688039383412081,6800,0.04992321237004242,0.03200330410055185,0.07072982690478537,,,,,
reasoning,ProcessBench,macro,all eight cells,all eight cells,first erroneous step,Mind the Gap control,0.2570758394046303,,0.17841102077160914,0.48628922360712545,6800,,,,,,,,
reasoning,ProcessBench,macro,confirmation six cells,confirmation six cells,first erroneous step,Fixed reasoning IU-PCR,0.2995556936611374,,0.20732516185470942,0.5664877036401599,5400,0.05220443857509006,0.03263728033147873,0.0701560110676538,,,,,
reasoning,ProcessBench,macro,confirmation six cells,confirmation six cells,first erroneous step,Mind the Gap control,0.24735125508604736,,0.16976717980141096,0.4781465883986484,5400,,,,,,,,
reasoning,ProcessBench,qwen3_4b,four-subset macro,model macro,first erroneous step,Fixed reasoning IU-PCR,0.31049598941268913,,0.21815595424909365,0.5679502507876468,3400,0.04597575967530727,0.02595330401534566,0.06670767183567738,,,,,
reasoning,ProcessBench,qwen3_4b,four-subset macro,model macro,first erroneous step,Mind the Gap control,0.2645202297373818,,0.18679443716438932,0.4783085136219108,3400,,,,,,,,
reasoning,ProcessBench,qwen3_8b,four-subset macro,model macro,first erroneous step,Fixed reasoning IU-PCR,0.30350211413665634,,0.21131130328136685,0.5696576258947694,3400,0.05387066506477756,0.031612227040756634,0.077345870815132,,,,,
reasoning,ProcessBench,qwen3_8b,four-subset macro,model macro,first erroneous step,Mind the Gap control,0.2496314490718788,,0.17002760437882897,0.4942699335923401,3400,,,,,,,,
reasoning,PRMBench,,,all nine paper classes,reasoning step,Fixed reasoning IU-PCR,,,,,83280,,,,0.6711488968029491,0.2548578157990967,0.15782901056676274,,
reasoning,PRMBench,,circular,paper class,reasoning step,Fixed reasoning IU-PCR,,,,,7813,,,,0.6780973938608525,0.36712631529009704,0.27326251119928324,,
reasoning,PRMBench,,confidence,paper class,reasoning step,Fixed reasoning IU-PCR,,,,,10711,,,,0.7072361465691418,0.269028834912183,0.1216506395294557,,
reasoning,PRMBench,,counterfactual,paper class,reasoning step,Fixed reasoning IU-PCR,,,,,10477,,,,0.6367843325459717,0.29644003469332614,0.19795743056218384,,
reasoning,PRMBench,,deception,paper class,reasoning step,Fixed reasoning IU-PCR,,,,,10053,,,,0.5719990921131559,0.20937467919581476,0.1689048045359594,,
reasoning,PRMBench,,domain_inconsistency,paper class,reasoning step,Fixed reasoning IU-PCR,,,,,10031,,,,0.689238562305599,0.21298743498801542,0.13338650184428272,,
reasoning,PRMBench,,missing_condition,paper class,reasoning step,Fixed reasoning IU-PCR,,,,,9613,,,,0.6104779094756112,0.2541665756960859,0.19442421720586706,,
reasoning,PRMBench,,redundency,paper class,reasoning step,Fixed reasoning IU-PCR,,,,,11613,,,,0.7098123228977016,0.25502893617824696,0.13235167484715404,,
reasoning,PRMBench,,step_contradiction,paper class,reasoning step,Fixed reasoning IU-PCR,,,,,10728,,,,0.7030655793455985,0.21077689636770763,0.11092468307233408,,
reasoning,PRMBench,,,all nine paper classes,reasoning step,Qwen2.5-Math-PRM-7B (supervised ceiling),,,,,83280,,,,0.7983220044539499,0.463483260396523,0.15782901056676274,,
reasoning,ProcessBench,,four-subset macro,published/local reference,first erroneous step,Qwen2.5-Math-PRM-7B,0.7293537246344841,,,,3400,,,,,,,published_ceiling,All four official subsets are present.
reasoning,ProcessBench,,four-subset macro,published/local reference,first erroneous step,GL-LIU v1 (frozen),0.31245616849291225,,,,3400,,,,,,,ours_frozen,Frozen detector/locator selection; thresholds use split-local calibration labels.
reasoning,ProcessBench,,four-subset macro,published/local reference,first erroneous step,Qwen2.5-72B critic,0.5940030225191926,,,,3400,,,,,,,published_peer,Different critic model from the paper; all four subsets complete.
