cell,domain,family,n,m,obs_op_norm_ratio,obs_fro_norm_ratio,obs_top5_share,uniform_top5_share,null_draw_failures,splithalf_angle_deg_median,splithalf_angle_deg_p10,splithalf_angle_deg_p90,splithalf_jaccard_median,splithalf_jaccard_p10,splithalf_jaccard_p90,splithalf_sign_agreement_median,splithalf_reps_ok,support_size,support_within_family_frac,support_within_family_baseline,median_excess_kurtosis,nulla_op_norm_ratio_mean,nulla_op_norm_ratio_sd,nulla_op_norm_ratio_p95,nulla_op_norm_ratio_obs_percentile,nulla_op_norm_ratio_p_descriptive,nulla_fro_norm_ratio_mean,nulla_fro_norm_ratio_sd,nulla_fro_norm_ratio_p95,nulla_fro_norm_ratio_obs_percentile,nulla_fro_norm_ratio_p_descriptive,nulla_top5_share_mean,nulla_top5_share_sd,nulla_top5_share_p95,nulla_top5_share_obs_percentile,nulla_top5_share_p_descriptive,nullb_op_norm_ratio_mean,nullb_op_norm_ratio_sd,nullb_op_norm_ratio_p95,nullb_op_norm_ratio_obs_percentile,nullb_op_norm_ratio_p_descriptive,nullb_fro_norm_ratio_mean,nullb_fro_norm_ratio_sd,nullb_fro_norm_ratio_p95,nullb_fro_norm_ratio_obs_percentile,nullb_fro_norm_ratio_p_descriptive,nullb_top5_share_mean,nullb_top5_share_sd,nullb_top5_share_p95,nullb_top5_share_obs_percentile,nullb_top5_share_p_descriptive,gaussian_dependent_null_b
epr_triviaqa_mistral24b,QA,triviaqa,621,28,0.10496026875488051,0.14971283299936033,0.5483611976592329,0.17857142857142858,0,50.538007554003315,37.329094817673415,58.12099357129918,0.0,0.0,0.7872653061224492,1.0,50,48,0.2708333333333333,0.36507936507936506,1.2238266104110163,0.05324540070636444,0.026359514119960417,0.09857165792942907,97.8,0.022977022977022976,0.06798004047734608,0.023017909098173785,0.10894498736248719,100.0,0.000999000999000999,0.5253867685039585,0.044368971640729164,0.5999692962118355,71.1,0.2897102897102897,0.032913287961351456,0.0036110281720757413,0.0395823148558383,100.0,0.000999000999000999,0.07917381786821835,0.005970170619996623,0.08942773856479351,100.0,0.000999000999000999,0.4073118186986695,0.01484792186576412,0.43232129770202327,100.0,0.000999000999000999,0
losnet_hotpotqa_mistral7b,QA,hotpotqa,500,29,0.13799240414774272,0.18513553458905646,0.5543163490676619,0.1724137931034483,0,31.854564073456665,22.493624313514726,36.053894105135875,0.3333333333333333,0.16666666666666666,1.0,1.0,50,2,1.0,0.41379310344827586,0.8363977265133733,0.024124151611788207,0.0025974000558589417,0.028706250181719874,100.0,0.000999000999000999,0.04811760927054168,0.0027206597808786016,0.05271891681775864,100.0,0.000999000999000999,0.4543120243330277,0.017746912982283577,0.48312098368942824,100.0,0.000999000999000999,0.025203052978471367,0.00287330689996219,0.03023406671734832,100.0,0.000999000999000999,0.05113695983440111,0.003302237891410588,0.05717526507280884,100.0,0.000999000999000999,0.45245712872873706,0.017317128142227047,0.4816408072517685,100.0,0.000999000999000999,0
sciq_llama8b,QA,sciq,198,30,0.14597652312158668,0.1803600151614304,0.546840891020361,0.16666666666666666,0,59.626289422794414,49.673404305338956,66.34188691941178,nan,nan,nan,nan,50,0,nan,0.3931034482758621,0.9111253081293558,0.0266085031419574,0.003393887851475292,0.03259667629330622,100.0,0.000999000999000999,0.05669922903965318,0.0036451822196254704,0.06297865553538431,100.0,0.000999000999000999,0.42883598828718106,0.017763491193743593,0.45975459461795165,100.0,0.000999000999000999,0.02750613604852611,0.003527445766294241,0.0338647472483327,100.0,0.000999000999000999,0.05937632006442304,0.005039320080918959,0.06775020607155957,100.0,0.000999000999000999,0.42631321362288566,0.01666846637053471,0.4553525525928417,100.0,0.000999000999000999,0
se_nq_open_llama8b,QA,nq_open,8460,27,0.09116935187703037,0.1398982904074571,0.5133157711054265,0.18518518518518517,0,54.18873651832483,9.513298017510804,58.75430364409601,0.018867924528301886,0.017543859649122806,1.0,1.0,50,44,0.38636363636363635,0.38461538461538464,1.2723622664432508,0.04094757970220599,0.01428166358204121,0.07417051662527102,100.0,0.000999000999000999,0.04542043726658203,0.015183522790703112,0.0800824195992049,100.0,0.000999000999000999,0.6561384701797971,0.046548834253958275,0.7466120982968619,0.0,1.0,0.011922429815173736,0.0009061263975482805,0.013467460371696553,100.0,0.000999000999000999,0.02933661040599116,0.001339313059834864,0.03158119823128987,100.0,0.000999000999000999,0.40317304947333876,0.014565976618382773,0.4280527814136548,100.0,0.000999000999000999,0
se_squad_v2_llama8b,QA,squad_v2,2933,27,0.11469321626464582,0.1983265213695002,0.46140645658869106,0.18518518518518517,0,26.353413465530267,17.23615866210047,33.12548850780391,0.0,0.0,0.0,nan,50,0,nan,0.38461538461538464,1.647144624763082,0.009310457900705697,0.0009204500754862064,0.010922585153777661,100.0,0.000999000999000999,0.019496156366827343,0.001091841815940704,0.021346133611364136,100.0,0.000999000999000999,0.45389828323882114,0.01721276707056334,0.4829204149453009,67.2,0.32867132867132864,0.009771756635113196,0.0009534573075327807,0.011475377137311657,100.0,0.000999000999000999,0.020948842320430237,0.0011715804491184106,0.02283916578521679,100.0,0.000999000999000999,0.45076031644199227,0.01790635206657837,0.48003475600416284,72.2,0.2787212787212787,0
seiclr_triviaqa_opt30b,QA,triviaqa,5000,19,0.14238922615927135,0.2012926913382511,0.6164418315837036,0.2631578947368421,0,21.078006727034797,4.635823771555735,23.76937462905811,1.0,0.6666666666666666,1.0,1.0,50,2,1.0,0.22807017543859648,9.319584730302235,0.028235846720508634,0.0340249210743968,0.08889158200272468,100.0,0.000999000999000999,0.03310681722245935,0.03355585325976638,0.09147272438406971,100.0,0.000999000999000999,0.6773712405230629,0.1338128091148213,0.8997908583358109,58.8,0.4125874125874126,0.008120825749838915,0.0009907035833086907,0.009904214456393902,100.0,0.000999000999000999,0.013745383966839473,0.0011251006929796884,0.015598242141747428,100.0,0.000999000999000999,0.6041536672977921,0.025192681749207857,0.6455046369540122,69.6,0.3046953046953047,1
semenergy_triviaqa_qwen3_8b,QA,triviaqa,4392,27,0.144344763026351,0.1543714888996571,0.5008062717369953,0.18518518518518517,0,25.557412884297054,14.744505172015838,52.84740027757036,0.8452380952380952,0.06818181818181818,1.0,1.0,50,6,1.0,0.38461538461538464,4.319724102377476,0.08411403017901131,0.009192519851483352,0.09190537495866499,100.0,0.000999000999000999,0.09654994246644315,0.009482117001039033,0.10406048788586003,100.0,0.000999000999000999,0.7829906751005844,0.03917770219834948,0.816448543422894,1.0999999999999999,0.989010989010989,0.04591593807324598,0.03877608651225934,0.0949380180074617,100.0,0.000999000999000999,0.05597030127668452,0.0409827436894775,0.10764927331247845,100.0,0.000999000999000999,0.6080489552225048,0.1579548496691191,0.8020621937414032,51.5,0.4855144855144855,1
spilled_triviaqa_llama8b,QA,triviaqa,256,28,0.10626153486242546,0.1288533842399088,0.49117252020763086,0.17857142857142858,0,58.23561176333222,53.40650292055252,65.12196646802079,0.0,0.0,0.0,1.0,50,0,nan,0.36507936507936506,0.4574045255003216,0.033779573835816964,0.02213726820988569,0.0829922583290071,100.0,0.000999000999000999,0.054403815614713254,0.01848174192028582,0.09528400817033057,100.0,0.000999000999000999,0.5091720825389673,0.04834957214595288,0.6035960790475604,46.2,0.5384615384615384,0.0620417013862181,0.029821607337674395,0.09769210622143579,99.4,0.006993006993006993,0.0793560372009255,0.02463430334313119,0.10963754555085464,100.0,0.000999000999000999,0.5494642926966112,0.05292909664305252,0.6104923747182528,23.5,0.7652347652347652,0
truthfulqa_llama8b,QA,truthfulqa,7633,29,0.13664150781321047,0.18794922863872887,0.4519782973211786,0.1724137931034483,0,34.26290557401195,28.664209732687503,47.67254366239563,0.5,0.06945736434108526,0.75,1.0,50,4,1.0,0.41379310344827586,1.1338745130793502,0.00716197442567196,0.000670036107034721,0.008315082969540116,100.0,0.000999000999000999,0.014422295048331247,0.0007567836326732719,0.01567771379366275,100.0,0.000999000999000999,0.44065122479919916,0.01678640868873736,0.4685687375092002,74.5,0.25574425574425574,0.007632491660126275,0.0035935846575620555,0.008705351797833785,100.0,0.000999000999000999,0.015436611691808292,0.0033203515453256224,0.016633140092549244,100.0,0.000999000999000999,0.43877802729704024,0.021848824310383208,0.46889351496195025,79.60000000000001,0.2047952047952048,0
ars_gsm8k_r1distill8b,math,gsm8k,500,30,0.14720162872245493,0.1766883276011176,0.5389880494614538,0.16666666666666666,0,40.039304366308656,33.2851415118518,45.596677573612936,0.75,0.2222222222222222,0.8714285714285716,1.0,50,6,1.0,0.3931034482758621,0.9811768314839078,0.0313506175330504,0.0032476687054468437,0.03702830136759571,100.0,0.000999000999000999,0.05615760020252015,0.003047850061323984,0.06125637601194598,100.0,0.000999000999000999,0.4513907610371143,0.016795171281901743,0.47922576183226656,100.0,0.000999000999000999,0.03207570075115058,0.0033279121423693174,0.03767570337293867,100.0,0.000999000999000999,0.05977543522295948,0.003493485535572283,0.06567539221728834,100.0,0.000999000999000999,0.4509726568581782,0.016822243734191573,0.47888449923578325,100.0,0.000999000999000999,0
