locator,variant,scope,n_clean,n_erroneous,argmax_sla,argmax_early,argmax_late,false_alarm_budget,false_alarm,theta,detected,exact,early_stop,no_stop,mean_delay_steps,median_delay_steps,mean_delay_tokens
ct7,offline,macro8_all,2358,4442,0.3824853669518235,0.2739756866276452,0.3435389464205313,0.05,0.037743850720949955,1.9955247062604848,0.027915353444394417,0.015083295812696983,0.00765420981539847,0.9644304367402071,3.1129032258064515,0.0,190.31451612903226
ct7,offline,macro8_all,2358,4442,0.3824853669518235,0.2739756866276452,0.3435389464205313,0.1,0.08142493638676845,1.8408389058384784,0.04930211616389014,0.027465105808194508,0.016434038721296715,0.9342638451148132,2.2374429223744294,0.0,143.50228310502283
ct7,offline,macro8_all,2358,4442,0.3824853669518235,0.2739756866276452,0.3435389464205313,0.2,0.1878710771840543,1.6425087670782392,0.11683926159387663,0.06911301215668618,0.04840162089149032,0.834759117514633,1.747591522157996,0.0,128.51445086705203
ct7,offline,macro8_all,2358,4442,0.3824853669518235,0.2739756866276452,0.3435389464205313,0.3,0.268871925360475,1.5555567172600586,0.15623592976136874,0.09207564160288159,0.06393516434038721,0.779828905898244,1.5706051873198847,0.0,122.164265129683
ct7,offline,steps_2_to_5,950,1312,0.4763719512195122,0.24466463414634146,0.27896341463414637,0.05,0.03263157894736842,1.6924429993518482,0.03353658536585366,0.022865853658536585,0.011432926829268292,0.9550304878048781,0.5681818181818182,0.0,46.15909090909091
ct7,offline,steps_2_to_5,950,1312,0.4763719512195122,0.24466463414634146,0.27896341463414637,0.1,0.08421052631578947,1.5964280282962213,0.06935975609756098,0.054115853658536585,0.01676829268292683,0.9138719512195121,0.37362637362637363,0.0,31.439560439560438
ct7,offline,steps_2_to_5,950,1312,0.4763719512195122,0.24466463414634146,0.27896341463414637,0.2,0.19263157894736843,1.451205845109234,0.12576219512195122,0.08689024390243902,0.035823170731707314,0.8384146341463414,0.5272727272727272,0.0,51.654545454545456
ct7,offline,steps_2_to_5,950,1312,0.4763719512195122,0.24466463414634146,0.27896341463414637,0.3,0.2694736842105263,1.3815884700715346,0.1875,0.13185975609756098,0.051067073170731704,0.7614329268292683,0.491869918699187,0.0,46.792682926829265
ct7,offline,steps_6_to_10,1124,2308,0.3587521663778163,0.28812824956672445,0.3531195840554593,0.05,0.03202846975088968,1.9955247062604848,0.01733102253032929,0.012131715771230503,0.0030329289428076256,0.979636048526863,1.0,0.0,53.975
ct7,offline,steps_6_to_10,1124,2308,0.3587521663778163,0.28812824956672445,0.3531195840554593,0.1,0.08185053380782918,1.8408389058384784,0.0389948006932409,0.025996533795493933,0.008665511265164644,0.9523396880415944,0.8555555555555555,0.0,61.25555555555555
ct7,offline,steps_6_to_10,1124,2308,0.3587521663778163,0.28812824956672445,0.3531195840554593,0.2,0.19661921708185054,1.6425087670782392,0.11395147313691507,0.07105719237435008,0.036395147313691506,0.8496533795493935,1.0836501901140685,0.0,94.34600760456274
ct7,offline,steps_6_to_10,1124,2308,0.3587521663778163,0.28812824956672445,0.3531195840554593,0.3,0.2873665480427046,1.5555567172600586,0.15554592720970536,0.09445407279029462,0.050693240901213174,0.7937608318890814,1.1086350974930361,0.0,101.22562674094708
ct7,offline,steps_11_plus,284,822,0.29927007299270075,0.28102189781021897,0.4197080291970803,0.2,0.18661971830985916,1.9955247062604848,0.10218978102189781,0.04744525547445255,0.032846715328467155,0.864963503649635,4.119047619047619,1.0,255.23809523809524
ct7,offline,steps_11_plus,284,822,0.29927007299270075,0.28102189781021897,0.4197080291970803,0.3,0.18661971830985916,1.9955247062604848,0.10218978102189781,0.04744525547445255,0.032846715328467155,0.864963503649635,4.119047619047619,1.0,255.23809523809524
ct7,offline,cell=pb_gsm8k_q4,193,207,0.4830917874396135,0.2463768115942029,0.27053140096618356,0.05,0.025906735751295335,1.8408389058384784,0.03864734299516908,0.024154589371980676,0.0,0.961352657004831,2.125,0.0,150.625
ct7,offline,cell=pb_gsm8k_q4,193,207,0.4830917874396135,0.2463768115942029,0.27053140096618356,0.1,0.07772020725388601,1.6924429993518482,0.08695652173913043,0.06280193236714976,0.00966183574879227,0.9033816425120773,1.1666666666666667,0.0,82.27777777777777
ct7,offline,cell=pb_gsm8k_q4,193,207,0.4830917874396135,0.2463768115942029,0.27053140096618356,0.2,0.18652849740932642,1.5133811421215566,0.17391304347826086,0.12077294685990338,0.028985507246376812,0.7971014492753623,1.1111111111111112,0.0,66.72222222222223
ct7,offline,cell=pb_gsm8k_q4,193,207,0.4830917874396135,0.2463768115942029,0.27053140096618356,0.3,0.26424870466321243,1.451205845109234,0.21739130434782608,0.15458937198067632,0.057971014492753624,0.7246376811594203,1.1111111111111112,0.0,73.28888888888889
ct7,offline,cell=pb_gsm8k_q8,193,207,0.47342995169082125,0.23671497584541062,0.2898550724637681,0.05,0.031088082901554404,1.7543859988038821,0.03864734299516908,0.01932367149758454,0.004830917874396135,0.9565217391304348,2.5,1.0,168.125
