method,label,pb_all8,pb_q4,pb_q8,valid_answers,prm_valid_answers,pb_clean_accuracy,pb_raw_exact,pb_early,pb_late,pb_exact_count,pb_error_count,pb_invalid,pb_correct_peaks_suppressed,prm_within,prm_within_n,prm_pooled,prm_pooled_steps,prm_fold_auc,prmscore_q08,prmscore_conditional,prmscore_answers
top10,Original answer-local RBM12,0.3627123083012945,0.36981846288211506,0.3556061537204739,13769,6969,0.5008481764206955,0.3235029266096353,1286,1719,1437,4442,0,226,0.7452044991713739,6030,0.7058494397346221,94203,0.7062049842083509,0.622215135338216,0.622215135338216,6969
baseline,Answer-local Shrinkage IU,0.20272750625911645,0.21218588085538814,0.19326913166284473,13769,6969,0.5008481764206955,0.13372354795137326,3802,46,594,4442,0,74,0.690593663578071,6030,0.6379446181192795,94203,0.6380210429854354,0.5686090619979286,0.5686090619979286,6969
pooled,Shrinkage IU + pooled covariance prior,0.20324810272864835,0.21265828560179378,0.1938379198555029,13769,6969,0.5008481764206955,0.13529941467807294,3777,64,601,4442,0,79,0.6942977886032012,6030,0.6353098862669889,94203,0.6354073310706931,0.5688539899286071,0.5688539899286071,6969
position,Shrinkage IU + answer-position covariance prior,0.35806563265786984,0.36452526505449145,0.3516060002612482,13769,6969,0.5008481764206955,0.3196758217019361,1195,1827,1420,4442,0,235,0.756902104647552,6030,0.664904547673008,94203,0.6650577551363197,0.5899119366539856,0.5899119366539856,6969
position_scale_only,"Position prior: baseline direction, scale change only",0.3213621733643516,0.33048091888953884,0.3122434278391645,13769,6969,0.5008481764206955,0.2676722197208465,2254,999,1189,4442,0,211,0.7415277914024533,6030,0.6563708388952507,94203,0.6564749802217741,0.5828548376579056,0.5828548376579056,6969
position_shuffled,Position prior with shuffled position assignments,0.20280927573932553,0.21024189497134194,0.19537665650730912,13769,6969,0.5008481764206955,0.13372354795137326,3799,49,594,4442,0,73,0.6905242106597618,6030,0.6341351835885127,94203,0.6342455709365804,0.5679462576504622,0.5679462576504622,6969
reference__rbm6__old,reference__rbm6__old,0.36201684493602676,0.37351290000539755,0.350520789866656,13769,6969,0.5008481764206955,0.3275551553354345,1244,1743,1455,4442,0,239,0.7359819427631672,6030,0.7081098773075334,94203,0.7084114634537172,0.6307492926682718,0.6307492926682718,6969
reference__rbm6__logit_old,reference__rbm6__logit_old,0.349707841643353,0.3565810434023544,0.34283463988435153,13769,6969,0.5008481764206955,0.3039171544349392,1570,1522,1350,4442,0,198,0.7356357370021873,6030,0.7000044693128635,94203,0.700317801956164,0.622232585877287,0.622232585877287,6969
reference__rbm12__old,reference__rbm12__old,0.36375046669893774,0.37118546805583574,0.35631546534203984,13769,6969,0.5008481764206955,0.32778027915353447,1217,1769,1456,4442,0,244,0.7387017592037592,6030,0.710417498206284,94203,0.7108125617128248,0.6292760348084029,0.6292760348084029,6969
reference__rbm12__logit_old,reference__rbm12__logit_old,0.3627123083012945,0.36981846288211506,0.3556061537204739,13769,6969,0.5008481764206955,0.3235029266096353,1286,1719,1437,4442,0,226,0.7452044991713739,6030,0.7058494397346221,94203,0.7062049842083509,0.622215135338216,0.622215135338216,6969
reference__initial6__old,reference__initial6__old,0.35966210065316107,0.36767337993745064,0.35165082136887144,13769,6969,0.5008481764206955,0.3196758217019361,1561,1461,1420,4442,0,206,0.744067528910734,6030,0.6950464031735148,94203,0.695218891299853,0.6130847986432351,0.6130847986432351,6969
reference__initial12__old,reference__initial12__old,0.3629459417341435,0.3714627820322608,0.3544291014360264,13769,6969,0.5008481764206955,0.32417829806393517,1537,1465,1440,4442,0,222,0.7463248825565488,6030,0.6901095815877019,94203,0.6902917377169364,0.6053132074697835,0.6053132074697835,6969
reference__entropy__old,reference__entropy__old,0.35444376642134146,0.3639529013997512,0.3449346314429317,13769,6969,0.5008481764206955,0.31539846915803693,1124,1917,1401,4442,0,232,0.7301113611124386,6030,0.7026639408146143,94203,0.7030379238662297,0.625425539209566,0.625425539209566,6969
reference__var15__old,reference__var15__old,0.35960987290405433,0.36635390100610593,0.3528658448020027,13769,6969,0.5008481764206955,0.32620441242683473,1120,1873,1449,4442,0,260,0.7377863024015934,6030,0.710137783099181,94203,0.7105331032863103,0.6257812284738609,0.6257812284738609,6969
reference__var50__old,reference__var50__old,0.3567552412698325,0.36080751148342693,0.35270297105623816,13769,6969,0.5008481764206955,0.32215218370103554,1051,1960,1431,4442,0,247,0.742464548435578,6030,0.7157833866814454,94203,0.7162015945577326,0.6327768738968429,0.6327768738968429,6969
reference__var15_iu__old,reference__var15_iu__old,0.3534983585022531,0.35898223922652384,0.34801447777798244,13769,6969,0.5008481764206955,0.3169743358847366,1089,1945,1408,4442,0,243,0.74682374405604,6030,0.710261309641098,94203,0.7104753244529731,0.6226885909285921,0.6226885909285921,6969
reference__var15_equal__old,reference__var15_equal__old,0.3559804364327355,0.3612819032849405,0.3506789695805306,13769,6969,0.5008481764206955,0.3185502026114363,1080,1947,1415,4442,0,240,0.746980350290861,6030,0.6999879034964627,94203,0.7001582996975813,0.6128118227013558,0.6128118227013558,6969
reference__shrinkage__old,reference__shrinkage__old,0.35871143187885435,0.36697741533481043,0.35044544842289826,13769,6969,0.5008481764206955,0.32440342188203514,1305,1696,1441,4442,0,232,0.738630248995498,6030,0.7079965583222773,94203,0.7082592641948146,0.6295438953640439,0.6295438953640439,6969
reference__diagonal__old,reference__diagonal__old,0.35806949103323005,0.36788322126251166,0.3482557608039484,13769,6969,0.5008481764206955,0.32462854570013505,1173,1827,1442,4442,0,247,0.7330448590587003,6030,0.7047273028297086,94203,0.70495021124748,0.6253013416428403,0.6253013416428403,6969
