cell_id,dataset_family,arm,lambda,n_seeds,auroc,auprc
ars_gsm8k_r1distill8b,gsm8k,B0,,5,0.7415562378797673,0.5345803753734821
ars_gsm8k_r1distill8b,gsm8k,B3,,5,0.7798561732385261,0.5874192703068257
ars_gsm8k_r1distill8b,gsm8k,G2,0.01,5,0.7798763736263735,0.5874628726534248
ars_gsm8k_r1distill8b,gsm8k,G2,0.03,5,0.7798359728506787,0.5873675999973551
ars_gsm8k_r1distill8b,gsm8k,G2,0.1,5,0.7798561732385261,0.5874141228689607
ars_gsm8k_r1distill8b,gsm8k,G2,0.3,5,0.7798561732385261,0.5873382414093321
ars_gsm8k_r1distill8b,gsm8k,G2,1.0,5,0.7802197802197803,0.5881430670330052
ars_gsm8k_r1distill8b,gsm8k,G3,0.01,5,0.7798965740142211,0.5874716810324248
ars_gsm8k_r1distill8b,gsm8k,G3,0.03,5,0.7798359728506787,0.5873689428630943
ars_gsm8k_r1distill8b,gsm8k,G3,0.1,5,0.7798763736263736,0.5874444155295294
ars_gsm8k_r1distill8b,gsm8k,G3,0.3,5,0.7798157724628313,0.5874811140892658
ars_gsm8k_r1distill8b,gsm8k,G3,1.0,5,0.7803409825468648,0.5880690906543962
ars_gsm8k_r1distill8b,gsm8k,G4,0.01,5,0.7798965740142211,0.5874716810324248
ars_gsm8k_r1distill8b,gsm8k,G4,0.03,5,0.7798965740142211,0.5874716810324248
ars_gsm8k_r1distill8b,gsm8k,G4,0.1,5,0.7798965740142211,0.5874681666236556
ars_gsm8k_r1distill8b,gsm8k,G4,0.3,5,0.7799167744020685,0.5879567063810991
ars_gsm8k_r1distill8b,gsm8k,G4,1.0,5,0.7804217840982546,0.589082131072693
epr_triviaqa_mistral24b,triviaqa,B0,,5,0.7457496352822355,0.4588899281682425
epr_triviaqa_mistral24b,triviaqa,B3,,5,0.7414291325328246,0.4391992341747701
epr_triviaqa_mistral24b,triviaqa,G2,0.01,5,0.741443160139154,0.4392065986680929
epr_triviaqa_mistral24b,triviaqa,G2,0.03,5,0.7414291325328247,0.4391534084357457
epr_triviaqa_mistral24b,triviaqa,G2,0.1,5,0.7414291325328246,0.43912250501730676
epr_triviaqa_mistral24b,triviaqa,G2,0.3,5,0.741232746044215,0.4386858347692966
epr_triviaqa_mistral24b,triviaqa,G2,1.0,5,0.7408259454606666,0.4383143951735106
epr_triviaqa_mistral24b,triviaqa,G3,0.01,5,0.741443160139154,0.4392065986680929
epr_triviaqa_mistral24b,triviaqa,G3,0.03,5,0.7414291325328246,0.4391593165434902
epr_triviaqa_mistral24b,triviaqa,G3,0.1,5,0.7414291325328246,0.43912250501730676
epr_triviaqa_mistral24b,triviaqa,G3,0.3,5,0.741232746044215,0.4386829785927106
epr_triviaqa_mistral24b,triviaqa,G3,1.0,5,0.7408820558859837,0.4383337321705597
epr_triviaqa_mistral24b,triviaqa,G4,0.01,5,0.7414291325328246,0.4391992341747701
epr_triviaqa_mistral24b,triviaqa,G4,0.03,5,0.7414291325328246,0.4391992341747701
epr_triviaqa_mistral24b,triviaqa,G4,0.1,5,0.7414291325328245,0.439171672303394
epr_triviaqa_mistral24b,triviaqa,G4,0.3,5,0.7413870497138368,0.43900393012378724
epr_triviaqa_mistral24b,triviaqa,G4,1.0,5,0.7414010773201661,0.4390198409317704
internalstates_gsm8k_qwen25_7b,gsm8k,B0,,5,0.707155383399819,0.8419053316932137
internalstates_gsm8k_qwen25_7b,gsm8k,B3,,5,0.7262916498043976,0.8522196657873353
internalstates_gsm8k_qwen25_7b,gsm8k,G2,0.01,5,0.7262916498043976,0.8522149636122783
internalstates_gsm8k_qwen25_7b,gsm8k,G2,0.03,5,0.7263301921335106,0.8522129943546373
