source_id,population_id,cell_id,slice_id,metric_id,value,ci_low,ci_high,n_rows,n_groups,notes
panel::official_macro_f1,current_common_eight_qwen,aggregate,all,macro_f1,0.3581627690347784,0.33988094512220596,0.3750167586992808,6800,3400,candidate absolute metric under frozen top-five detector thresholds; not candidate-rethresholded
panel::first_error_exact,current_common_eight_qwen,aggregate,all,first_error_exact,0.28011372910405996,0.2600297142897892,0.30057454201200223,6800,3400,candidate absolute metric under frozen top-five detector thresholds; not candidate-rethresholded
panel::first_error_within_one,current_common_eight_qwen,aggregate,all,first_error_within_one,0.47892778394570806,0.456913185226508,0.5010204103925703,6800,3400,candidate absolute metric under frozen top-five detector thresholds; not candidate-rethresholded
panel::clean_abstention_accuracy,current_common_eight_qwen,aggregate,all,clean_abstention_accuracy,0.5348661277954998,0.5076046512172213,0.562219787263844,6800,3400,candidate absolute metric under frozen top-five detector thresholds; not candidate-rethresholded
panel::overall_decision_accuracy,current_common_eight_qwen,aggregate,all,overall_decision_accuracy,0.36250000000000004,0.34606250000000005,0.37925000000000003,6800,3400,candidate absolute metric under frozen top-five detector thresholds; not candidate-rethresholded
cell::processbench_gsm8k_qwen3_4b::macro_f1,current_common_eight_qwen,processbench_gsm8k_qwen3_4b,gsm8k,macro_f1,0.41710301905987257,,,400,400,descriptive per-cell candidate metric under the frozen threshold
cell::processbench_math_qwen3_4b::macro_f1,current_common_eight_qwen,processbench_math_qwen3_4b,math,macro_f1,0.3459459459459459,,,1000,1000,descriptive per-cell candidate metric under the frozen threshold
cell::processbench_olympiadbench_qwen3_4b::macro_f1,current_common_eight_qwen,processbench_olympiadbench_qwen3_4b,olympiadbench,macro_f1,0.32661341447952325,,,1000,1000,descriptive per-cell candidate metric under the frozen threshold
cell::processbench_omnimath_qwen3_4b::macro_f1,current_common_eight_qwen,processbench_omnimath_qwen3_4b,omnimath,macro_f1,0.3428111279406407,,,1000,1000,descriptive per-cell candidate metric under the frozen threshold
cell::processbench_gsm8k_qwen3_8b::macro_f1,current_common_eight_qwen,processbench_gsm8k_qwen3_8b,gsm8k,macro_f1,0.3996653964123059,,,400,400,descriptive per-cell candidate metric under the frozen threshold
cell::processbench_math_qwen3_8b::macro_f1,current_common_eight_qwen,processbench_math_qwen3_8b,math,macro_f1,0.3584151365647729,,,1000,1000,descriptive per-cell candidate metric under the frozen threshold
cell::processbench_olympiadbench_qwen3_8b::macro_f1,current_common_eight_qwen,processbench_olympiadbench_qwen3_8b,olympiadbench,macro_f1,0.3372131400030804,,,1000,1000,descriptive per-cell candidate metric under the frozen threshold
cell::processbench_omnimath_qwen3_8b::macro_f1,current_common_eight_qwen,processbench_omnimath_qwen3_8b,omnimath,macro_f1,0.33753497187208564,,,1000,1000,descriptive per-cell candidate metric under the frozen threshold
length::short::macro_f1,current_common_eight_qwen_step_length,short,short,macro_f1,0.2442554013151708,,,1498,1498,descriptive error-length stratum using the reference fold-frozen cut points and candidate predictions
length::short::first_error_exact,current_common_eight_qwen_step_length,short,short,first_error_exact,0.1709113041086555,,,1498,1498,descriptive error-length stratum using the reference fold-frozen cut points and candidate predictions
length::short::first_error_within_one,current_common_eight_qwen_step_length,short,short,first_error_within_one,0.3638115711664682,,,1498,1498,descriptive error-length stratum using the reference fold-frozen cut points and candidate predictions
length::short::clean_abstention_accuracy,current_common_eight_qwen_step_length,short,short,clean_abstention_accuracy,0.5348661277954998,,,1498,1498,descriptive error-length stratum using the reference fold-frozen cut points and candidate predictions
length::medium::macro_f1,current_common_eight_qwen_step_length,medium,medium,macro_f1,0.3582132525365983,,,1468,1468,descriptive error-length stratum using the reference fold-frozen cut points and candidate predictions
length::medium::first_error_exact,current_common_eight_qwen_step_length,medium,medium,first_error_exact,0.2915076220380497,,,1468,1468,descriptive error-length stratum using the reference fold-frozen cut points and candidate predictions
length::medium::first_error_within_one,current_common_eight_qwen_step_length,medium,medium,first_error_within_one,0.4915584118914711,,,1468,1468,descriptive error-length stratum using the reference fold-frozen cut points and candidate predictions
length::medium::clean_abstention_accuracy,current_common_eight_qwen_step_length,medium,medium,clean_abstention_accuracy,0.5348661277954998,,,1468,1468,descriptive error-length stratum using the reference fold-frozen cut points and candidate predictions
length::long::macro_f1,current_common_eight_qwen_step_length,long,long,macro_f1,0.46407002169431844,,,1476,1476,descriptive error-length stratum using the reference fold-frozen cut points and candidate predictions
length::long::first_error_exact,current_common_eight_qwen_step_length,long,long,first_error_exact,0.4451442743031907,,,1476,1476,descriptive error-length stratum using the reference fold-frozen cut points and candidate predictions
length::long::first_error_within_one,current_common_eight_qwen_step_length,long,long,first_error_within_one,0.6440129377157754,,,1476,1476,descriptive error-length stratum using the reference fold-frozen cut points and candidate predictions
length::long::clean_abstention_accuracy,current_common_eight_qwen_step_length,long,long,clean_abstention_accuracy,0.5348661277954998,,,1476,1476,descriptive error-length stratum using the reference fold-frozen cut points and candidate predictions
selected::all::selected_step_length_mean,current_common_eight_qwen_selected_length,all,all,selected_step_length_mean,127.10551311170762,,,6800,6800,descriptive candidate selected-step length bias audit
selected::all::selected_step_length_median,current_common_eight_qwen_selected_length,all,all,selected_step_length_median,114.0,,,6800,6800,descriptive candidate selected-step length bias audit
selected::all::selected_step_length_q90,current_common_eight_qwen_selected_length,all,all,selected_step_length_q90,212.0,,,6800,6800,descriptive candidate selected-step length bias audit
selected::error::selected_step_length_mean,current_common_eight_qwen_selected_length,error,error,selected_step_length_mean,130.67173738991193,,,4442,4442,descriptive candidate selected-step length bias audit
selected::error::selected_step_length_median,current_common_eight_qwen_selected_length,error,error,selected_step_length_median,118.0,,,4442,4442,descriptive candidate selected-step length bias audit
selected::error::selected_step_length_q90,current_common_eight_qwen_selected_length,error,error,selected_step_length_q90,215.0,,,4442,4442,descriptive candidate selected-step length bias audit
selected::clean::selected_step_length_mean,current_common_eight_qwen_selected_length,clean,clean,selected_step_length_mean,114.91332116788321,,,2358,2358,descriptive candidate selected-step length bias audit
selected::clean::selected_step_length_median,current_common_eight_qwen_selected_length,clean,clean,selected_step_length_median,102.0,,,2358,2358,descriptive candidate selected-step length bias audit
selected::clean::selected_step_length_q90,current_common_eight_qwen_selected_length,clean,clean,selected_step_length_q90,192.0,,,2358,2358,descriptive candidate selected-step length bias audit
flip::processbench_gsm8k_qwen3_4b::FLIP_GAIN,current_common_eight_qwen_prediction_flips,processbench_gsm8k_qwen3_4b,FLIP_GAIN,prediction_flip_count,18,,,18,18,exact deterministic candidate-versus-top-five prediction transition count
flip::processbench_gsm8k_qwen3_4b::FLIP_LATERAL,current_common_eight_qwen_prediction_flips,processbench_gsm8k_qwen3_4b,FLIP_LATERAL,prediction_flip_count,32,,,32,32,exact deterministic candidate-versus-top-five prediction transition count
flip::processbench_gsm8k_qwen3_4b::FLIP_LOSS,current_common_eight_qwen_prediction_flips,processbench_gsm8k_qwen3_4b,FLIP_LOSS,prediction_flip_count,9,,,9,9,exact deterministic candidate-versus-top-five prediction transition count
flip::processbench_gsm8k_qwen3_4b::NO_FLIP_CORRECT,current_common_eight_qwen_prediction_flips,processbench_gsm8k_qwen3_4b,NO_FLIP_CORRECT,prediction_flip_count,149,,,149,149,exact deterministic candidate-versus-top-five prediction transition count
flip::processbench_gsm8k_qwen3_4b::NO_FLIP_INCORRECT,current_common_eight_qwen_prediction_flips,processbench_gsm8k_qwen3_4b,NO_FLIP_INCORRECT,prediction_flip_count,192,,,192,192,exact deterministic candidate-versus-top-five prediction transition count
flip::processbench_gsm8k_qwen3_8b::FLIP_GAIN,current_common_eight_qwen_prediction_flips,processbench_gsm8k_qwen3_8b,FLIP_GAIN,prediction_flip_count,9,,,9,9,exact deterministic candidate-versus-top-five prediction transition count
flip::processbench_gsm8k_qwen3_8b::FLIP_LATERAL,current_common_eight_qwen_prediction_flips,processbench_gsm8k_qwen3_8b,FLIP_LATERAL,prediction_flip_count,37,,,37,37,exact deterministic candidate-versus-top-five prediction transition count
flip::processbench_gsm8k_qwen3_8b::FLIP_LOSS,current_common_eight_qwen_prediction_flips,processbench_gsm8k_qwen3_8b,FLIP_LOSS,prediction_flip_count,10,,,10,10,exact deterministic candidate-versus-top-five prediction transition count
flip::processbench_gsm8k_qwen3_8b::NO_FLIP_CORRECT,current_common_eight_qwen_prediction_flips,processbench_gsm8k_qwen3_8b,NO_FLIP_CORRECT,prediction_flip_count,152,,,152,152,exact deterministic candidate-versus-top-five prediction transition count
flip::processbench_gsm8k_qwen3_8b::NO_FLIP_INCORRECT,current_common_eight_qwen_prediction_flips,processbench_gsm8k_qwen3_8b,NO_FLIP_INCORRECT,prediction_flip_count,192,,,192,192,exact deterministic candidate-versus-top-five prediction transition count
flip::processbench_math_qwen3_4b::FLIP_GAIN,current_common_eight_qwen_prediction_flips,processbench_math_qwen3_4b,FLIP_GAIN,prediction_flip_count,17,,,17,17,exact deterministic candidate-versus-top-five prediction transition count
flip::processbench_math_qwen3_4b::FLIP_LATERAL,current_common_eight_qwen_prediction_flips,processbench_math_qwen3_4b,FLIP_LATERAL,prediction_flip_count,87,,,87,87,exact deterministic candidate-versus-top-five prediction transition count
flip::processbench_math_qwen3_4b::FLIP_LOSS,current_common_eight_qwen_prediction_flips,processbench_math_qwen3_4b,FLIP_LOSS,prediction_flip_count,22,,,22,22,exact deterministic candidate-versus-top-five prediction transition count
