outcome,n_rows,n_selected,n_abstained,mean_selected_step_length,median_selected_step_length,q90_selected_step_length
all,6800,4843,1957,127.10551311170762,114.0,212.0
error,4442,3747,695,130.67173738991193,118.0,215.0
clean,2358,1096,1262,114.91332116788321,102.0,192.0
