bootstrap_draws,bootstrap_unit,ci_high,ci_low,clean_abstention,exact_error,family,macro_f1,metric_id,model,n,value,variant_id,within_one
,,,,0.48186528497409326,0.25120772946859904,gsm8k,0.33024891590125316,,qwen3_4b,400,,P0_S5A_IU29_STEP_MAX_LOCAL_FIVEFOLD_QWEN8,0.463768115942029
,,,,0.5443349753694581,0.22053872053872053,math,0.3139000325273772,,qwen3_4b,1000,,P0_S5A_IU29_STEP_MAX_LOCAL_FIVEFOLD_QWEN8,0.4276094276094276
,,,,0.41002949852507375,0.19364599092284418,olympiadbench,0.26305712236917006,,qwen3_4b,1000,,P0_S5A_IU29_STEP_MAX_LOCAL_FIVEFOLD_QWEN8,0.4341906202723147
,,,,0.5975103734439834,0.17523056653491437,omnimath,0.2709888290684759,,qwen3_4b,1000,,P0_S5A_IU29_STEP_MAX_LOCAL_FIVEFOLD_QWEN8,0.38603425559947296
,,,,0.5025906735751295,0.21739130434782608,gsm8k,0.3035043804755945,,qwen3_8b,400,,P0_S5A_IU29_STEP_MAX_LOCAL_FIVEFOLD_QWEN8,0.4444444444444444
,,,,0.5221674876847291,0.2222222222222222,math,0.31176470588235294,,qwen3_8b,1000,,P0_S5A_IU29_STEP_MAX_LOCAL_FIVEFOLD_QWEN8,0.4663299663299663
,,,,0.4247787610619469,0.20726172465960666,olympiadbench,0.2785909466415302,,qwen3_8b,1000,,P0_S5A_IU29_STEP_MAX_LOCAL_FIVEFOLD_QWEN8,0.44478063540090773
,,,,0.6514522821576764,0.1725955204216074,omnimath,0.27289131848156356,,qwen3_8b,1000,,P0_S5A_IU29_STEP_MAX_LOCAL_FIVEFOLD_QWEN8,0.37417654808959155
,,,,0.48186528497409326,0.25120772946859904,gsm8k,0.33024891590125316,,qwen3_4b,400,,P0_S5B_IU29_STEP_MAX_LOCAL_FIVEFOLD_FULL12,0.463768115942029
,,,,0.5443349753694581,0.22053872053872053,math,0.3139000325273772,,qwen3_4b,1000,,P0_S5B_IU29_STEP_MAX_LOCAL_FIVEFOLD_FULL12,0.4276094276094276
,,,,0.41002949852507375,0.19364599092284418,olympiadbench,0.26305712236917006,,qwen3_4b,1000,,P0_S5B_IU29_STEP_MAX_LOCAL_FIVEFOLD_FULL12,0.4341906202723147
,,,,0.5975103734439834,0.17523056653491437,omnimath,0.2709888290684759,,qwen3_4b,1000,,P0_S5B_IU29_STEP_MAX_LOCAL_FIVEFOLD_FULL12,0.38603425559947296
,,,,0.5025906735751295,0.21739130434782608,gsm8k,0.3035043804755945,,qwen3_8b,400,,P0_S5B_IU29_STEP_MAX_LOCAL_FIVEFOLD_FULL12,0.4444444444444444
,,,,0.5221674876847291,0.2222222222222222,math,0.31176470588235294,,qwen3_8b,1000,,P0_S5B_IU29_STEP_MAX_LOCAL_FIVEFOLD_FULL12,0.4663299663299663
,,,,0.4247787610619469,0.20726172465960666,olympiadbench,0.2785909466415302,,qwen3_8b,1000,,P0_S5B_IU29_STEP_MAX_LOCAL_FIVEFOLD_FULL12,0.44478063540090773
,,,,0.6514522821576764,0.1725955204216074,omnimath,0.27289131848156356,,qwen3_8b,1000,,P0_S5B_IU29_STEP_MAX_LOCAL_FIVEFOLD_FULL12,0.37417654808959155
,,,,0.49740932642487046,0.27053140096618356,gsm8k,0.3504563233376793,,llama31_8b,400,,P0_S5B_IU29_STEP_MAX_LOCAL_FIVEFOLD_FULL12,0.48792270531400966
,,,,0.5591133004926109,0.2037037037037037,math,0.2986127720640995,,llama31_8b,1000,,P0_S5B_IU29_STEP_MAX_LOCAL_FIVEFOLD_FULL12,0.44276094276094274
,,,,0.39233038348082594,0.21936459909228442,olympiadbench,0.2813931771091721,,llama31_8b,1000,,P0_S5B_IU29_STEP_MAX_LOCAL_FIVEFOLD_FULL12,0.4175491679273828
,,,,0.6058091286307054,0.16337285902503293,omnimath,0.25734552019218465,,llama31_8b,1000,,P0_S5B_IU29_STEP_MAX_LOCAL_FIVEFOLD_FULL12,0.383399209486166
20000,source_question within scorer cell,0.30625044155576914,0.278524366896694,,,,,macro_f1,,,0.2931182814184147,P0_S5A_IU29_STEP_MAX_LOCAL_FIVEFOLD_QWEN8,
20000,source_question within scorer cell,0.221477211483076,0.19401750058522924,,,,,exact_error,,,0.20751172238954257,P0_S5A_IU29_STEP_MAX_LOCAL_FIVEFOLD_QWEN8,
20000,source_question within scorer cell,0.5374275771466436,0.4957688320926311,,,,,clean_abstention,,,0.5168411670990114,P0_S5A_IU29_STEP_MAX_LOCAL_FIVEFOLD_QWEN8,
20000,source_question within scorer cell,0.44679320695267705,0.4136406251038644,,,,,within_one,,,0.43016675171101926,P0_S5A_IU29_STEP_MAX_LOCAL_FIVEFOLD_QWEN8,
20000,source_question within scorer cell,0.30491459952679506,0.2822583006109942,,,,,macro_f1,,,0.2943961703375378,P0_S5B_IU29_STEP_MAX_LOCAL_FIVEFOLD_FULL12,
20000,source_question within scorer cell,0.22102320680088625,0.1984783955079633,,,,,exact_error,,,0.20975552849196208,P0_S5B_IU29_STEP_MAX_LOCAL_FIVEFOLD_FULL12,
20000,source_question within scorer cell,0.5324922350413499,0.4989223672912936,,,,,clean_abstention,,,0.515782622985092,P0_S5B_IU29_STEP_MAX_LOCAL_FIVEFOLD_FULL12,
20000,source_question within scorer cell,0.4445161801304984,0.4178128818138127,,,,,within_one,,,0.4310805032647212,P0_S5B_IU29_STEP_MAX_LOCAL_FIVEFOLD_FULL12,
